top_pct,top_n,freq,rmw_window,median_sharpe,min_sharpe,n_positive,us_equity_broad
1.0,4,2ME,6,0.7619,0.7619,1,0.7619
1.0,4,2ME,24,0.7576,0.7576,1,0.7576
0.5,2,ME,9,0.7528,0.7528,1,0.7528
1.0,4,ME,18,0.7516,0.7516,1,0.7516
0.25,1,QE,12,0.7496,0.7496,1,0.7496
0.75,3,ME,9,0.7484,0.7484,1,0.7484
1.0,4,ME,12,0.7472,0.7472,1,0.7472
0.5,2,2ME,9,0.7462,0.7462,1,0.7462
0.75,3,2ME,9,0.7433,0.7433,1,0.7433
1.0,4,QE,9,0.7379,0.7379,1,0.7379
0.75,3,ME,6,0.7311,0.7311,1,0.7311
1.0,4,ME,6,0.7279,0.7279,1,0.7279
1.0,4,2ME,9,0.7196,0.7196,1,0.7196
1.0,4,ME,9,0.7189,0.7189,1,0.7189
1.0,4,QE,24,0.7067,0.7067,1,0.7067
