entry_time,exit_time,position,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity,direction,fvg_range
2016-01-04 13:30:00-05:00,2016-01-04 16:00:00-05:00,short,100.93,101.54,eod,1.009299999999996,990,-603.8999999999994,22.74213546,-626.6421354599994,100000.0,99373.35786454,short,"[101.0, 101.02]"
2016-01-12 09:44:00-05:00,2016-01-12 11:38:00-05:00,long,98.03,97.0497,stop,0.9802999999999997,1013,-993.0438999999997,23.16121342158,-1016.2051134215797,99373.35786454,98357.15275111842,long,"[97.85, 97.94]"
2016-01-15 10:11:00-05:00,2016-01-15 11:54:00-05:00,long,94.03,93.0897,stop,0.9403000000000077,1046,-983.5538000000081,23.800572768360002,-1007.3543727683681,98357.15275111842,97349.79837835005,long,"[93.75, 93.96]"
2016-01-20 15:05:00-05:00,2016-01-20 15:28:00-05:00,long,92.8,94.192,target,0.9279999999999973,1049,1460.2079999999958,23.9009799424,1436.3070200575958,97349.79837835005,98786.10539840764,long,"[92.47, 92.48]"
2016-01-21 14:41:00-05:00,2016-01-21 16:00:00-05:00,long,93.75,93.32,eod,0.9375,1053,-452.7900000000072,23.966591687999998,-476.7565916880072,98786.10539840764,98309.34880671963,long,"[93.6, 93.72]"
2016-01-22 12:07:00-05:00,2016-01-22 16:00:00-05:00,long,95.45,96.01,eod,0.9544999999999959,1029,576.2400000000023,23.497295262,552.7427047380023,98309.34880671963,98862.09151145763,long,"[95.24, 95.35]"
2016-01-28 13:59:00-05:00,2016-01-28 16:00:00-05:00,short,94.01,94.44,eod,0.940100000000001,1051,-451.9299999999922,23.941231378,-475.8712313779922,98862.09151145763,98386.22028007964,short,"[94.24, 94.39]"
2016-02-11 14:40:00-05:00,2016-02-11 16:00:00-05:00,long,88.97,89.51,eod,0.8897000000000048,1105,596.7000000000069,25.033087690000002,571.6669123100069,98386.22028007964,98957.88719238964,long,"[88.85, 88.87]"
2016-02-24 10:13:00-05:00,2016-02-24 12:04:00-05:00,short,92.63,93.5563,stop,0.9262999999999977,1068,-989.2883999999975,24.287509752,-1013.5759097519975,98957.88719238964,97944.31128263765,short,"[92.73, 92.97]"
2016-03-09 11:37:00-05:00,2016-03-09 16:00:00-05:00,long,96.91,97.1,eod,0.9690999999999974,1010,191.8999999999977,23.0940338,168.8059661999977,97944.31128263765,98113.11724883765,long,"[96.83, 96.91]"
2016-03-14 10:15:00-04:00,2016-03-14 16:00:00-04:00,long,98.45,98.81,eod,0.984499999999997,996,358.55999999999943,22.821266328,335.73873367199946,98113.11724883765,98448.85598250965,long,"[98.35, 98.36]"
2016-03-28 15:26:00-04:00,2016-03-28 16:00:00-04:00,short,99.5,99.48,eod,0.9950000000000045,989,19.779999999996065,22.6798469,-2.8998469000039364,98448.85598250965,98445.95613560964,short,"[99.57, 99.65]"
2016-03-30 15:06:00-04:00,2016-03-30 16:00:00-04:00,long,101.74,101.55,eod,1.017399999999995,967,-183.7299999999978,22.23045003,-205.9604500299978,98445.95613560964,98239.99568557963,long,"[101.66, 101.71]"
2016-04-06 10:02:00-04:00,2016-04-06 16:00:00-04:00,long,101.56,102.72,eod,1.0156000000000063,967,1121.7199999999966,22.261902672,1099.4580973279967,98239.99568557963,99339.45378290763,long,"[101.4, 101.48]"
2016-04-11 15:06:00-04:00,2016-04-11 16:00:00-04:00,short,101.49,100.86,eod,1.0148999999999972,978,616.1399999999956,22.481698716,593.6583012839956,99339.45378290763,99933.11208419163,short,"[101.55, 101.71]"
2016-04-15 11:12:00-04:00,2016-04-15 16:00:00-04:00,long,103.04,102.76,eod,1.0304000000000002,969,-271.3200000000011,22.309023432,-293.6290234320011,99933.11208419163,99639.48306075962,long,"[103.0, 103.02]"
2016-04-25 11:40:00-04:00,2016-04-25 16:00:00-04:00,short,100.77,101.23,eod,1.0076999999999998,988,-454.48000000000786,22.691797128,-477.1717971280079,99639.48306075962,99162.31126363162,short,"[100.78, 100.84]"
2016-04-25 13:12:00-04:00,2016-04-25 16:00:00-04:00,long,101.08,101.23,eod,1.0108000000000033,981,147.15000000000558,22.543570314,124.60642968600558,99162.31126363162,99286.91769331762,long,"[100.98, 101.06]"
2016-05-04 10:11:00-04:00,2016-05-04 16:00:00-04:00,long,97.86,97.61,eod,0.9786000000000001,1014,-253.5,23.199871812,-276.699871812,99286.91769331762,99010.21782150562,long,"[97.8, 97.82]"
