entry_time,exit_time,position,instrument,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity
2018-01-31,2018-04-30,long,wheat,451.75,512.5,rebalance,22.5875,43,2612.25,3.89,2608.36,195974.31,198582.68
2018-02-28,2018-04-30,long,soybeans,1045.0,1037.75,rebalance,52.25,19,-137.75,3.97,-141.72,198582.68,198440.96
2017-10-02,2018-05-31,long,corn,351.5,394.0,rebalance,17.575,56,2380.0,3.94,2376.06,198440.96,200817.02
2018-04-30,2018-07-02,long,oil,68.56,73.89,rebalance,3.428,292,1556.36,4.0,1552.36,200817.02,202369.38
2018-05-31,2018-07-31,long,wheat,526.25,553.75,rebalance,26.3125,38,1045.0,4.0,1041.0,202369.38,203410.38
2018-07-02,2018-07-31,long,soybeans,848.5,903.75,rebalance,42.425,23,1270.75,3.9,1266.85,203410.38,204677.22
2018-04-30,2018-08-31,long,gold,1316.2,1200.3,rebalance,65.81,15,-1738.5,3.95,-1742.45,204677.22,202934.78
2018-07-31,2018-08-31,long,oil,69.88,69.84,rebalance,3.494,290,-11.6,4.05,-15.65,202934.78,202919.12
2018-07-31,2018-10-01,long,corn,372.25,365.75,rebalance,18.6125,54,-351.0,4.02,-355.02,202919.12,202564.1
2018-08-31,2018-10-01,long,wheat,518.5,509.5,rebalance,25.925,39,-351.0,4.04,-355.04,202564.1,202209.06
2018-10-01,2018-10-31,long,gold,1187.1,1212.3,rebalance,59.355,17,428.4,4.04,424.37,202209.06,202633.42
2018-10-01,2018-11-30,long,oil,75.37,50.78,rebalance,3.7685,268,-6590.12,4.04,-6594.16,202633.42,196039.26
2018-10-31,2018-12-31,long,corn,363.25,375.0,rebalance,18.1625,53,622.75,3.85,618.9,196039.26,196658.16
2018-08-31,2019-01-31,long,soybeans,833.0,915.25,rebalance,41.65,23,1891.75,3.83,1887.92,196658.16,198546.08
2018-12-31,2019-01-31,long,wheat,503.25,516.5,rebalance,25.1625,39,516.75,3.93,512.82,198546.08,199058.91
2018-11-30,2019-02-28,long,gold,1220.2,1312.8,rebalance,61.01,16,1481.6,3.9,1477.7,199058.91,200536.6
2019-01-31,2019-02-28,long,corn,376.5,362.0,rebalance,18.825,53,-768.5,3.99,-772.49,200536.6,199764.11
2019-02-28,2019-04-01,long,wheat,452.5,462.75,rebalance,22.625,44,451.0,3.98,447.02,199764.11,200211.13
2019-01-31,2019-04-30,long,oil,53.84,63.83,rebalance,2.692,371,3706.29,3.99,3702.3,200211.13,203913.43
2019-04-01,2019-04-30,long,gold,1288.4,1282.8,rebalance,64.42,15,-84.0,3.87,-87.86,203913.43,203825.56
2019-02-28,2019-05-31,long,soybeans,897.5,877.75,rebalance,44.875,22,-434.5,3.95,-438.45,203825.56,203387.11
2019-04-30,2019-05-31,long,wheat,418.5,503.0,rebalance,20.925,48,4056.0,4.02,4051.98,203387.11,207439.09
2019-05-31,2019-07-01,long,oil,53.49,58.91,rebalance,2.6745,390,2113.8,4.17,2109.63,208632.18,210741.8
2019-05-31,2019-07-01,long,gold,1305.8,1385.6,rebalance,65.29,15,1197.0,3.92,1193.08,207439.09,208632.18
2019-04-30,2019-07-31,long,corn,353.25,400.25,rebalance,17.6625,59,2773.0,4.17,2768.83,210741.8,213510.64
2019-07-01,2019-07-31,long,wheat,514.0,487.25,rebalance,25.7,41,-1096.75,4.21,-1100.96,213510.64,212409.67
2019-07-31,2019-09-30,long,oil,58.53,54.09,rebalance,2.9265,362,-1607.28,4.24,-1611.52,212409.67,210798.15
2019-07-31,2019-10-31,long,gold,1426.1,1511.4,rebalance,71.305,14,1194.2,3.99,1190.21,210798.15,211988.36
2019-07-01,2019-12-02,long,soybeans,885.5,870.5,rebalance,44.275,23,-345.0,4.07,-349.07,211988.36,211639.29
2019-10-31,2019-12-31,long,corn,390.0,387.75,rebalance,19.5,54,-121.5,4.21,-125.71,211639.29,211513.58
2019-09-30,2020-01-31,long,wheat,495.75,553.75,rebalance,24.7875,42,2436.0,4.16,2431.84,211513.58,213945.41
2019-12-02,2020-01-31,long,oil,55.97,51.58,rebalance,2.7985,382,-1676.98,4.28,-1681.26,213945.41,212264.15
2020-01-31,2020-03-02,long,soybeans,872.5,890.5,rebalance,43.625,24,432.0,4.19,427.81,212264.15,212691.97
2020-01-31,2020-03-31,long,corn,381.25,340.75,rebalance,19.0625,55,-2227.5,4.19,-2231.69,212691.97,210460.27
2020-03-31,2020-06-01,long,soybeans,886.0,840.5,rebalance,44.3,23,-1046.5,4.08,-1050.58,210027.17,208976.59
2020-03-02,2020-06-01,long,wheat,526.25,515.25,rebalance,26.3125,39,-429.0,4.1,-433.1,210460.27,210027.17
2019-12-31,2020-06-30,long,gold,1519.5,1793.0,rebalance,75.975,13,3555.5,3.95,3551.55,208976.59,212528.14
2020-06-01,2020-07-31,long,oil,35.49,40.1,rebalance,1.7745,598,2756.78,4.24,2752.54,212528.14,215280.68
2020-06-01,2020-08-31,long,corn,323.25,348.5,rebalance,16.1625,66,1666.5,4.27,1662.23,215280.68,216942.91
2020-07-31,2020-09-30,long,gold,1962.8,1887.5,rebalance,98.14,11,-828.3,4.32,-832.62,216942.91,216110.29
2020-09-30,2020-11-30,long,corn,379.0,419.75,rebalance,18.95,57,2322.75,4.32,2318.43,216110.29,218428.72
2020-08-31,2020-12-31,long,wheat,544.25,640.5,rebalance,27.2125,40,3850.0,4.35,3845.65,218428.72,222274.37
2020-11-30,2020-12-31,long,gold,1775.7,1893.1,rebalance,88.785,12,1408.8,4.26,1404.54,222274.37,223678.91
2020-06-30,2021-02-01,long,soybeans,884.25,1365.25,rebalance,44.2125,25,12025.0,4.42,12020.58,223678.91,235699.48
2020-12-31,2021-02-01,long,oil,48.35,53.55,rebalance,2.4175,487,2532.4,4.71,2527.69,235699.48,238227.18
2021-02-01,2021-03-31,long,gold,1860.8,1713.8,rebalance,93.04,13,-1911.0,4.84,-1915.84,242154.68,240238.84
2020-12-31,2021-03-31,long,corn,484.0,564.25,rebalance,24.2,49,3932.25,4.74,3927.51,238227.18,242154.68
2021-02-01,2021-04-30,long,wheat,651.0,742.5,rebalance,32.55,36,3294.0,4.69,3289.31,240238.84,243528.16
2021-03-31,2021-04-30,long,oil,59.19,63.5,rebalance,2.9595,411,1771.41,4.87,1766.54,243528.16,245294.7
2021-03-31,2021-05-31,long,soybeans,1436.75,1530.5,rebalance,71.8375,17,1593.75,4.88,1588.87,245294.7,246883.57
2021-04-30,2021-06-30,long,corn,740.0,720.0,rebalance,37.0,33,-660.0,4.88,-664.88,246883.57,246218.68
2021-05-31,2021-06-30,long,wheat,663.5,671.5,rebalance,33.175,37,296.0,4.91,291.09,246218.68,246509.77
2021-04-30,2021-08-02,long,gold,1767.3,1818.1,rebalance,88.365,13,660.4,4.59,655.8,246509.77,247165.58
2021-06-30,2021-08-02,long,soybeans,1450.0,1418.75,rebalance,72.5,17,-531.25,4.93,-536.18,247165.58,246629.4
2021-06-30,2021-08-31,long,oil,73.52,68.43,rebalance,3.676,335,-1705.15,4.93,-1710.08,246629.4,244919.32
2021-08-02,2021-08-31,long,corn,558.75,534.0,rebalance,27.9375,43,-1064.25,4.81,-1069.06,244919.32,243850.27
2021-08-31,2021-09-30,long,soybeans,1298.75,1256.0,rebalance,64.9375,18,-769.5,4.68,-774.18,243850.27,243076.09
2021-08-02,2021-11-01,long,wheat,729.5,797.25,rebalance,36.475,33,2235.75,4.81,2230.94,243076.09,245307.03
2021-08-31,2021-11-01,long,gold,1815.0,1795.1,rebalance,90.75,13,-258.7,4.72,-263.42,245307.03,245043.61
2021-11-01,2021-11-30,long,soybeans,1236.75,1217.25,rebalance,61.8375,19,-370.5,4.7,-375.2,245043.61,244668.41
2021-11-01,2021-12-31,long,oil,84.08,75.33,rebalance,4.204,290,-2537.5,4.88,-2542.38,244668.41,242126.03
2021-11-30,2021-12-31,long,wheat,773.75,770.75,rebalance,38.6875,31,-93.0,4.8,-97.8,242126.03,242028.23
2021-09-30,2022-01-31,long,corn,536.75,626.0,rebalance,26.8375,45,4016.25,4.83,4011.42,242028.23,246039.65
2021-12-31,2022-02-28,long,gold,1827.5,1899.4,rebalance,91.375,13,934.7,4.75,929.95,246039.65,246969.6
2021-12-31,2022-03-31,long,soybeans,1328.75,1618.25,rebalance,66.4375,18,5211.0,4.78,5206.22,246969.6,252175.82
2022-01-31,2022-03-31,long,oil,89.16,100.53,rebalance,4.458,282,3206.34,5.03,3201.31,252175.82,255377.13
2022-03-31,2022-05-31,long,gold,1949.2,1842.7,rebalance,97.46,13,-1384.5,5.07,-1389.57,255377.13,253987.56
2022-03-31,2022-05-31,long,wheat,1006.0,1087.5,rebalance,50.3,25,2037.5,5.03,2032.47,253987.56,256020.03
2022-02-28,2022-06-30,long,corn,697.5,743.75,rebalance,34.875,36,1665.0,5.02,1659.98,256020.03,257680.01
2022-05-31,2022-08-01,long,oil,114.38,96.59,rebalance,5.719,225,-4002.75,5.15,-4007.9,257680.01,253672.11
2022-06-30,2022-08-01,long,wheat,868.75,800.25,rebalance,43.4375,29,-1986.5,5.04,-1991.54,253672.11,251680.57
2022-08-01,2022-08-31,long,corn,607.0,673.75,rebalance,30.35,41,2736.75,4.98,2731.77,251680.57,254412.35
2022-05-31,2022-09-30,long,soybeans,1683.25,1364.75,rebalance,84.1625,15,-4777.5,5.05,-4782.55,254412.35,249629.8
2022-08-31,2022-11-30,long,wheat,809.0,771.5,rebalance,40.45,30,-1125.0,4.85,-1129.85,249629.8,248499.94
2022-09-30,2022-11-30,long,corn,677.5,662.0,rebalance,33.875,36,-558.0,4.88,-562.88,248499.94,247937.06
2022-11-30,2023-01-31,long,oil,80.48,78.95,rebalance,4.024,308,-471.24,4.96,-476.2,247937.06,247460.87
2022-11-30,2023-01-31,long,soybeans,1469.5,1538.0,rebalance,73.475,16,1096.0,4.7,1091.3,247460.87,248552.16
2022-08-01,2023-02-28,long,gold,1769.0,1828.9,rebalance,88.45,14,838.6,4.95,833.65,248552.16,249385.81
2023-01-31,2023-03-31,long,corn,679.75,660.5,rebalance,33.9875,36,-693.0,4.89,-697.89,249385.81,248687.92
2023-02-28,2023-05-01,long,oil,76.88,75.65,rebalance,3.844,323,-397.29,4.97,-402.26,248687.92,248285.66
2023-03-31,2023-05-01,long,soybeans,1505.5,1454.75,rebalance,75.275,16,-812.0,4.82,-816.82,248285.66,247468.84
2023-01-31,2023-05-31,long,wheat,761.25,594.25,rebalance,38.0625,32,-5344.0,4.87,-5348.87,247468.84,242119.97
2023-05-31,2023-06-30,long,oil,68.11,70.66,rebalance,3.4055,355,905.25,4.84,900.41,242119.97,243020.38
2023-05-01,2023-07-31,long,gold,1983.4,1970.5,rebalance,99.17,12,-154.8,4.76,-159.56,243020.38,242860.82
2023-05-01,2023-07-31,long,corn,639.5,504.0,rebalance,31.975,37,-5013.5,4.73,-5018.23,242860.82,237842.59
2023-07-31,2023-08-31,long,soybeans,1445.75,1360.0,rebalance,72.2875,16,-1372.0,4.63,-1376.63,237842.59,236465.97
2023-06-30,2023-10-02,long,wheat,636.25,564.75,rebalance,31.8125,37,-2645.5,4.71,-2650.21,236465.97,233815.76
2023-07-31,2023-10-31,long,oil,81.8,81.64,rebalance,4.09,285,-45.6,4.66,-50.26,233815.76,233765.49
2023-08-31,2023-10-31,long,gold,1938.2,1985.2,rebalance,96.91,12,564.0,4.65,559.35,233765.49,234324.84
2023-10-02,2023-11-30,long,corn,488.75,461.75,rebalance,24.4375,47,-1269.0,4.59,-1273.59,234324.84,233051.25
2023-10-31,2024-01-31,long,soybeans,1287.0,1222.25,rebalance,64.35,18,-1165.5,4.63,-1170.13,233051.25,231881.12
2023-11-30,2024-01-31,long,gold,2038.1,2048.3999,rebalance,101.905,11,113.3,4.48,108.82,231881.12,231989.93
2023-10-31,2024-02-29,long,wheat,556.25,577.5,rebalance,27.8125,41,871.25,4.56,866.69,231989.93,232856.62
2024-01-31,2024-04-01,long,corn,448.25,435.5,rebalance,22.4125,51,-650.25,4.57,-654.82,232856.62,232201.8
2024-01-31,2024-04-30,long,oil,76.28,83.49,rebalance,3.814,304,2191.84,4.64,2187.2,232201.8,234389.0
2024-04-01,2024-05-31,long,soybeans,1185.75,1205.0,rebalance,59.2875,19,365.75,4.51,361.24,234389.0,234750.24
2024-02-29,2024-07-01,long,gold,2045.7,2327.6001,rebalance,102.285,11,3100.9,4.5,3096.4,234750.24,237846.64
2024-04-30,2024-07-31,long,corn,439.5,382.75,rebalance,21.975,54,-3064.5,4.75,-3069.25,237846.64,234777.4
2024-05-31,2024-07-31,long,wheat,678.5,527.25,rebalance,33.925,34,-5142.5,4.61,-5147.11,234777.4,229630.28
2024-07-31,2024-09-02,long,oil,79.36,74.52,rebalance,3.968,285,-1379.4,4.52,-1383.92,226253.38,224869.45
2024-07-01,2024-09-02,long,soybeans,1159.5,982.0,rebalance,57.975,19,-3372.5,4.41,-3376.91,229630.28,226253.38
2024-07-31,2024-09-30,long,gold,2426.5,2636.1001,rebalance,121.325,9,1886.4,4.37,1882.03,224869.45,226751.49
2024-09-02,2024-12-02,long,corn,378.0,424.5,rebalance,18.9,59,2743.5,4.46,2739.04,226751.49,229490.53
