date,EMA,IMOM,ORB_composite,VWAP_composite,intraday_composite,overnight_composite,Bucket_A,Bucket_B,Portfolio,IBS_v2,IBS_v1,TFT,Quiver,ON_SPY,ON_QQQ,ON_IWM,ON_MDY,ON_EEM,ON_EWZ,ON_INDA,ON_EWW
2016-01-27,0.007282088930506525,0.0005032116205783144,-0.0005043635194357984,0.0030161392806972165,0.0025742690780865647,0.003998826917584727,0.006573095995671292,-0.0022979273230551156,0.0021375843363080882,-0.0009325725867720402,-0.008259136705448422,0.0,0.0,0.01004345053803779,0.009171959640487781,0.008357001815257448,0.006693546626464597,0.0,0.0,-0.002275343279569797,0.0
2016-01-28,0.002011243128900997,0.0,-0.0007414449380372204,-0.007508293083421713,-0.001559623723139484,0.0032446824888778536,0.0016850587657383695,0.0037198587505848923,0.002702458758161631,0.0025120961872757697,0.0046188453436828425,0.0,0.007748493471380957,0.0,0.010679049903619564,0.0014629547364795048,0.005639876216295914,0.0,0.0,0.0,0.008175579054627846
2016-01-29,0.020426505430216402,0.007299372469535603,0.013907008548960098,0.007524060420665446,0.012289236717344387,0.0,0.012289236717344387,0.0007669289766701337,0.0065280828470072605,0.003067715906680535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,0.004820032822858034,0.0,-0.0007104978124524338,0.00269741788991551,0.0017017382250802775,0.0,0.0017017382250802775,-0.0006800518134715272,0.0005108432058043751,-0.002720207253886109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,0.010231630155578486,-0.0016478767539332972,0.00468454158871338,-0.007489101866430092,0.0014447982809821193,0.0017661791143329664,0.0032109773953150856,-0.0015950325651308273,0.0008079724150921292,-0.0018048318551365794,0.0,0.0,-0.00457529840538673,0.005166473206333455,0.0038894032411818102,0.0076254771709323155,0.008301648560432584,-0.0008921806258036513,-0.009961388638412783,0.0,0.0
2016-02-03,0.010690605675221843,-0.016647304634595628,0.002773669485849043,0.0,-0.0007957573683811855,0.000804555309820737,8.797941439551483e-06,4.199048728262267e-05,2.5394214361087076e-05,0.003827405209923196,-0.003659443260792705,0.0,0.0,0.0,0.0015637580412153351,0.004872684437350561,0.0,0.0,0.0,0.0,0.0
2016-02-04,-0.012060724141324086,-0.006816050565766507,-0.0009998450185682388,0.00646000837294336,-0.0033541528381788683,0.0,-0.0033541528381788683,-0.000658692110096365,-0.0020064224741376166,4.91011825376475e-06,-3.464984878565058e-05,0.0,-0.002605028709853574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-05,0.026882610276908858,0.008972896058523139,0.008434365658760804,0.018708900420679186,0.015749693103717995,-0.004864643392223839,0.010885049711494156,-0.0020302418274521228,0.004427403942021017,-0.0013020470513888105,-0.006187637898388276,0.0,-0.0006312823600314044,0.0017232992490612276,0.001954435890652473,-0.0032922927988813244,-0.013500048596482683,0.0029062965546218233,-0.028708837436762225,0.0,0.0
2016-02-08,-0.0029545059618936165,-0.008681928271512929,-0.001084146737775682,-0.0016733506905686202,-0.003598482915437712,-0.0034263831817397117,-0.0070248660971774235,-0.0011555678882504972,-0.00409021699271396,-0.0019492197675214928,-0.002673051785480496,0.0,0.0,0.0,0.0,-0.003706143666982631,-0.011401020131684092,0.0,0.0,0.0,-0.01230390165525097
2016-02-09,-0.00767174368672241,-0.004154895196967434,0.003014116236600528,-0.006195847836848956,-0.003752092620984568,0.0,-0.003752092620984568,-0.001002769473384152,-0.00237743104718436,-0.0017498659703401032,-0.0022612119231965044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
