strategy,cagr_full,cagr_ex_covid,cagr_ex_2022,cagr_ex_both
annual_contrarian_5yr_bot5,0.13475037678021895,0.13786039887905477,0.12840971856581795,0.13145866999808575
annual_contrarian_3yr_bot5,0.09076704929580015,0.12072990621325164,0.08978157973378398,0.12353613560976173
xsec_mom_6-1_top5,0.07129896702107508,0.0826706293514321,0.08289259790955561,0.09668569756144674
xsec_mom_12-1_top5,0.06992915629717489,0.07508039248110432,0.09201121472390561,0.09950079443632887
ts_sma10mo_faber,0.06948677098467448,0.08308231121388232,0.0704745184158535,0.08590580345602028
ts_sma200_daily,0.06814754617393204,0.0780635542559891,0.07108951583060441,0.08251833865456137
em_dm_rotation,0.06333646281233696,0.06898408980907367,0.09063918386992653,0.09910706584114859
dual_mom_top1,0.06265527358305478,0.06826026613610114,0.04537413085555775,0.050399851913339955
xsec_mom_12-1_top3,0.061311509910677575,0.058435149876290504,0.08282365022701077,0.08101825248910144
annual_xsec_mom_12_top5,0.04929865647621079,0.060386140313076986,0.07995195408990696,0.09501784420556159
em_dm_rotation_bilfilter,0.04399743696313263,0.05478851206801205,0.06474117898701226,0.07863460729866656
annual_xsec_mom_12_top3,0.04359777682795518,0.053274195951976244,0.07311736517368073,0.08644810791733115
annual_ts_mom_12mo,0.0328655201277257,0.04443872306515151,0.05457834225469416,0.06945905460510193
dual_mom_top3,0.03134172999216278,0.03738143719852349,0.04279099467258951,0.05048614544015928
xsec_mom_3-1_top5,0.029866773101884236,0.04312743528330576,0.051646925963506396,0.06848370172761098
annual_dual_mom_top1,0.029559904926810265,0.04202148337729672,0.05602154203013332,0.0723366380553585
dual_mom_top5,0.02864185809873976,0.04696535938484714,0.047247097571981866,0.06964247315583405
ts_mom_12mo_positive,0.025105750256579684,0.03405034805794194,0.03367173691832037,0.04445371179759516
xsec_mom_12-1_LS5x5,-0.000992231328897808,-0.003903671327254443,0.0049947680380009185,0.002107132596588679
SPY_BH,0.12788311422581478,0.13055205808145276,0.17117037554919423,0.1773696220393841
