top_pct,top_n,freq,mom_window,median_sharpe,min_sharpe,n_positive,stability,commodities,real_assets
0.25,2,6ME,3,0.6562,0.2041,2,0.7067,0.2041,1.1084
0.25,2,6ME,6,0.6562,0.2041,2,0.7657,0.2041,1.1084
0.33,2,6ME,3,0.6562,0.2041,2,0.7131,0.2041,1.1084
0.33,2,6ME,6,0.6562,0.2041,2,0.771,0.2041,1.1084
0.5,4,6ME,6,0.6038,0.2341,2,0.9009,0.2341,0.9734
0.5,4,6ME,3,0.6038,0.2341,2,0.8176,0.2341,0.9734
0.5,4,6ME,12,0.5988,0.4129,2,0.8533,0.4129,0.7848
0.5,4,6ME,9,0.5988,0.4129,2,0.8809,0.4129,0.7848
0.15,1,6ME,3,0.5828,0.0572,2,0.6729,0.0572,1.1084
0.15,1,6ME,6,0.5828,0.0572,2,0.7394,0.0572,1.1084
0.1,1,6ME,3,0.5828,0.0572,2,0.5596,0.0572,1.1084
0.1,1,6ME,6,0.5828,0.0572,2,0.6621,0.0572,1.1084
0.1,1,2ME,12,0.5688,0.4212,2,0.7824,0.4212,0.7163
0.15,1,2ME,12,0.5688,0.4212,2,0.8145,0.4212,0.7163
0.5,4,QE,6,0.5675,0.4689,2,0.8196,0.4689,0.6662
0.25,2,QE,12,0.5564,0.4106,2,0.9804,0.4106,0.7022
0.33,2,QE,12,0.5564,0.4106,2,0.9809,0.4106,0.7022
0.25,2,6ME,9,0.5544,0.0644,2,0.8573,0.0644,1.0445
0.25,2,6ME,12,0.5544,0.0644,2,0.7964,0.0644,1.0445
0.33,2,6ME,12,0.5544,0.0644,2,0.8519,0.0644,1.0445
0.33,2,6ME,9,0.5544,0.0644,2,0.9036,0.0644,1.0445
0.1,1,QE,9,0.5523,0.3778,2,0.7833,0.3778,0.7267
0.15,1,QE,9,0.5523,0.3778,2,0.8171,0.3778,0.7267
0.25,2,QE,9,0.5445,0.3623,2,0.9332,0.3623,0.7267
0.33,2,QE,9,0.5445,0.3623,2,0.9305,0.3623,0.7267
0.5,4,QE,9,0.5434,0.4883,2,0.9359,0.4883,0.5986
0.5,4,QE,12,0.5373,0.4782,2,0.9243,0.4782,0.5965
0.33,2,2ME,12,0.5362,0.356,2,0.8542,0.356,0.7163
0.25,2,2ME,12,0.5362,0.356,2,0.9292,0.356,0.7163
0.15,1,QE,12,0.5359,0.3696,2,0.9921,0.3696,0.7022
0.1,1,QE,12,0.5359,0.3696,2,0.9805,0.3696,0.7022
0.33,2,QE,6,0.4676,0.3039,2,1.0389,0.3039,0.6313
0.25,2,QE,6,0.4676,0.3039,2,0.9726,0.3039,0.6313
1.0,7,6ME,9,0.4575,0.4465,2,0.9825,0.4684,0.4465
1.0,7,6ME,12,0.4575,0.4465,2,1.0064,0.4684,0.4465
0.25,2,ME,12,0.4561,0.3203,2,0.9387,0.3203,0.5919
0.33,2,ME,12,0.4561,0.3203,2,0.9414,0.3203,0.5919
0.5,4,ME,3,0.4561,0.4509,2,0.8835,0.4613,0.4509
0.33,2,ME,3,0.4527,0.3152,2,0.9799,0.3152,0.5903
0.25,2,ME,3,0.4527,0.3152,2,0.8632,0.3152,0.5903
0.25,2,ME,6,0.4514,0.3338,2,0.8233,0.3338,0.569
0.33,2,ME,6,0.4514,0.3338,2,0.8652,0.3338,0.569
0.1,1,6ME,12,0.4448,-0.1548,1,0.7661,-0.1548,1.0445
0.1,1,6ME,9,0.4448,-0.1548,1,0.8823,-0.1548,1.0445
0.15,1,6ME,12,0.4448,-0.1548,1,0.8622,-0.1548,1.0445
0.15,1,6ME,9,0.4448,-0.1548,1,0.943,-0.1548,1.0445
0.5,4,ME,12,0.4316,0.4262,2,0.9221,0.4371,0.4262
1.0,7,6ME,3,0.4304,0.371,2,1.0267,0.371,0.4897
1.0,7,6ME,6,0.4304,0.371,2,1.0484,0.371,0.4897
0.1,1,ME,12,0.4267,0.2616,2,0.9831,0.2616,0.5919
0.15,1,ME,12,0.4267,0.2616,2,1.0046,0.2616,0.5919
0.5,4,ME,9,0.4219,0.4034,2,0.9045,0.4404,0.4034
1.0,7,QE,12,0.4168,0.3809,2,1.0502,0.4527,0.3809
0.33,2,2ME,3,0.4142,0.2397,2,0.9394,0.2397,0.5887
0.25,2,2ME,3,0.4142,0.2397,2,0.9049,0.2397,0.5887
0.5,4,2ME,9,0.4112,0.3449,2,1.0122,0.3449,0.4775
0.5,4,2ME,6,0.4093,0.198,2,1.0053,0.198,0.6205
0.5,4,12ME,12,0.4069,0.2129,2,0.9043,0.2129,0.6009
0.5,4,12ME,6,0.4069,0.2129,2,0.9259,0.2129,0.6009
0.5,4,12ME,9,0.4069,0.2129,2,0.9235,0.2129,0.6009
0.5,4,12ME,3,0.4069,0.2129,2,0.9074,0.2129,0.6009
0.5,4,ME,6,0.4022,0.3877,2,1.0282,0.3877,0.4166
0.5,4,2ME,3,0.3997,0.2837,2,0.9904,0.2837,0.5157
1.0,7,QE,6,0.3957,0.3956,2,1.0564,0.3956,0.3959
1.0,7,QE,9,0.3921,0.3843,2,1.1195,0.4,0.3843
0.1,1,QE,6,0.3815,0.1317,2,1.0427,0.1317,0.6313
0.15,1,QE,6,0.3815,0.1317,2,1.0732,0.1317,0.6313
1.0,7,2ME,9,0.3813,0.3645,2,0.982,0.3645,0.3981
0.33,2,2ME,9,0.3737,0.3677,2,1.1204,0.3796,0.3677
0.25,2,2ME,9,0.3737,0.3677,2,1.0479,0.3796,0.3677
0.5,4,QE,3,0.3709,0.277,2,1.2195,0.277,0.4647
1.0,7,ME,9,0.3695,0.3676,2,1.0003,0.3713,0.3676
1.0,7,12ME,12,0.3687,0.2695,2,1.1148,0.2695,0.4679
1.0,7,12ME,3,0.3687,0.2695,2,1.0903,0.2695,0.4679
1.0,7,12ME,9,0.3687,0.2695,2,1.0861,0.2695,0.4679
1.0,7,12ME,6,0.3687,0.2695,2,1.0677,0.2695,0.4679
0.5,4,2ME,12,0.3678,0.2108,2,1.24,0.2108,0.5248
1.0,7,QE,3,0.3646,0.3596,2,1.0462,0.3596,0.3697
1.0,7,2ME,12,0.364,0.3605,2,1.0385,0.3605,0.3676
1.0,7,ME,3,0.3572,0.3445,2,1.0396,0.3699,0.3445
0.25,2,2ME,6,0.3529,0.0307,2,1.1008,0.0307,0.6751
0.33,2,2ME,6,0.3529,0.0307,2,1.1661,0.0307,0.6751
1.0,7,ME,12,0.3461,0.3297,2,1.1221,0.3626,0.3297
1.0,7,2ME,6,0.3354,0.3195,2,1.0997,0.3195,0.3513
1.0,7,ME,6,0.3291,0.3177,2,1.1124,0.3406,0.3177
1.0,7,2ME,3,0.3288,0.3225,2,1.1077,0.3225,0.3351
0.1,1,2ME,3,0.3282,0.0677,2,0.7962,0.0677,0.5887
0.15,1,2ME,3,0.3282,0.0677,2,0.8894,0.0677,0.5887
0.33,2,QE,3,0.326,0.1754,2,1.3711,0.1754,0.4766
0.25,2,QE,3,0.326,0.1754,2,1.2671,0.1754,0.4766
0.15,1,ME,6,0.3075,0.046,2,1.0001,0.046,0.569
0.1,1,ME,6,0.3075,0.046,2,0.8832,0.046,0.569
0.25,2,ME,9,0.2936,0.1462,2,1.2519,0.1462,0.4411
0.33,2,ME,9,0.2936,0.1462,2,1.3601,0.1462,0.4411
0.15,1,2ME,6,0.271,-0.1332,1,1.1622,-0.1332,0.6751
0.1,1,2ME,6,0.271,-0.1332,1,1.1342,-0.1332,0.6751
0.1,1,ME,9,0.263,0.0848,2,1.1843,0.0848,0.4411
0.15,1,ME,9,0.263,0.0848,2,1.1707,0.0848,0.4411
0.1,1,2ME,9,0.2487,0.1296,2,1.531,0.1296,0.3677
0.15,1,2ME,9,0.2487,0.1296,2,1.5263,0.1296,0.3677
0.15,1,ME,3,0.2448,-0.1007,1,1.3615,-0.1007,0.5903
0.1,1,ME,3,0.2448,-0.1007,1,1.1989,-0.1007,0.5903
0.15,1,QE,3,0.2013,-0.074,1,1.808,-0.074,0.4766
0.1,1,QE,3,0.2013,-0.074,1,1.8552,-0.074,0.4766
0.33,2,12ME,3,0.0975,-0.3667,1,3.2259,-0.3667,0.5617
0.33,2,12ME,6,0.0975,-0.3667,1,2.7807,-0.3667,0.5617
0.33,2,12ME,9,0.0975,-0.3667,1,2.5719,-0.3667,0.5617
0.33,2,12ME,12,0.0975,-0.3667,1,2.9649,-0.3667,0.5617
0.25,2,12ME,3,0.0975,-0.3667,1,2.0226,-0.3667,0.5617
0.25,2,12ME,6,0.0975,-0.3667,1,1.8181,-0.3667,0.5617
0.25,2,12ME,9,0.0975,-0.3667,1,1.6092,-0.3667,0.5617
0.25,2,12ME,12,0.0975,-0.3667,1,1.7615,-0.3667,0.5617
0.15,1,12ME,3,-0.0624,-0.6864,1,-2.2256,-0.6864,0.5617
0.15,1,12ME,6,-0.0624,-0.6864,1,-1.5804,-0.6864,0.5617
0.15,1,12ME,9,-0.0624,-0.6864,1,-1.1381,-0.6864,0.5617
0.15,1,12ME,12,-0.0624,-0.6864,1,-1.6727,-0.6864,0.5617
0.1,1,12ME,12,-0.0624,-0.6864,1,-1.7094,-0.6864,0.5617
0.1,1,12ME,9,-0.0624,-0.6864,1,-1.0321,-0.6864,0.5617
0.1,1,12ME,6,-0.0624,-0.6864,1,-1.5849,-0.6864,0.5617
0.1,1,12ME,3,-0.0624,-0.6864,1,-2.4466,-0.6864,0.5617
