entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason,exposure
1996-03-31,1996-04-30,long,SP500_VIX_sized,100.0,102.51,0.0251,monthly_rebalance,1.0
1996-04-30,1996-05-31,long,SP500_VIX_sized,100.0,102.78,0.0278,monthly_rebalance,1.0
1996-05-31,1996-06-30,long,SP500_VIX_sized,100.0,99.27,-0.0073,monthly_rebalance,1.0
1996-06-30,1996-07-31,long,SP500_VIX_sized,100.0,97.47,-0.0253,monthly_rebalance,0.5
1996-07-31,1996-08-31,long,SP500_VIX_sized,100.0,103.18,0.0318,monthly_rebalance,1.0
1996-08-31,1996-09-30,long,SP500_VIX_sized,100.0,105.45,0.0545,monthly_rebalance,1.0
1996-09-30,1996-10-31,long,SP500_VIX_sized,100.0,101.29,0.0129,monthly_rebalance,1.0
1996-10-31,1996-11-30,long,SP500_VIX_sized,100.0,106.66,0.0666,monthly_rebalance,1.0
1996-11-30,1996-12-31,long,SP500_VIX_sized,100.0,98.76,-0.0124,monthly_rebalance,1.0
1996-12-31,1997-01-31,long,SP500_VIX_sized,100.0,105.42,0.0542,monthly_rebalance,1.0
1997-01-31,1997-02-28,long,SP500_VIX_sized,100.0,99.91,-0.0009,monthly_rebalance,1.0
1997-02-28,1997-03-31,long,SP500_VIX_sized,100.0,95.41,-0.0459,monthly_rebalance,1.0
1997-03-31,1997-04-30,long,SP500_VIX_sized,100.0,104.47,0.0447,monthly_rebalance,1.0
1997-04-30,1997-05-31,long,SP500_VIX_sized,100.0,107.22,0.0722,monthly_rebalance,1.0
1997-05-31,1997-06-30,long,SP500_VIX_sized,100.0,104.47,0.0447,monthly_rebalance,1.0
1997-06-30,1997-07-31,long,SP500_VIX_sized,100.0,107.74,0.0774,monthly_rebalance,1.0
1997-07-31,1997-08-31,long,SP500_VIX_sized,100.0,96.32,-0.0368,monthly_rebalance,1.0
1997-08-31,1997-09-30,long,SP500_VIX_sized,100.0,105.78,0.0578,monthly_rebalance,1.0
1997-09-30,1997-10-31,long,SP500_VIX_sized,100.0,96.61,-0.0339,monthly_rebalance,1.0
1997-10-31,1997-11-30,long,SP500_VIX_sized,100.0,104.875,0.04875,monthly_rebalance,1.5
