dlycaldt,ret,equity
1963-12-02,0.008660678359194625,1.0086606783591947
1963-12-03,-0.0056274936585506575,1.002984446788099
1963-12-04,0.0065785919205612175,1.0095826721661878
1963-12-05,0.0006920900700687533,1.0102813943085074
1963-12-06,-0.01213223226385266,0.9980244257809077
1963-12-09,0.00520331621328565,1.0032174624568286
1963-12-10,0.005841882118195457,1.0090781406114164
1963-12-11,-0.009868830650177022,0.9991197193289268
1963-12-12,-0.0005895258864540489,0.9985307123907158
1963-12-13,0.0005527165461379608,0.999082616837281
1963-12-16,0.010567794002339462,1.0096407161233356
1963-12-17,0.029229786030207497,1.0391522982230061
1963-12-18,-0.019016485099654666,1.0193912740275763
1963-12-19,-0.011712679355485854,1.0074514708971112
1963-12-20,-0.0133411631986175,0.9940108964091855
1963-12-23,-0.01148823919621342,0.9825914614675942
1963-12-24,0.02356026061716276,1.0057415723799696
1963-12-26,0.004254698473728024,1.0100206995129395
1963-12-27,-0.00795219322925536,1.001988819744865
1963-12-30,0.005704128619428449,1.007704292847919
1963-12-31,0.002202509926765694,1.0099237715561609
1964-01-02,0.016527344304165987,1.0266151294496315
1964-01-03,-0.0029905023856047043,1.0235450344559145
1964-01-06,-0.008493586033501185,1.0148514666466002
1964-01-07,-0.008581991660543277,1.006142019823149
1964-01-08,0.009121948148138017,1.0153199951576386
1964-01-09,0.011510532358819723,1.0270068688164573
1964-01-10,-0.005265358105162124,1.0215993098756773
1964-01-13,-0.005248669203649406,1.0162372730394633
1964-01-14,0.009528119726027318,1.0259201034470349
1964-01-15,-0.0011212425591838404,1.0247697981647277
1964-01-16,-0.007657226898987148,1.016922903300951
1964-01-17,-0.00161680530605226,1.015278736955048
1964-01-20,-0.010669786265939129,1.004445929831385
1964-01-21,0.001843328641224936,1.006297453782405
1964-01-22,0.002717759830879995,1.0090323285802116
1964-01-23,0.001583750044242091,1.0106303835752424
1964-01-24,0.009505736824050658,1.020237170027898
1964-01-27,-0.00532649124549369,1.0148028856734173
1964-01-28,5.601629059026226e-06,1.014808570222751
1964-01-29,-0.00609999971118818,1.0086182382374809
1964-01-30,0.0034593448082581163,1.0121073965034422
1964-01-31,0.00975692578358761,1.0219824532561463
1964-02-03,-0.010334696798554008,1.0114205744683016
1964-02-04,-0.0038942578704192644,1.0074818419358744
1964-02-05,-0.0017013901110539248,1.0057677222929382
1964-02-06,0.008180478589648812,1.0139953836113156
1964-02-07,0.0001358007560519102,1.014133084951043
1964-02-10,0.0006850990504609969,1.014827866564584
1964-02-11,0.002118746167560967,1.0169780292176018
1964-02-12,0.005001624283621273,1.0220645712244458
1964-02-13,0.001326556305678373,1.0234203974262142
1964-02-14,-0.0013245751864278102,1.0220648001624992
1964-02-17,-0.005226545976532284,1.0167229314934547
1964-02-18,0.0037152569535640915,1.0205003184345338
1964-02-19,0.007090041005911959,1.027735707538781
1964-02-20,0.008286497610887315,1.0362520370239248
1964-02-24,0.0019562663421767664,1.038279222005967
1964-02-25,-0.0009601027979419001,1.037282367219874
1964-02-26,0.005864523841418905,1.0433655343927186
1964-02-27,-0.007335813018120702,1.035711599922862
1964-02-28,0.00804380435688194,1.044042661402795
1964-03-02,0.007014065749641033,1.0513656452753044
1964-03-03,-0.008535128942678395,1.0423921039269775
1964-03-04,-0.002602838535724122,1.0396789255895418
1964-03-05,0.010201384140407176,1.0502850896921665
1964-03-06,0.009976245948208725,1.060762992062672
1964-03-09,-0.003753181710538335,1.0567817558016466
1964-03-10,0.006410297036571495,1.0635560407591649
1964-03-11,0.008611358368993086,1.0727147029716495
1964-03-12,0.00020899822909798728,1.072938898444898
1964-03-13,-2.6497696985645225e-06,1.0729360554039165
