entry_time,exit_time,position,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity
1963-11-29,1964-02-28,long,1.0,1.044043,rebalance,0.0,1,4404.27,0,4404.27,100000.0,104404.27
1964-02-28,1964-05-28,long,1.0,1.147445,rebalance,0.0,1,15393.91,0,15393.91,104404.27,119798.18
1964-05-28,1964-08-31,long,1.0,0.967563,rebalance,0.0,1,-3885.94,0,-3885.94,119798.18,115912.23
1964-08-31,1964-11-30,long,1.0,1.123003,rebalance,0.0,1,14257.57,0,14257.57,115912.23,130169.8
1964-11-30,1965-02-26,long,1.0,1.05698,rebalance,0.0,1,7417.08,0,7417.08,130169.8,137586.88
1965-02-26,1965-05-28,long,1.0,1.050422,rebalance,0.0,1,6937.41,0,6937.41,137586.88,144524.29
1965-05-28,1965-08-31,long,1.0,1.041407,rebalance,0.0,1,5984.29,0,5984.29,144524.29,150508.58
1965-08-31,1965-11-30,long,1.0,1.231033,rebalance,0.0,1,34772.49,0,34772.49,150508.58,185281.07
1965-11-30,1966-02-28,long,1.0,1.185108,rebalance,0.0,1,34297.08,0,34297.08,185281.07,219578.15
1966-02-28,1966-05-31,long,1.0,0.983409,rebalance,0.0,1,-3642.94,0,-3642.94,219578.15,215935.21
1966-05-31,1966-08-31,long,1.0,0.961872,rebalance,0.0,1,-8233.19,0,-8233.19,215935.21,207702.02
1966-08-31,1966-11-30,long,1.0,1.081332,rebalance,0.0,1,16892.75,0,16892.75,207702.02,224594.77
1966-11-30,1967-02-28,long,1.0,1.109031,rebalance,0.0,1,24487.79,0,24487.79,224594.77,249082.57
1967-02-28,1967-05-31,long,1.0,1.092702,rebalance,0.0,1,23090.53,0,23090.53,249082.57,272173.1
1967-05-31,1967-08-31,long,1.0,1.13159,rebalance,0.0,1,35815.35,0,35815.35,272173.1,307988.45
1967-08-31,1967-11-30,long,1.0,1.067952,rebalance,0.0,1,20928.43,0,20928.43,307988.45,328916.89
1967-11-30,1968-02-29,long,1.0,0.856925,rebalance,0.0,1,-47059.69,0,-47059.69,328916.89,281857.19
1968-02-29,1968-05-31,long,1.0,1.380014,rebalance,0.0,1,107109.6,0,107109.6,281857.19,388966.79
1968-05-31,1968-08-30,long,1.0,1.008875,rebalance,0.0,1,3452.13,0,3452.13,388966.79,392418.92
1968-08-30,1968-11-29,long,1.0,1.166822,rebalance,0.0,1,65463.96,0,65463.96,392418.92,457882.89
1968-11-29,1969-02-28,long,1.0,0.874423,rebalance,0.0,1,-57499.78,0,-57499.78,457882.89,400383.1
1969-02-28,1969-05-29,long,1.0,1.107398,rebalance,0.0,1,43000.39,0,43000.39,400383.1,443383.49
1969-05-29,1969-08-29,long,1.0,0.889444,rebalance,0.0,1,-49018.7,0,-49018.7,443383.49,394364.79
1969-08-29,1969-11-28,long,1.0,1.022997,rebalance,0.0,1,9069.04,0,9069.04,394364.79,403433.83
1969-11-28,1970-02-27,long,1.0,1.028594,rebalance,0.0,1,11535.93,0,11535.93,403433.83,414969.76
1970-02-27,1970-05-29,long,1.0,0.794647,rebalance,0.0,1,-85215.15,0,-85215.15,414969.76,329754.62
1970-05-29,1970-08-31,long,1.0,1.043673,rebalance,0.0,1,14401.45,0,14401.45,329754.62,344156.07
1970-08-31,1970-11-30,long,1.0,1.110522,rebalance,0.0,1,38036.86,0,38036.86,344156.07,382192.93
1970-11-30,1971-02-26,long,1.0,1.068909,rebalance,0.0,1,26336.56,0,26336.56,382192.93,408529.49
1971-02-26,1971-05-28,long,1.0,1.078769,rebalance,0.0,1,32179.63,0,32179.63,408529.49,440709.12
1971-05-28,1971-08-31,long,1.0,1.079782,rebalance,0.0,1,35160.87,0,35160.87,440709.12,475870.0
1971-08-31,1971-11-30,long,1.0,1.021248,rebalance,0.0,1,10111.14,0,10111.14,475870.0,485981.14
1971-11-30,1972-02-29,long,1.0,1.33786,rebalance,0.0,1,164193.61,0,164193.61,485981.14,650174.75
1972-02-29,1972-05-31,long,1.0,1.135448,rebalance,0.0,1,88065.16,0,88065.16,650174.75,738239.91
1972-05-31,1972-08-31,long,1.0,0.95915,rebalance,0.0,1,-30157.42,0,-30157.42,738239.91,708082.49
