ym,monthly_ret
1963-12,0.009923771556160865
1964-01,0.011940189982264648
1964-02,0.02158570147301675
1964-03,0.046025627643887956
1964-04,0.013269876955875226
1964-05,0.08259123071596464
1964-06,-0.010827628847562054
1964-07,-0.0001988798312773099
1964-08,-0.0216517705192818
1964-09,0.06996571756233538
1964-10,0.02223086721694134
1964-11,0.02674388316498133
1964-12,-0.020766958565773486
1965-01,0.041965743643878506
1965-02,0.035922544922756705
1965-03,-0.012136280740814187
1965-04,0.06919380594444391
1965-05,-0.005487259393692212
1965-06,-0.08205273190363283
1965-07,0.07041691610956602
1965-08,0.05986295268327546
1965-09,0.03225942367324408
1965-10,0.08359846792161663
1965-11,0.10055703970629959
1965-12,0.013193419744037094
1966-01,0.08593675560203762
1966-02,0.07711278402955157
1966-03,0.036561429224407194
1966-04,0.04385538351819518
1966-05,-0.09113588000453288
1966-06,0.02954660293778688
1966-07,-0.0066635997370741995
1966-08,-0.059465150627233454
1966-09,-0.038351216607295235
1966-10,-0.05636463217236054
1966-11,0.19162122539855386
1966-12,0.026633342632323753
1967-01,0.06969504792092618
1967-02,0.009876665931324302
1967-03,0.07208982761154403
1967-04,0.07809405236665645
1967-05,-0.054603383930476146
1967-06,0.0557817307805033
1967-07,0.05786041262720487
1967-08,0.013180270427751273
1967-09,0.040993295236193106
1967-10,0.007590236125655014
1967-11,0.018168956269177583
1967-12,0.04606235341804754
1968-01,-0.11131626673223505
1968-02,-0.07819693633374414
1968-03,0.06779791335076846
1968-04,0.18821485154033546
1968-05,0.08767553292174979
1968-06,0.019430002118116185
1968-07,-0.048511557663416305
1968-08,0.040103332742513986
1968-09,0.08957420303827379
1968-10,-0.005060194447928934
1968-11,0.07634340231164383
1968-12,-0.021296573417286524
1969-01,-0.032237610590504784
1969-02,-0.07678791221092329
1969-03,0.0570615148681235
1969-04,0.04354542756668711
1969-05,0.0039039286068007772
1969-06,-0.12004725125537541
1969-07,-0.06796634535072443
1969-08,0.0844952785147084
1969-09,-0.046267439281617695
1969-10,0.07208969151624056
1969-11,0.000498530024835242
1969-12,0.026848694883273128
1970-01,-0.03975343791184793
1970-02,0.043169598931967146
1970-03,-0.04810016726071986
1970-04,-0.1110219808785664
1970-05,-0.06094255708527119
1970-06,0.006466804527574865
1970-07,0.03190431046920805
1970-08,0.004906531284711413
1970-09,0.03835248646357736
1970-10,0.018124335430409255
1970-11,0.050465002404395776
1970-12,0.027246154068507833
1971-01,-0.01027826298669976
1971-02,0.051364063578894115
1971-03,0.05554235760759063
1971-04,0.057896634320177
1971-05,-0.03392747873404667
1971-06,0.05405553180920508
1971-07,-0.049324528452530214
1971-08,0.07755762223310358
1971-09,0.008840033049627882
1971-10,-0.022294563444907323
1971-11,0.03538233859407347
1971-12,0.12365457711225725
1972-01,0.09993185084249712
1972-02,0.08246055462954138
1972-03,0.018232223306439588
1972-04,0.02255275069453666
1972-05,0.09052308390290409
1972-06,-0.010829826735044623
1972-07,-0.023183874841875896
1972-08,-0.007335473589548669
1972-09,0.030679721083131994
1972-10,0.02065070386486667
1972-11,0.009805645650851513
1972-12,0.04809639830605872
1973-01,-0.01306907078323094
1973-02,-0.032647335936378696
1973-03,0.017402578865545193
1973-04,-0.062392229933916465
1973-05,-0.014915080385339285
1973-06,0.016128466447886236
1973-07,0.0069963488314024325
1973-08,-0.04307914402019919
1973-09,0.04747568454577378
1973-10,0.060336414933487514
1973-11,-0.05043643106214002
1973-12,0.0540515808491806
1974-01,-0.0937772791748489
1974-02,0.03068598294305991
1974-03,-0.04687857522140326
1974-04,-0.037137280091482205
1974-05,-0.081528510861971
1974-06,-0.0034827643146623233
1974-07,-0.022703711306954588
1974-08,-0.07360461692098352
1974-09,-0.08607444746806159
1974-10,0.19244844408735973
1974-11,-0.027768039770519337
1974-12,-0.026825814864684605
1975-01,0.12047320801594763
1975-02,0.059184356773329894
1975-03,0.08482962850984133
1975-04,0.07569134737072392
1975-05,0.018546828829022255
1975-06,0.051382762356603884
1975-07,-0.03263894036254633
1975-08,-0.03577146158656874
1975-09,-0.0014241664935775722
1975-10,-0.019274217931861792
1975-11,-0.0033025243360975676
1975-12,-0.007899166077414588
1976-01,0.11188146983096114
1976-02,0.05131559072245229
1976-03,-0.0022046397287687203
1976-04,-0.02197014609009562
1976-05,-0.019993522681386544
1976-06,0.02453474845945136
1976-07,-0.007636796694010517
1976-08,-0.00881562889451204
1976-09,0.009898339781234222
1976-10,-0.03791294260537281
1976-11,0.020427029990439438
1976-12,0.058477470988087976
1977-01,0.0021999544028066254
1977-02,-0.02195776839364738
1977-03,-0.02188951990895116
1977-04,0.03504717194086271
1977-05,-0.00781789443439318
1977-06,0.057860642306971855
1977-07,-0.04704379624112498
1977-08,-0.012105306000424698
1977-09,0.00018068749436928044
1977-10,-0.06672668032085305
1977-11,0.09209118966678043
1977-12,0.057631355763463565
1978-01,-0.06432692678907947
1978-02,0.014985183430861193
1978-03,0.053480743596326485
1978-04,0.12878121133117082
1978-05,0.06548450699258335
1978-06,0.0245556713295223
1978-07,0.10352023798653232
1978-08,0.06596080687458827
1978-09,-0.06854443679653366
1978-10,-0.21446235622901888
1978-11,0.13955754583348523
1978-12,0.03461370237995465
1979-01,0.06360450520134808
1979-02,-0.07682786157340238
1979-03,0.09454407091090689
1979-04,0.011210053448572399
1979-05,-0.046533590562603755
1979-06,0.07160424658566944
1979-07,-0.022090285991323122
1979-08,0.07982714207890274
1979-09,0.07276798154023578
1979-10,-0.05204865927485325
1979-11,0.13630829806994327
1979-12,0.10441908641755382
1980-01,0.15561175475939382
1980-02,0.10991170806117223
1980-03,-0.21023323069013877
1980-04,0.12248301394581884
1980-05,0.039582330432465174
1980-06,0.060200730613634734
1980-07,0.07549197864962576
1980-08,0.0313296943416157
1980-09,0.08317591528722357
1980-10,0.04229842843251186
1980-11,0.19296484479686948
1980-12,-0.07230931338390256
1981-01,-0.12255605983009898
1981-02,0.007417798530679143
1981-03,0.11997514421290378
1981-04,-0.018381732601440492
1981-05,0.058892866720095194
1981-06,-0.11377128831055516
1981-07,-0.027163785185743694
1981-08,-0.10629432098924685
1981-09,-0.01209326454133397
1981-10,0.17746289591534725
1981-11,0.004360644593242036
1981-12,-0.02857340382930451
1982-01,-0.013342007685966606
1982-02,-0.055939594387680036
1982-03,-0.01566216610351867
1982-04,0.08195972636159654
1982-05,-0.07605477437470709
1982-06,0.03637176415025434
1982-07,0.001917907386888018
1982-08,0.08995888332207502
1982-09,0.07548076710673834
1982-10,0.12932276465202097
1982-11,0.1022401509260713
1982-12,-0.037533533458345536
1983-01,0.019017814386774745
1983-02,0.08475450687556418
1983-03,0.08172912855226389
1983-04,0.08668373073062186
1983-05,0.07850618032239898
1983-06,0.048976942763045095
1983-07,-0.09837393142860873
