,ibs_mean_reversion,vol_overlay,vix_mean_reversion,us_cross_sectional_momentum,turn_of_month__real_assets,bond_duration_carry__bonds_us
2016-06-15,-0.0009728865373316298,0.002542999999999962,0.008871427862072068,0.0,0.0,0.0025677976065393
2016-06-16,0.0016288061158251654,-0.0031570000000000764,0.022490856787522162,0.0,0.0,0.0005692977696814
2016-06-17,0.0,0.005473000000000061,0.0013230763698259818,0.0,0.0,-0.0020873019975402
2016-06-20,-0.0014662800144048527,0.0023850000000000815,0.05764294062103925,0.0,0.0,-0.0017318005425662
2016-06-21,0.0003844011560181215,-0.0013800000000001589,0.0,0.0,0.0,-0.001127379519495
2016-06-22,-0.0022647308547542044,0.011053999999999675,0.0,0.0,0.0,0.0011722617734183
2016-06-23,0.013141575011764717,-0.03047999999999984,0.0,0.0,0.0,-0.0015767524054583
2016-06-24,0.0,-0.015221000000000262,0.0,0.0,0.0,0.0051216626951094
2016-06-27,-0.006414777751295397,0.015300000000000313,0.0,0.0,0.0,0.0043867392764776
2016-06-28,0.01295140374893089,0.014492999999999867,0.0,0.0,-0.0004999999999998,0.0033915154802
2016-06-29,0.006600131122605157,0.01156299999999999,0.02043187285859993,0.0,0.0126837217718955,6.926541514812312e-05
2016-06-30,0.0,0.001799000000000106,0.02592233637345709,0.02089999999999992,0.0063173641566654,0.0022954324118075
2016-07-01,0.0,-0.006093000000000126,0.025615862827954583,0.0,0.0017111068321268,0.0043290042880373
2016-07-05,0.0,0.005090999999999957,0.0,0.0,-0.0028520899591792,0.0027249275091377
2016-07-06,0.0,-0.0005679999999997909,0.0,0.0,-0.0037255534297948,0.0008158681033879
2016-07-07,0.0,0.012683,0.0,0.0,0.0,0.0
2016-07-08,0.0,0.003031000000000006,0.0,0.0,0.0,0.0
2016-07-11,0.0,0.006132999999999722,0.0,0.0,0.0,0.0
2016-07-12,0.0,-9.199999999998099e-05,0.0,0.0,0.0,-0.0004999999999999
2016-07-13,0.0,0.0047520000000000895,0.0,0.0,0.0,0.0025911691325904
2016-07-14,5.2800712420308926e-05,-0.001146999999999898,0.0,0.0,0.0,-0.0029215143477566
2016-07-15,-0.0009210202431070291,0.002251000000000003,0.0,0.0,0.0,-0.0028214182553443
2016-07-18,0.002323685144155929,-0.0008250000000000757,0.0,0.0,0.0,0.0001420484068437
2016-07-19,-0.0024983316042530568,0.0034860000000001,0.0,0.0,0.0,0.0012934599434802
2016-07-20,0.005143067727594097,-0.0031970000000001164,0.0,0.0,0.0,-0.0009573065204156
2016-07-21,-0.0020143798135529023,0.003851000000000271,0.0,0.0,0.0,0.0005705103714841
2016-07-22,0.0033216045247494996,-0.0023280000000001078,0.0,0.0,0.0,0.0005381097533602
2016-07-25,0.0,0.000412000000000301,0.0,0.0,0.0,-0.0013719229525804
2016-07-26,0.0,-0.0009149999999999991,0.0,0.0,0.0,9.970421121612004e-05
2016-07-27,0.0,0.0009619999999999074,0.0,0.0,-0.0004999999999999,0.0041992476808314
2016-07-28,0.0,0.0013719999999999288,0.0,0.0,0.0053841025078954,-0.0007701280458345
2016-07-29,0.0,-0.0006849999999999357,0.0,0.0,0.0081911481953587,0.0020062378715814
2016-08-01,0.0,-0.00543899999999975,0.0,0.0,-0.0055464571671099,0.0
2016-08-02,-0.0017225518656825978,0.0024839999999999307,0.0,0.0,-0.0061537740800005,-0.0004999999999999
2016-08-03,0.003659738973533111,0.0009170000000000567,0.0,0.0,0.0015472832248455,0.0013904978509931
2016-08-04,0.0,0.006917999999999758,0.0,0.0,0.0,0.0034478480775997
2016-08-05,0.0,-0.0004999999999998339,0.0,0.0,0.0,-0.0028223679807634
2016-08-08,0.0,0.0004999999999997229,0.0,0.0,0.0,0.0009813769759309
2016-08-09,0.0,-0.002090999999999954,0.0,0.0,0.0,0.0035653491124257
2016-08-10,0.0,0.003964000000000301,0.0,0.0,0.0,0.0013344850538626
2016-08-11,0.0,-0.0007710000000000772,0.0,0.0,0.0,-0.002404683268312
2016-08-12,0.0,0.002450999999999981,0.0,0.0,0.0,0.0025887303881894
2016-08-15,0.0,-0.004389999999999783,0.0,0.0,0.0,-0.0021278683057491
2016-08-16,0.0,0.0016380000000000283,0.0,0.0,0.0,-0.0012515119977187
2016-08-17,-8.245959011621284e-05,0.001907000000000103,0.0,0.0,0.0,0.0019301074903645
2016-08-18,0.002239104049190699,-0.0012689999999997426,0.0,0.0,0.0,0.0016942194064249
2016-08-19,0.0,-4.500000000007276e-05,0.0,0.0,0.0,-0.0024214942301032
2016-08-22,0.0,0.0017240000000002809,0.0,0.0,0.0,0.0020112410284836
2016-08-23,0.0,-0.004347000000000101,0.0,0.0,0.0,0.0010615454280438
2016-08-24,-0.00281563510033922,-0.0005919999999999259,0.0,0.0,0.0,-0.00110890470866
2016-08-25,-0.0006188129306798906,-0.0015939999999999843,0.0,0.0,0.0,-0.0006916231001095
2016-08-26,-0.00013349472858215083,0.004197999999999702,0.0,0.0,0.0,-0.0024869975623249
2016-08-29,0.0017246895390568007,-0.0014079999999998538,0.0,0.0,-0.0004999999999999,0.0042631769651572
2016-08-30,-0.0013346525957353972,-0.002411000000000274,0.0,0.0,-0.0030850807609332,-0.0005537045477866
2016-08-31,-0.0010526949473302905,4.599999999999049e-05,0.0,-0.011950000000000127,-0.0025908110844914,-0.0006798143278959
2016-09-01,1.4641254348912724e-05,0.003830999999999918,0.0,0.0,0.0025247429840043,0.0006153317014979
2016-09-02,0.0,0.002542999999999962,0.0,0.0,0.0058918381091077,-0.0013155129655959
2016-09-06,0.0,-9.099999999961916e-05,0.0,0.0,0.0089996124776064,0.0029495405480969
2016-09-07,0.0,-0.0019019999999999593,0.0,0.0,0.0,-9.2093407882618e-05
