,donchian_channel__us_factor,sentiment_timing__us_factor,turn_of_month__real_assets,vol_overlay__us_factor,donchian_channel__us_equity_broad,us_cross_sectional_momentum__us_factor,quality_timing__us_factor,industry_trend__us_sectors,us_cross_sectional_momentum__us_sectors,bond_duration_carry__bonds_us,donchian_channel__real_assets,us_cross_sectional_momentum__us_equity_broad,quality_timing__us_equity_broad,sentiment_timing__us_equity_broad,cross_asset_momentum__all_68,low_volatility__all_equity,vol_overlay__us_equity_broad,em_dm_carry__intl_country_all,Portfolio_B
donchian_channel__us_factor,1.0,0.48086061396287305,0.2874635563199043,0.7393327630929348,0.9140029826811095,0.545990043919149,0.5852985819734889,0.5443940045306515,0.5443940045306515,0.12215532956251679,0.6262241402571892,0.5537652614121631,0.605109793996928,0.4755647876132959,0.4769738499567599,0.574981164269599,0.7206529552020753,0.5313458792518444,0.370857344183108
sentiment_timing__us_factor,0.48086061396287305,1.0,0.30358812370533667,0.8216650132264502,0.44061839106429057,0.6428199801106411,0.6607112592032748,0.6009997552782702,0.6009997552782702,0.07094157663431129,0.3705418824424816,0.6380901013423371,0.6681398855016686,0.9590962842285079,0.5968109405517987,0.6005309155917355,0.786176964744679,0.5323803293957929,0.40585699360565175
turn_of_month__real_assets,0.2874635563199043,0.30358812370533667,1.0,0.3685195906691245,0.26803682531233936,0.30212081538697616,0.3389450505879998,0.32356116167985005,0.32356116167985005,0.12026852606526844,0.3594745237111255,0.30041752077954115,0.3455734159416202,0.2867389113595169,0.3146616958620036,0.35062257499825966,0.34931413058171246,0.33225902391173345,0.16326167518847787
vol_overlay__us_factor,0.7393327630929348,0.8216650132264502,0.3685195906691245,1.0,0.6778856226338807,0.757590719710299,0.8325545354815188,0.7481778920722996,0.7481778920722996,0.12117707019061662,0.5435356000184901,0.7547154522111424,0.8269046012475287,0.7832941165942446,0.7069322244966871,0.8046631977120638,0.9514542577359116,0.7153527517789007,0.45885020901856194
donchian_channel__us_equity_broad,0.9140029826811095,0.44061839106429057,0.26803682531233936,0.6778856226338807,1.0,0.5094050716643481,0.542689957171713,0.4942579809500661,0.4942579809500661,0.12230550412803134,0.5903319249180242,0.5523749610605414,0.6146426374477739,0.4903994672473763,0.44483661014905534,0.5266863585673613,0.7327597808070323,0.5213140249799607,0.38389741179955705
us_cross_sectional_momentum__us_factor,0.545990043919149,0.6428199801106411,0.30212081538697616,0.757590719710299,0.5094050716643481,1.0,0.8942337281107869,0.918581290512897,0.918581290512897,0.09439300524708785,0.37902306982137546,0.9218088977530026,0.872352975618119,0.6252974174543865,0.8545539985845295,0.8467863042056247,0.752047456622102,0.7383145658213011,0.39900610964719246
quality_timing__us_factor,0.5852985819734889,0.6607112592032748,0.3389450505879998,0.8325545354815188,0.542689957171713,0.8942337281107869,1.0,0.8953208703776564,0.8953208703776564,0.1106107584190718,0.45148341328734515,0.8736840811103519,0.9657444471375095,0.6329626095147676,0.8135973184716373,0.9515210063580761,0.803046462447784,0.8340498782274564,0.4057431553917217
industry_trend__us_sectors,0.5443940045306515,0.6009997552782702,0.32356116167985005,0.7481778920722996,0.4942579809500661,0.918581290512897,0.8953208703776564,1.0,1.0,0.08065319071099004,0.41693882751606226,0.8732629211970351,0.8499658503442721,0.5685502997438636,0.8917120938478507,0.8640948385963368,0.7175758445386761,0.7407552093794453,0.3658055715287289
us_cross_sectional_momentum__us_sectors,0.5443940045306515,0.6009997552782702,0.32356116167985005,0.7481778920722996,0.4942579809500661,0.918581290512897,0.8953208703776564,1.0,1.0,0.08065319071099004,0.41693882751606226,0.8732629211970351,0.8499658503442721,0.5685502997438636,0.8917120938478507,0.8640948385963368,0.7175758445386761,0.7407552093794453,0.3658055715287289
bond_duration_carry__bonds_us,0.12215532956251679,0.07094157663431129,0.12026852606526844,0.12117707019061662,0.12230550412803134,0.09439300524708785,0.1106107584190718,0.08065319071099004,0.08065319071099004,1.0,0.1734801899236165,0.10700338691825306,0.13418789249145147,0.06656509060613404,0.10353301568131879,0.14903278963188965,0.11244106339247463,0.1468810552496647,0.09054414936887538
