,portfolio_a_1x,portfolio_b_1x,combined_50_50
2016-06-15,-0.00043194273458830007,0.0005984835613068222,8.327041335926108e-05
2016-06-16,-0.00115196934690586,0.00014814385084513336,-0.0005019127480303633
2016-06-17,0.0009646526276338401,-0.0005792858476392112,0.00019268338999731442
2016-06-20,0.00013086948773719992,0.0012796757068811667,0.0007052725973091833
2016-06-21,-0.00063105189585218,0.00046728162232971104,-8.188513676123446e-05
2016-06-22,-0.00157551037266472,0.0004799026289389667,-0.0005478038718628767
2016-06-23,0.0033578978399620304,-0.0007096837205518775,0.0013241070597050765
2016-06-24,-0.00111260589649704,-0.006246310673598844,-0.003679458285047942
2016-06-27,0.00408432501448634,-0.001147625231829322,0.001468349891328509
2016-06-28,0.0050585636433971405,0.002992620599585689,0.004025592121491415
2016-06-29,0.0046492163795046,0.004890572082900558,0.004769894231202579
2016-06-30,0.0025230937947209402,0.006213070296946445,0.0043680820458336924
2016-07-01,0.0006957710483633376,-0.0005208554477406334,8.745780031135211e-05
2016-07-05,-0.00057128899335372,0.0005576405325275221,-6.824230413098975e-06
2016-07-06,0.00028477426168664003,0.00019325838856546656,0.0002390163251260533
2016-07-07,-0.00047134927302930005,0.0016046865804459779,0.000566668653708339
2016-07-08,0.0025424278540863003,0.0025982853792063335,0.0025703566166463167
2016-07-11,0.00193015406800396,0.0016949092433787777,0.0018125316556913689
2016-07-12,-0.00055836853772644,0.0015406353565818908,0.0004911334094277254
2016-07-13,-0.00015954125192042,-0.0001052080094408444,-0.00013237463068063222
2016-07-14,0.0007649516403966818,-0.001148410288745011,-0.00019172932417416464
2016-07-15,-0.001087801968046,-0.00026162870585781054,-0.0006747153369519052
2016-07-18,0.00253669091464534,0.0008509461307304555,0.0016938185226878977
2016-07-19,-0.0007561431528771799,0.00034503269926622224,-0.00020555522680547884
2016-07-20,0.0019261573308179,-0.00018651525666253338,0.0008698210370776833
2016-07-21,-0.0011315113593268202,-6.4254821433888295e-06,-0.0005689684207351045
2016-07-22,0.00133733936183076,0.007627356355362868,0.004482347858596814
2016-07-25,-0.00074305752947638,0.0012831329061658778,0.00027003768834474887
2016-07-26,-0.0018532107653734,0.0009636972906975912,-0.00044475673733790436
2016-07-27,-0.000678280802257,0.0006457001496292111,-1.6290326313894493e-05
2016-07-28,0.00044798152338854005,0.0009158088757554221,0.0006818951995719811
2016-07-29,-0.00124266356169728,0.006784642617453477,0.0027709895278780986
2016-08-01,0.00068368771628282,-0.0008615176362535112,-8.891495998534555e-05
2016-08-02,-4.132127444681998e-05,-0.0014893770723185113,-0.0007653491733826657
2016-08-03,0.00071604664731542,0.0027320450057463333,0.0017240458265308767
2016-08-04,-3.109492881288e-05,0.0016111838117368446,0.0007900444414619823
2016-08-05,0.00109050307309156,0.0018198260603327335,0.0014551645667121467
2016-08-08,-0.00073714019983074,0.0002283374576579222,-0.0002544013710864089
2016-08-09,-0.0004200554752970858,0.00042553711014379835,2.7408174233562886e-06
2016-08-10,-0.00082909238189708,0.0004616337684816667,-0.00018372930670770664
2016-08-11,-0.00015924274593478,0.0007605051175827222,0.0003006311858239711
2016-08-12,-0.00025533376541734,0.0015369841909414611,0.0006408252127620606
2016-08-15,0.00058355715486466,0.0009773922455744001,0.0007804747002195301
2016-08-16,0.00035081048859324,-0.0005527291802673332,-0.00010095934583704663
2016-08-17,-0.0005657666825928225,0.00023898652945421287,-0.00016339007656930484
2016-08-18,0.00013634517730053998,0.0009346703048000667,0.0005355077410503033
2016-08-19,-0.0022319407122341002,-0.00041008929322578223,-0.0013210150027299413
2016-08-22,-0.00015542683235184,-0.0005391204196691667,-0.00034727362601050336
2016-08-23,-0.00023899011853222002,0.0007913198214267556,0.0002761648514472678
2016-08-24,0.0009261502758181311,-0.0014668894251934222,-0.0002703695746876456
2016-08-25,-0.00059116506053012,-7.333306897120376e-05,-0.0003322490647506619
2016-08-26,-0.0022983335692514798,0.0007208791286580557,-0.000788727220296712
2016-08-29,0.00054517939562688,0.0010410297427377556,0.0007931045691823178
2016-08-30,0.00049430573533542,0.00018536428970116663,0.0003398350125182933
2016-08-31,-0.00021986687185116,-0.002901427205047512,-0.001560647038449336
2016-09-01,-0.0010238870720705375,0.0018046371770071112,0.00039037505246828687
2016-09-02,-0.0006272385090124,0.0018732972071944668,0.0006230293490910334
2016-09-06,0.0005780758624374801,0.0018827930959763757,0.001230434479206928
2016-09-07,-0.00035633510279874,-0.00026805970137211313,-0.00031219740208542654
2016-09-08,0.000221184399013,-0.0030873116149558334,-0.0014330636079714167
2016-09-09,0.0052288811422601805,-0.0038949703304752776,0.0006669554058924515
