top_pct,freq,carry_window,threshold,median_sharpe,min_sharpe,n_positive,em_dm
1.0,6ME,6,0.02,0.7315,0.7315,1,0.7315
1.0,6ME,6,0.05,0.7315,0.7315,1,0.7315
1.0,6ME,3,0.05,0.7315,0.7315,1,0.7315
1.0,QE,3,0.05,0.7314,0.7314,1,0.7314
1.0,ME,6,0.01,0.7269,0.7269,1,0.7269
1.0,12ME,6,0.05,0.7258,0.7258,1,0.7258
1.0,12ME,12,0.05,0.7258,0.7258,1,0.7258
1.0,12ME,9,0.05,0.7258,0.7258,1,0.7258
1.0,12ME,3,0.05,0.7258,0.7258,1,0.7258
0.5,ME,3,0.05,0.7249,0.7249,1,0.7249
0.5,12ME,12,0.05,0.7239,0.7239,1,0.7239
0.5,12ME,6,0.05,0.7239,0.7239,1,0.7239
0.5,12ME,3,0.05,0.7239,0.7239,1,0.7239
0.5,12ME,9,0.05,0.7239,0.7239,1,0.7239
1.0,2ME,3,0.05,0.7232,0.7232,1,0.7232
1.0,QE,6,0.0,0.7215,0.7215,1,0.7215
1.0,2ME,9,0.0,0.7202,0.7202,1,0.7202
0.5,2ME,9,0.01,0.7159,0.7159,1,0.7159
0.5,6ME,6,0.05,0.7153,0.7153,1,0.7153
0.5,6ME,6,0.02,0.7153,0.7153,1,0.7153
0.5,6ME,3,0.02,0.7153,0.7153,1,0.7153
0.5,6ME,3,0.05,0.7153,0.7153,1,0.7153
0.25,QE,9,0.0,0.7136,0.7136,1,0.7136
0.25,QE,3,0.01,0.7101,0.7101,1,0.7101
0.25,ME,3,0.05,0.7084,0.7084,1,0.7084
1.0,ME,9,0.05,0.7081,0.7081,1,0.7081
1.0,2ME,6,0.05,0.7023,0.7023,1,0.7023
0.25,QE,9,0.01,0.7018,0.7018,1,0.7018
1.0,6ME,3,0.0,0.7017,0.7017,1,0.7017
1.0,6ME,6,0.01,0.7017,0.7017,1,0.7017
1.0,6ME,6,0.0,0.7017,0.7017,1,0.7017
1.0,6ME,3,0.01,0.7017,0.7017,1,0.7017
1.0,QE,12,0.05,0.6964,0.6964,1,0.6964
0.5,2ME,3,0.01,0.696,0.696,1,0.696
0.5,QE,3,0.05,0.6942,0.6942,1,0.6942
1.0,2ME,9,0.01,0.6908,0.6908,1,0.6908
0.5,QE,12,0.05,0.6894,0.6894,1,0.6894
0.25,2ME,12,0.01,0.6866,0.6866,1,0.6866
0.5,6ME,3,0.01,0.6861,0.6861,1,0.6861
0.5,6ME,6,0.01,0.6861,0.6861,1,0.6861
0.5,6ME,3,0.0,0.6861,0.6861,1,0.6861
0.5,6ME,6,0.0,0.6861,0.6861,1,0.6861
0.5,2ME,3,0.02,0.6837,0.6837,1,0.6837
0.25,2ME,12,0.02,0.6837,0.6837,1,0.6837
0.25,2ME,3,0.02,0.6834,0.6834,1,0.6834
0.5,QE,9,0.05,0.677,0.677,1,0.677
0.5,2ME,3,0.0,0.6762,0.6762,1,0.6762
1.0,2ME,12,0.01,0.6761,0.6761,1,0.6761
1.0,2ME,12,0.0,0.673,0.673,1,0.673
0.5,ME,12,0.05,0.6725,0.6725,1,0.6725
0.25,2ME,12,0.05,0.6696,0.6696,1,0.6696
1.0,2ME,12,0.02,0.6674,0.6674,1,0.6674
1.0,ME,3,0.05,0.6668,0.6668,1,0.6668
0.25,2ME,12,0.0,0.6622,0.6622,1,0.6622
1.0,ME,6,0.0,0.6601,0.6601,1,0.6601
0.5,QE,9,0.0,0.6596,0.6596,1,0.6596
0.25,QE,3,0.05,0.659,0.659,1,0.659
1.0,2ME,12,0.05,0.6582,0.6582,1,0.6582
0.5,ME,3,0.0,0.6576,0.6576,1,0.6576
0.5,QE,9,0.01,0.6576,0.6576,1,0.6576
0.25,QE,12,0.05,0.6569,0.6569,1,0.6569
0.25,6ME,3,0.02,0.6563,0.6563,1,0.6563
0.25,6ME,6,0.05,0.6563,0.6563,1,0.6563
0.25,6ME,6,0.02,0.6563,0.6563,1,0.6563
0.25,6ME,3,0.05,0.6563,0.6563,1,0.6563
0.25,ME,3,0.0,0.6484,0.6484,1,0.6484
0.5,QE,6,0.02,0.6454,0.6454,1,0.6454
0.5,QE,6,0.01,0.6454,0.6454,1,0.6454
0.5,2ME,12,0.02,0.6374,0.6374,1,0.6374
1.0,ME,12,0.05,0.6337,0.6337,1,0.6337
0.25,6ME,6,0.0,0.6304,0.6304,1,0.6304
0.25,6ME,6,0.01,0.6304,0.6304,1,0.6304
0.25,6ME,3,0.0,0.6304,0.6304,1,0.6304
0.25,6ME,3,0.01,0.6304,0.6304,1,0.6304
0.5,2ME,12,0.0,0.6273,0.6273,1,0.6273
0.5,2ME,12,0.01,0.6264,0.6264,1,0.6264
1.0,QE,6,0.01,0.6188,0.6188,1,0.6188
1.0,QE,6,0.02,0.6188,0.6188,1,0.6188
0.5,2ME,12,0.05,0.6171,0.6171,1,0.6171
0.5,QE,6,0.05,0.6166,0.6166,1,0.6166
0.25,ME,12,0.01,0.6096,0.6096,1,0.6096
1.0,QE,9,0.02,0.6046,0.6046,1,0.6046
0.5,12ME,12,0.01,0.6043,0.6043,1,0.6043
0.5,12ME,12,0.0,0.6043,0.6043,1,0.6043
0.5,12ME,9,0.01,0.6043,0.6043,1,0.6043
0.5,12ME,12,0.02,0.6043,0.6043,1,0.6043
0.5,12ME,6,0.02,0.6043,0.6043,1,0.6043
0.5,12ME,6,0.01,0.6043,0.6043,1,0.6043
0.5,12ME,3,0.02,0.6043,0.6043,1,0.6043
0.5,12ME,9,0.0,0.6043,0.6043,1,0.6043
0.5,12ME,9,0.02,0.6043,0.6043,1,0.6043
0.5,12ME,6,0.0,0.6043,0.6043,1,0.6043
0.5,12ME,3,0.01,0.6043,0.6043,1,0.6043
0.5,12ME,3,0.0,0.6043,0.6043,1,0.6043
1.0,QE,6,0.05,0.604,0.604,1,0.604
1.0,12ME,9,0.02,0.5994,0.5994,1,0.5994
1.0,12ME,9,0.01,0.5994,0.5994,1,0.5994
1.0,12ME,6,0.01,0.5994,0.5994,1,0.5994
1.0,12ME,12,0.01,0.5994,0.5994,1,0.5994
1.0,12ME,12,0.0,0.5994,0.5994,1,0.5994
1.0,12ME,12,0.02,0.5994,0.5994,1,0.5994
1.0,12ME,9,0.0,0.5994,0.5994,1,0.5994
1.0,12ME,3,0.02,0.5994,0.5994,1,0.5994
1.0,12ME,6,0.0,0.5994,0.5994,1,0.5994
1.0,12ME,3,0.01,0.5994,0.5994,1,0.5994
1.0,12ME,6,0.02,0.5994,0.5994,1,0.5994
1.0,12ME,3,0.0,0.5994,0.5994,1,0.5994
1.0,2ME,3,0.01,0.5964,0.5964,1,0.5964
1.0,ME,3,0.0,0.5937,0.5937,1,0.5937
1.0,2ME,3,0.02,0.5913,0.5913,1,0.5913
0.25,12ME,3,0.05,0.587,0.587,1,0.587
0.25,12ME,6,0.05,0.587,0.587,1,0.587
0.25,12ME,12,0.05,0.587,0.587,1,0.587
0.25,12ME,9,0.05,0.587,0.587,1,0.587
0.25,QE,6,0.0,0.5859,0.5859,1,0.5859
1.0,2ME,3,0.0,0.5834,0.5834,1,0.5834
0.5,ME,12,0.02,0.5815,0.5815,1,0.5815
1.0,ME,12,0.02,0.5791,0.5791,1,0.5791
0.25,ME,12,0.0,0.5559,0.5559,1,0.5559
0.25,QE,6,0.05,0.5556,0.5556,1,0.5556
1.0,QE,9,0.05,0.546,0.546,1,0.546
1.0,ME,12,0.01,0.5351,0.5351,1,0.5351
0.25,QE,6,0.01,0.5319,0.5319,1,0.5319
0.25,QE,6,0.02,0.5319,0.5319,1,0.5319
1.0,QE,9,0.01,0.5231,0.5231,1,0.5231
1.0,QE,9,0.0,0.522,0.522,1,0.522
0.25,QE,12,0.02,0.5096,0.5096,1,0.5096
0.5,ME,12,0.01,0.5068,0.5068,1,0.5068
1.0,ME,12,0.0,0.4933,0.4933,1,0.4933
0.5,QE,12,0.02,0.4896,0.4896,1,0.4896
1.0,QE,12,0.02,0.488,0.488,1,0.488
0.25,QE,12,0.0,0.4833,0.4833,1,0.4833
0.25,12ME,9,0.02,0.478,0.478,1,0.478
0.25,12ME,3,0.0,0.478,0.478,1,0.478
0.25,12ME,6,0.02,0.478,0.478,1,0.478
0.25,12ME,12,0.0,0.478,0.478,1,0.478
0.25,12ME,9,0.01,0.478,0.478,1,0.478
0.25,12ME,6,0.01,0.478,0.478,1,0.478
0.25,12ME,3,0.02,0.478,0.478,1,0.478
0.25,12ME,6,0.0,0.478,0.478,1,0.478
0.25,12ME,3,0.01,0.478,0.478,1,0.478
0.25,12ME,9,0.0,0.478,0.478,1,0.478
0.25,12ME,12,0.01,0.478,0.478,1,0.478
0.25,12ME,12,0.02,0.478,0.478,1,0.478
0.25,QE,12,0.01,0.4731,0.4731,1,0.4731
1.0,QE,12,0.01,0.4664,0.4664,1,0.4664
0.5,QE,12,0.01,0.4553,0.4553,1,0.4553
0.5,ME,12,0.0,0.4401,0.4401,1,0.4401
1.0,QE,12,0.0,0.436,0.436,1,0.436
0.5,QE,12,0.0,0.4308,0.4308,1,0.4308
