entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason
2005-09-30,2005-10-31,long,EM_basket,100.0,95.669,-0.04331,monthly_rebalance
2005-10-31,2005-11-30,long,DM_basket,100.0,104.4466,0.044466,monthly_rebalance
2005-11-30,2005-12-31,long,DM_basket,100.0,104.9366,0.049366,monthly_rebalance
2005-12-31,2006-01-31,long,DM_basket,100.0,103.5877,0.035877,monthly_rebalance
2006-01-31,2006-02-28,long,DM_basket,100.0,101.4761,0.014761,monthly_rebalance
2006-02-28,2006-03-31,long,DM_basket,100.0,104.343,0.04343,monthly_rebalance
2006-03-31,2006-04-30,long,DM_basket,100.0,103.3575,0.033575,monthly_rebalance
2006-04-30,2006-05-31,long,EM_basket,100.0,96.1442,-0.038558,monthly_rebalance
2006-05-31,2006-06-30,long,EM_basket,100.0,98.9952,-0.010048,monthly_rebalance
2006-06-30,2006-07-31,long,EM_basket,100.0,102.8177,0.028177,monthly_rebalance
2006-07-31,2006-08-31,long,EM_basket,100.0,102.4158,0.024158,monthly_rebalance
2006-08-31,2006-09-30,long,EM_basket,100.0,103.4201,0.034201,monthly_rebalance
2006-09-30,2006-10-31,long,EM_basket,100.0,105.53,0.0553,monthly_rebalance
2006-10-31,2006-11-30,long,EM_basket,100.0,107.4214,0.074214,monthly_rebalance
2006-11-30,2006-12-31,long,EM_basket,100.0,105.1765,0.051765,monthly_rebalance
2006-12-31,2007-01-31,long,EM_basket,100.0,104.3281,0.043281,monthly_rebalance
2007-01-31,2007-02-28,long,EM_basket,100.0,99.4403,-0.005597,monthly_rebalance
2007-02-28,2007-03-31,long,EM_basket,100.0,105.003,0.05003,monthly_rebalance
2007-03-31,2007-04-30,long,EM_basket,100.0,108.1395,0.081395,monthly_rebalance
2007-04-30,2007-05-31,long,EM_basket,100.0,107.8859,0.078859,monthly_rebalance
2007-05-31,2007-06-30,long,EM_basket,100.0,102.3187,0.023187,monthly_rebalance
2007-06-30,2007-07-31,long,EM_basket,100.0,104.9834,0.049834,monthly_rebalance
2007-07-31,2007-08-31,long,EM_basket,100.0,98.0583,-0.019417,monthly_rebalance
2007-08-31,2007-09-30,long,EM_basket,100.0,105.6125,0.056125,monthly_rebalance
2007-09-30,2007-10-31,long,EM_basket,100.0,109.224,0.09224,monthly_rebalance
2007-10-31,2007-11-30,long,EM_basket,100.0,93.7909,-0.062091,monthly_rebalance
2007-11-30,2007-12-31,long,EM_basket,100.0,106.2576,0.062576,monthly_rebalance
2007-12-31,2008-01-31,long,EM_basket,100.0,90.3381,-0.096619,monthly_rebalance
2008-01-31,2008-02-29,long,EM_basket,100.0,102.2315,0.022315,monthly_rebalance
2008-02-29,2008-03-31,long,EM_basket,100.0,95.0065,-0.049935,monthly_rebalance
2008-03-31,2008-04-30,long,EM_basket,100.0,102.2366,0.022366,monthly_rebalance
2008-04-30,2008-05-31,long,EM_basket,100.0,100.8559,0.008559,monthly_rebalance
2008-05-31,2008-06-30,long,EM_basket,100.0,89.295,-0.10705,monthly_rebalance
2008-06-30,2008-07-31,long,EM_basket,100.0,98.1487,-0.018513,monthly_rebalance
2008-07-31,2008-08-31,long,EM_basket,100.0,95.5601,-0.044399,monthly_rebalance
2008-08-31,2008-09-30,long,DM_basket,100.0,84.9159,-0.150841,monthly_rebalance
2008-09-30,2008-10-31,long,EM_basket,100.0,74.7671,-0.252329,monthly_rebalance
2008-10-31,2008-11-30,long,DM_basket,100.0,96.3555,-0.036445,monthly_rebalance
2008-11-30,2008-12-31,long,DM_basket,100.0,103.2542,0.032542,monthly_rebalance
2008-12-31,2009-01-31,long,DM_basket,100.0,99.5376,-0.004624,monthly_rebalance
2009-01-31,2009-02-28,long,DM_basket,100.0,95.5953,-0.044047,monthly_rebalance
2009-02-28,2009-03-31,long,DM_basket,100.0,104.663,0.04663,monthly_rebalance
2009-03-31,2009-04-30,long,DM_basket,100.0,114.1021,0.141021,monthly_rebalance
