date,equity
2016-01-04,100000.0
2016-01-05,100003.99325382685
2016-01-06,99991.17974321471
2016-01-07,100108.17024226725
2016-01-08,100136.15875212583
2016-01-11,100149.72462619946
2016-01-12,100162.476039706
2016-01-13,100260.48097945849
2016-01-14,100354.21557086887
2016-01-15,100251.8796836597
2016-01-18,100251.8796836597
2016-01-19,100271.27225420561
2016-01-20,100596.36454325769
2016-01-21,100528.93679862643
2016-01-22,100121.5957062713
2016-01-25,100183.73338106286
2016-01-26,100188.46854045648
2016-01-27,99058.29632439338
2016-01-28,97809.12844348882
2016-01-29,98424.7520785254
2016-02-01,98568.7375983526
2016-02-02,97623.02474573851
2016-02-03,97623.02474573851
2016-02-04,98145.83755585496
2016-02-05,98910.24339085747
2016-02-08,98576.96890681295
2016-02-09,97843.07736567392
2016-02-10,97281.52651880714
2016-02-11,95985.88211366959
2016-02-12,96146.57009373303
2016-02-15,96146.57009373303
2016-02-16,96020.51453141283
2016-02-17,96217.99661033736
2016-02-18,96160.13128632065
2016-02-19,95367.25720210324
2016-02-22,94175.35235379869
2016-02-23,94265.30710688328
2016-02-24,95550.97749050692
2016-02-25,95764.0445041604
2016-02-26,96155.77156981251
2016-02-29,95791.09622593073
2016-03-01,96271.1117143209
2016-03-02,97088.7606034157
2016-03-03,96488.38655122559
2016-03-04,96374.09722386618
2016-03-07,96164.0276662615
2016-03-08,95047.91610035737
2016-03-09,94853.23595409433
2016-03-10,95663.00942602876
2016-03-11,95619.90514190032
2016-03-14,95619.90514190032
2016-03-15,95103.3545308027
2016-03-16,96128.07497155838
2016-03-17,96725.42595283102
2016-03-18,96996.25634923797
2016-03-21,96392.07683353637
2016-03-22,96563.59741029015
2016-03-23,95628.98921722059
2016-03-24,94377.94989272725
2016-03-25,94377.94989272725
2016-03-28,93758.56552833607
2016-03-29,94398.51513449362
2016-03-30,94518.97788536499
2016-03-31,95469.7245732136
2016-04-01,96521.6907635006
2016-04-04,96860.11681839905
2016-04-05,95846.51708329737
2016-04-06,96063.32120967147
2016-04-07,96084.82210509665
2016-04-08,96082.20292809691
2016-04-11,96204.68790233062
2016-04-12,97008.80228830967
2016-04-13,96923.14253582702
2016-04-14,96191.3749059824
2016-04-15,96455.18378985662
2016-04-18,96934.56882524223
2016-04-19,97029.33049107945
2016-04-20,96648.29112949001
2016-04-21,95529.7056082516
2016-04-22,96104.01945754272
2016-04-25,96131.23943337405
2016-04-26,95807.73813771506
2016-04-27,95132.01738532772
2016-04-28,94719.0799217665
2016-04-29,94137.94116640439
2016-05-02,93835.65476917068
2016-05-03,93193.64322723029
2016-05-04,92010.66182422615
2016-05-05,92731.35170667838
2016-05-06,92584.58777139409
2016-05-09,91808.86892751604
2016-05-10,91685.85309146787
2016-05-11,90514.17902588332
2016-05-12,90483.69647740528
2016-05-13,90310.79078719583
2016-05-16,89670.52972563276
2016-05-17,89939.877066187
2016-05-18,87923.70223096505
2016-05-19,86444.11078656823
2016-05-20,84796.96650982596
2016-05-23,84929.93564063107
2016-05-24,83799.51766706082
2016-05-25,83909.89810150847
2016-05-26,83807.84650962858
2016-05-27,83170.76724063653
2016-05-30,83170.76724063653
2016-05-31,83437.11042343758
2016-06-01,83843.45390712595
2016-06-02,83922.53190893529
2016-06-03,83444.14216454489
2016-06-06,83190.7278918629
2016-06-07,83647.95483578516
2016-06-08,82983.87472985289
2016-06-09,83272.62762327524
2016-06-10,83653.99507214848
2016-06-13,83118.20047079938
2016-06-14,82688.91249368901
2016-06-15,82222.50788072911
2016-06-16,83302.59759795183
2016-06-17,82446.6171333924
2016-06-20,81915.08273832011
2016-06-21,81754.99198826271
2016-06-22,80955.76136147058
2016-06-23,80667.97354768735
2016-06-24,81628.7946224987
2016-06-27,82161.22713607136
2016-06-28,81553.50397470607
2016-06-29,81907.34667976946
2016-06-30,81564.35235200249
2016-07-01,81619.4321823589
2016-07-04,81619.4321823589
2016-07-05,82350.52598269502
2016-07-06,82333.30264333314
2016-07-07,82107.25825261371
2016-07-08,82242.3431561545
2016-07-11,82003.00931327185
2016-07-12,81587.24438674256
2016-07-13,81780.48414357429
2016-07-14,81982.23436517816
2016-07-15,81948.6212044257
2016-07-18,81845.92202127415
2016-07-19,81209.54859204615
2016-07-20,81704.17391547762
2016-07-21,81776.03130059357
2016-07-22,81776.03130059357
2016-07-25,81996.76886145264
2016-07-26,82189.29789303108
2016-07-27,82126.93480884162
2016-07-28,82392.09975482535
2016-07-29,82490.44780211643
2016-08-01,82391.57218671258
2016-08-02,82444.56846268894
2016-08-03,82261.79271797158
2016-08-04,81988.7880791512
2016-08-05,82215.78175499228
2016-08-08,81939.53136159139
2016-08-09,81790.3292331922
2016-08-10,80479.08260164368
2016-08-11,80317.29782303411
2016-08-12,80476.10962101971
2016-08-15,80885.08436827763
2016-08-16,80371.73364144815
2016-08-17,79487.85843541624
2016-08-18,78351.34596315482
2016-08-19,78009.84242219632
2016-08-22,77691.03781814856
2016-08-23,79116.43065039319
2016-08-24,78875.00617310556
2016-08-25,78665.55344807371
2016-08-26,79300.34535819167
2016-08-29,79070.41478654316
2016-08-30,78980.51770016481
2016-08-31,78927.76766655385
2016-09-01,78722.68357846056
2016-09-02,78402.5112281143
2016-09-05,78402.5112281143
2016-09-06,78155.74003528515
2016-09-07,78228.6612126176
2016-09-08,78742.68074880338
2016-09-09,80212.38468559158
2016-09-12,81180.22602985016
2016-09-13,80771.74959577725
2016-09-14,80917.99926803813
2016-09-15,80388.47500728612
2016-09-16,79622.25702201341
2016-09-19,79163.37808657368
2016-09-20,78958.25193525116
2016-09-21,78408.2298101517
