entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason,stop_price
2016-01-04,2016-01-29,long,IJR,46.2,44.39,-0.0391774891774892,calendar,
2017-01-02,2017-01-31,long,IJR,59.89,59.54,-0.0058440474202705595,calendar,
2018-01-01,2018-01-31,long,IJR,67.76,69.46,0.025088547815820483,calendar,
2019-01-01,2019-01-31,long,IJR,62.0,68.59,0.1062903225806453,calendar,
2020-01-01,2020-01-31,long,IJR,76.14,73.08,-0.04018912529550833,calendar,
2021-01-01,2021-01-29,long,IJR,84.73,89.96,0.06172548093945451,calendar,
2022-01-03,2022-01-31,long,IJR,108.43,99.52,-0.08217283039749157,calendar,
2023-01-02,2023-01-31,long,IJR,89.88,98.43,0.09512683578104153,calendar,
2024-01-01,2024-01-31,long,IJR,104.32,100.22,-0.03930214723926373,calendar,
2025-01-01,2025-01-31,long,IJR,113.31,116.48,0.027976348071661716,calendar,
