basket,bb_period,bb_std,hold_days,n_instruments,median_sharpe,mean_sharpe,std_sharpe,consistency,pass_count,pass_rate,binomial_pvalue,binomial_significant
us_sectors,20,2.5,30,11,0.4441,0.5094,0.2654,0.5209,4,0.3636,0.001552,True
us_sectors,20,2.5,45,11,0.5062,0.4905,0.2884,0.588,5,0.4545,0.000112,True
us_sectors,30,1.5,0,11,0.4548,0.5308,0.1766,0.3328,5,0.4545,0.000112,True
us_sectors,30,1.5,15,11,0.3774,0.423,0.11,0.2599,2,0.1818,0.101895,False
us_sectors,30,1.5,30,11,0.4578,0.4688,0.146,0.3114,2,0.1818,0.101895,False
us_sectors,30,1.5,45,11,0.4164,0.4576,0.1943,0.4246,3,0.2727,0.015235,True
us_sectors,30,2.0,0,11,0.503,0.6298,0.2366,0.3757,5,0.4545,0.000112,True
us_sectors,30,2.0,15,11,0.4488,0.4344,0.2464,0.5672,4,0.3636,0.001552,True
us_sectors,30,2.0,30,11,0.408,0.3823,0.2,0.5231,4,0.3636,0.001552,True
us_sectors,30,2.0,45,11,0.4605,0.4596,0.2547,0.5542,3,0.2727,0.015235,True
us_sectors,30,2.5,0,11,0.5946,0.6524,0.2439,0.3738,7,0.6364,0.0,True
us_sectors,30,2.5,15,11,0.1642,0.159,0.1598,1.0049,0,0.0,1.0,False
us_sectors,30,2.5,30,11,0.3645,0.3699,0.1748,0.4726,1,0.0909,0.4312,False
us_sectors,30,2.5,45,11,0.5091,0.4844,0.3269,0.6749,3,0.2727,0.015235,True
us_sectors,50,1.5,0,11,0.6147,0.6426,0.265,0.4124,7,0.6364,0.0,True
us_sectors,50,1.5,15,11,0.3708,0.4606,0.2248,0.488,3,0.2727,0.015235,True
us_sectors,50,1.5,30,11,0.5113,0.4881,0.2605,0.5336,3,0.2727,0.015235,True
us_sectors,50,1.5,45,11,0.4725,0.5027,0.2813,0.5596,4,0.3636,0.001552,True
us_sectors,50,2.0,0,11,0.6731,0.7107,0.2905,0.4087,9,0.8182,0.0,True
us_sectors,50,2.0,15,11,0.3822,0.3951,0.1647,0.4169,1,0.0909,0.4312,False
us_sectors,50,2.0,30,11,0.4223,0.4408,0.1975,0.4482,4,0.3636,0.001552,True
us_sectors,50,2.0,45,11,0.524,0.5133,0.247,0.4811,4,0.3636,0.001552,True
us_sectors,50,2.5,0,11,0.6006,0.608,0.189,0.3108,7,0.6364,0.0,True
us_sectors,50,2.5,15,11,0.221,0.2973,0.201,0.676,3,0.2727,0.015235,True
us_sectors,50,2.5,30,11,0.3606,0.4196,0.2108,0.5025,3,0.2727,0.015235,True
us_sectors,50,2.5,45,11,0.457,0.48,0.2736,0.5701,4,0.3636,0.001552,True
us_factor,10,1.5,0,6,0.6208,0.6302,0.1555,0.2468,4,0.6667,8.6e-05,True
us_factor,10,1.5,15,6,0.5597,0.5512,0.2444,0.4434,3,0.5,0.00223,True
us_factor,10,1.5,30,6,0.643,0.6313,0.1022,0.1618,5,0.8333,2e-06,True
us_factor,10,1.5,45,6,0.5681,0.5935,0.2063,0.3475,3,0.5,0.00223,True
us_factor,10,2.0,0,6,0.6905,0.7031,0.2401,0.3415,4,0.6667,8.6e-05,True
us_factor,10,2.0,15,6,0.3508,0.3425,0.1952,0.5698,0,0.0,1.0,False
us_factor,10,2.0,30,6,0.5614,0.593,0.3723,0.6278,3,0.5,0.00223,True
us_factor,10,2.0,45,6,0.5419,0.4864,0.3289,0.6763,3,0.5,0.00223,True
us_factor,10,2.5,0,6,0.7035,0.6748,0.1983,0.2938,5,0.8333,2e-06,True
us_factor,10,2.5,15,6,-0.1005,0.0506,0.3289,6.503,0,0.0,1.0,False
us_factor,10,2.5,30,6,0.0837,0.132,0.3697,2.8001,1,0.1667,0.264908,False
us_factor,10,2.5,45,6,0.2464,0.2239,0.2823,1.2608,1,0.1667,0.264908,False
us_factor,20,1.5,0,6,0.538,0.5375,0.0952,0.1772,3,0.5,0.00223,True
us_factor,20,1.5,15,6,0.4575,0.4652,0.0823,0.1769,1,0.1667,0.264908,False
us_factor,20,1.5,30,6,0.4967,0.5243,0.1329,0.2535,3,0.5,0.00223,True
us_factor,20,1.5,45,6,0.578,0.5035,0.1526,0.3032,4,0.6667,8.6e-05,True
us_factor,20,2.0,0,6,0.7099,0.6798,0.068,0.1001,6,1.0,0.0,True
us_factor,20,2.0,15,6,0.3952,0.4122,0.1063,0.2579,1,0.1667,0.264908,False
us_factor,20,2.0,30,6,0.5306,0.5716,0.113,0.1976,3,0.5,0.00223,True
us_factor,20,2.0,45,6,0.6235,0.6144,0.1186,0.193,5,0.8333,2e-06,True
us_factor,20,2.5,0,6,0.7431,0.7898,0.1761,0.223,6,1.0,0.0,True
us_factor,20,2.5,15,6,0.2416,0.2416,0.1134,0.4695,0,0.0,1.0,False
us_factor,20,2.5,30,6,0.4851,0.5171,0.1227,0.2374,2,0.3333,0.032774,True
us_factor,20,2.5,45,6,0.4834,0.3874,0.1935,0.4995,1,0.1667,0.264908,False
us_factor,30,1.5,0,6,0.4875,0.4884,0.0393,0.0804,1,0.1667,0.264908,False
us_factor,30,1.5,15,6,0.3775,0.4111,0.0892,0.2169,1,0.1667,0.264908,False
us_factor,30,1.5,30,6,0.5086,0.51,0.1151,0.2257,3,0.5,0.00223,True
us_factor,30,1.5,45,6,0.4468,0.4019,0.1053,0.2621,0,0.0,1.0,False
us_factor,30,2.0,0,6,0.6019,0.6437,0.1664,0.2585,4,0.6667,8.6e-05,True
us_factor,30,2.0,15,6,0.4061,0.4452,0.1703,0.3825,2,0.3333,0.032774,True
us_factor,30,2.0,30,6,0.5114,0.5071,0.1366,0.2695,3,0.5,0.00223,True
us_factor,30,2.0,45,6,0.4261,0.4537,0.1383,0.3049,2,0.3333,0.032774,True
us_factor,30,2.5,0,6,0.6123,0.6339,0.1604,0.253,3,0.5,0.00223,True
us_factor,30,2.5,15,6,0.1041,0.1553,0.1384,0.891,0,0.0,1.0,False
us_factor,30,2.5,30,6,0.2628,0.3168,0.1348,0.4256,1,0.1667,0.264908,False
us_factor,30,2.5,45,6,0.4942,0.4871,0.2225,0.4567,2,0.3333,0.032774,True
us_factor,50,1.5,0,6,0.6938,0.6723,0.1189,0.1769,5,0.8333,2e-06,True
