,equity_curve
2016-01-04,1.0
2016-01-05,1.0
2016-01-06,1.0
2016-01-07,1.0
2016-01-08,1.0
2016-01-11,1.0
2016-01-12,1.0
2016-01-13,1.0
2016-01-14,1.0
2016-01-15,1.0
2016-01-19,1.0
2016-01-20,1.0
2016-01-21,1.0
2016-01-22,1.0
2016-01-25,0.9990791269338206
2016-01-26,0.9981787359912655
2016-01-27,0.9972870001626299
2016-01-28,0.9972870001626299
2016-01-29,0.9972870001626299
2016-02-01,0.9972870001626299
2016-02-02,0.9964539964075523
2016-02-03,0.9964539964075523
2016-02-04,0.9956007592055933
2016-02-05,0.9947294636862938
2016-02-08,0.9938024794689204
2016-02-09,1.0050965230411661
2016-02-10,1.0041793596522253
2016-02-11,1.0032627865365054
2016-02-12,1.002378257236959
2016-02-16,1.002378257236959
2016-02-17,1.0015379846470545
2016-02-18,1.0007215330860755
2016-02-19,0.9999091347846146
2016-02-22,1.004788012602441
2016-02-23,1.0040198588832128
2016-02-24,1.0040198588832128
2016-02-25,1.0032609343767003
2016-02-26,1.0025259083290916
2016-02-29,1.0025259083290916
2016-03-01,1.0017870611573667
2016-03-02,1.001074216019982
2016-03-03,1.001074216019982
2016-03-04,1.000384543890066
2016-03-07,0.9996941823936218
2016-03-08,0.9990017727058843
2016-03-09,0.9983297158230107
2016-03-10,0.9976597253690737
2016-03-11,0.9976597253690737
2016-03-14,0.997010155757156
2016-03-15,0.996372141502163
2016-03-16,0.9957413029109763
2016-03-17,0.9957413029109763
2016-03-18,0.9957413029109763
2016-03-21,0.9951452467620145
2016-03-22,0.9945554396734055
2016-03-23,0.9939748148126416
2016-03-24,0.9933995370252023
2016-03-28,0.9933995370252023
2016-03-29,0.9928321242467549
2016-03-30,0.9922796281987871
2016-03-31,0.9917330532113193
2016-04-01,0.9917330532113193
2016-04-04,0.9917330532113193
2016-04-05,0.9917330532113193
2016-04-06,0.9911776169491583
2016-04-07,0.9906209957512873
2016-04-08,0.990065216413246
2016-04-11,0.98950824252537
2016-04-12,0.9889466735165345
2016-04-13,0.9889466735165345
2016-04-14,0.9884066235626695
2016-04-15,0.9878748897345775
2016-04-18,0.9954413852395299
2016-04-19,0.994907035824282
2016-04-20,0.9943748900035445
2016-04-21,0.9938456878912295
2016-04-22,0.9933049411285881
2016-04-25,0.9927675146494819
2016-04-26,0.9922360661226343
2016-04-27,0.9917068359982235
2016-04-28,0.9911711227606491
2016-04-29,0.990634165563935
2016-05-02,0.9900948948469517
2016-05-03,0.9895587192931706
2016-05-04,0.9890227600153522
2016-05-05,0.9884972526680805
2016-05-06,0.9879679672218545
2016-05-09,0.9909629075352338
2016-05-10,0.9904365686098574
2016-05-11,0.9999586877499215
2016-05-12,0.9994256062048634
2016-05-13,0.9988941540082026
2016-05-16,0.998357808976357
2016-05-17,0.9978146965013391
2016-05-18,0.9972614622003582
2016-05-19,0.9967105462247735
2016-05-20,0.9967105462247735
2016-05-23,0.9961740291549795
2016-05-24,0.9961740291549795
2016-05-25,0.9956447980962841
2016-05-26,0.9951245183571672
2016-05-27,0.9946133870581948
2016-05-31,0.9941040835400072
2016-06-01,0.9981449301828842
2016-06-02,0.9976427755097887
2016-06-03,0.997144534039719
2016-06-06,0.9966522975728421
2016-06-07,0.9961666730581421
2016-06-08,0.9956821095552668
2016-06-09,1.0002600885407291
2016-06-10,0.9997750454520749
2016-06-13,0.9992891686011591
2016-06-14,0.9988034215815156
2016-06-15,0.9983223383073803
2016-06-16,0.9978344855417967
2016-06-17,0.9973416468415764
2016-06-20,0.9973416468415764
2016-06-21,0.9973416468415764
2016-06-22,0.9968597343366395
2016-06-23,0.9963774420564888
2016-06-24,0.9958562450478952
2016-06-27,0.995331584256792
2016-06-28,0.994805756609933
2016-06-29,0.9942836224293784
2016-06-30,0.9937581933641857
2016-07-01,0.9932483889893878
2016-07-05,0.992743880892104
2016-07-06,0.9922387352201814
2016-07-07,0.9917389746975638
2016-07-08,0.9912344565652556
2016-07-11,0.990741475169258
2016-07-12,0.9902560065326211
2016-07-13,0.989777399320095
2016-07-14,0.9893057903709255
2016-07-15,0.9888369275979726
2016-07-18,0.9883739853759511
2016-07-19,0.9879149855461187
2016-07-20,0.987464127578444
2016-07-21,0.9870121555689165
2016-07-22,0.9865609999417119
2016-07-25,0.9861138290386523
2016-07-26,0.9856664905293122
2016-07-27,0.9852137641821099
2016-07-28,0.984760715732921
2016-07-29,0.9843096078634497
2016-08-01,0.9838623368301308
2016-08-02,0.9865100144295216
2016-08-03,0.986059744654836
2016-08-04,0.986059744654836
2016-08-05,0.9856188730545308
2016-08-08,0.9851796839826384
2016-08-09,0.984739694921971
2016-08-10,0.9843072168434482
2016-08-11,0.9838798885147463
2016-08-12,0.9834564375896785
