,equity_curve
2016-01-04,1.0
2016-01-05,1.0
2016-01-06,1.0
2016-01-07,1.0
2016-01-08,1.0
2016-01-11,1.0
2016-01-12,1.0
2016-01-13,1.0
2016-01-14,1.0
2016-01-15,1.0
2016-01-19,1.0
2016-01-20,1.0
2016-01-21,1.0
2016-01-22,1.0
2016-01-25,0.9993686375127107
2016-01-26,0.9987381972896511
2016-01-27,0.9981192515837026
2016-01-28,0.9975125478050416
2016-01-29,1.0192941214920466
2016-02-01,1.018686150592321
2016-02-02,1.0180724843180893
2016-02-03,1.0174562496955701
2016-02-04,1.0168506837029792
2016-02-05,1.0162474806579307
2016-02-08,1.0156140279932877
2016-02-09,1.014985400456111
2016-02-10,1.014985400456111
2016-02-11,1.0143614215278174
2016-02-12,1.013750571828551
2016-02-16,1.0131516995220247
2016-02-17,1.0125709046388942
2016-02-18,1.0120120076527317
2016-02-19,1.0114632547173752
2016-02-22,1.0109330613439296
2016-02-23,1.0104150080788903
2016-02-24,1.009884139006711
2016-02-25,1.0093747654957352
2016-02-26,1.0088872709188104
2016-02-29,1.0088872709188104
2016-03-01,1.0084034619898496
2016-03-02,1.0079340306664193
2016-03-03,1.0079340306664193
2016-03-04,1.0074852590825063
2016-03-07,1.0070461840853573
2016-03-08,1.006602053940491
2016-03-09,1.0061679640373176
2016-03-10,1.0057312502533522
2016-03-11,1.005290927602349
2016-03-14,1.005290927602349
2016-03-15,1.0048690925970052
2016-03-16,1.004447756803458
2016-03-17,1.0040270268078582
2016-03-18,1.0036199009507485
2016-03-21,1.003224364904566
2016-03-22,1.002832165666321
2016-03-23,1.0024415223457097
2016-03-24,1.0020504334321463
2016-03-28,1.0016696652384374
2016-03-29,1.0012754040283665
2016-03-30,1.000896915750682
2016-03-31,1.000896915750682
2016-04-01,1.0005219720690746
2016-04-04,1.0001530322632226
2016-04-05,0.9997815877693426
2016-04-06,0.9997815877693426
2016-04-07,0.9994027648109255
2016-04-08,0.9990241745241797
2016-04-11,0.998647781603354
2016-04-12,0.9982692561932665
2016-04-13,0.9978906168976764
2016-04-14,0.9975256474712473
2016-04-15,0.9971678024982976
2016-04-18,0.9968120054983954
2016-04-19,0.9968120054983954
2016-04-20,0.9964681224255263
2016-04-21,0.9961240655481024
2016-04-22,0.9957820653045936
2016-04-25,0.9954437976577227
2016-04-26,0.995108716389618
2016-04-27,0.9947797633046498
2016-04-28,0.9944440096232295
2016-04-29,0.9941037850119011
2016-05-02,0.9937653674872734
2016-05-03,0.9934143253934312
2016-05-04,0.9930627825629704
2016-05-05,0.9927151473475692
2016-05-06,0.9923678865901299
2016-05-09,0.9920276420871501
2016-05-10,0.9916876971952845
2016-05-11,0.9913511021842389
2016-05-12,0.9910115439724626
2016-05-13,0.9906670130004954
2016-05-16,0.9903193935610536
2016-05-17,0.989965138972986
2016-05-18,0.9896030369609624
2016-05-19,0.9892402447235964
2016-05-20,0.9888762289517008
2016-05-23,0.9885241150416311
2016-05-24,0.9881649612677763
2016-05-25,0.9878160008621493
2016-05-26,0.9874785005672951
2016-05-27,0.9871457998325683
2016-05-31,0.9868202861604958
2016-06-01,0.9864924358884101
2016-06-02,0.9861673780214351
2016-06-03,0.98584250245161
2016-06-06,0.991757255807449
2016-06-07,0.9914390900960054
2016-06-08,0.9911287409609614
2016-06-09,0.9908217954522147
2016-06-10,0.9905028755036318
2016-06-13,0.9901788765103108
2016-06-14,0.9898542750807009
2016-06-15,0.9895323465618386
2016-06-16,0.9892038361570323
2016-06-17,0.9888806892326595
2016-06-20,0.9885525992555119
2016-06-21,0.9882286646776925
2016-06-22,0.9879083302366092
2016-06-23,0.9875798483764988
2016-06-24,0.9871931237820379
2016-06-27,0.9867718493325138
2016-06-28,0.9863438272079148
2016-06-29,0.985918975257407
2016-06-30,0.985918975257407
2016-07-01,0.985509290704881
2016-07-05,0.9897791471541426
2016-07-06,0.9893614375542964
2016-07-07,0.988955909599129
2016-07-08,0.997115583857452
2016-07-11,0.9967174917391984
2016-07-12,0.9963250304085598
2016-07-13,0.9959407986687018
2016-07-14,0.9955662239747238
2016-07-15,0.9951998710449108
2016-07-18,0.9948436172958474
2016-07-19,0.9944979260521438
2016-07-20,0.994157048684849
2016-07-21,0.9938214694033402
2016-07-22,0.9934881791194963
2016-07-25,0.9934881791194963
2016-07-26,0.9931713802656562
2016-07-27,0.9928564840890298
2016-07-28,0.9925423774211889
2016-07-29,0.992230378768704
2016-08-01,0.9919227373640761
2016-08-02,0.9916077322721569
2016-08-03,0.9912913100702201
2016-08-04,0.9909842378403347
2016-08-05,0.9906765310180121
2016-08-08,0.9903784191462663
2016-08-09,0.9900885207418636
2016-08-10,0.9898024628725337
2016-08-11,0.9895217623218041
2016-08-12,0.9895217623218041
2016-08-15,0.9892451959433781
