entry_time,exit_time,position,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity,regime,entry_vix,exit_vix,days_held,is_pre_2018
2022-05-19,2022-05-25,long,23.87,24.22,signal,1.1935,8709,3048.15,181.49,2866.66,218848.72,221715.38,normal,29.35,28.37,4,False
2022-08-26,2022-09-08,long,26.39,27.14,signal,1.3195,7981,5985.75,166.97,5818.78,221715.38,227534.16,normal,25.56,23.61,8,False
2022-09-20,2022-10-28,long,26.17,26.23,signal,1.3085,8259,495.54,172.57,322.97,227534.16,227857.13,normal,27.16,25.75,28,False
2023-02-21,2023-02-27,long,30.9,31.87,signal,1.545,7005,6794.85,147.47,6647.38,227857.13,234504.51,normal,22.87,20.95,4,False
2023-03-09,2023-03-21,long,31.58,30.67,signal,1.579,7054,-6419.14,148.27,-6567.41,234504.51,227937.1,normal,22.61,21.38,8,False
2023-05-24,2023-05-30,long,34.41,35.96,signal,1.7205,6292,9752.6,133.17,9619.43,227937.1,237556.53,normal,20.03,17.46,3,False
2023-09-26,2023-09-29,long,41.72,43.17,signal,2.086,5409,7843.05,115.57,7727.48,237556.53,245284.01,normal,18.94,17.52,3,False
2023-10-13,2023-10-24,long,41.04,41.49,signal,2.052,5677,2554.65,121.03,2433.62,245284.01,247717.63,normal,19.32,18.97,7,False
2024-04-15,2024-04-18,long,51.27,52.12,signal,2.5635,4590,3901.5,99.21,3802.29,247717.63,251519.92,normal,19.23,18.0,3,False
2024-07-24,2024-07-29,long,57.39,59.28,signal,2.8695,4163,7868.07,90.81,7777.26,251519.92,259297.18,normal,18.04,16.6,3,False
2024-08-08,2024-08-13,long,45.73,50.79,signal,2.2865,5386,27253.16,116.22,27136.94,259297.18,286434.12,normal,23.79,18.12,3,False
2024-09-03,2024-09-10,long,48.33,49.18,signal,2.4165,5630,4785.5,121.23,4664.27,286434.12,291098.38,normal,20.72,19.08,5,False
2024-10-03,2024-10-11,long,47.41,47.69,signal,2.3705,5833,1633.24,125.36,1507.88,291098.38,292606.26,normal,20.49,20.46,6,False
2024-10-31,2024-11-06,long,45.91,51.09,signal,2.2955,6054,31359.72,130.68,31229.04,292606.26,323835.3,normal,23.16,16.27,4,False
2024-12-18,2024-12-23,long,47.69,50.66,signal,2.3845,6450,19156.5,139.15,19017.35,323835.3,342852.64,normal,27.62,16.78,3,False
2025-01-10,2025-01-15,long,48.02,51.04,signal,2.401,6782,20481.64,146.39,20335.25,342852.64,363187.9,normal,19.54,16.12,3,False
2025-02-03,2025-02-06,long,50.01,51.57,signal,2.5005,6899,10762.44,149.02,10613.42,363187.9,373801.32,normal,18.62,15.5,3,False
2025-02-21,2025-03-24,long,50.38,48.91,signal,2.519,7048,-10360.56,151.71,-10512.27,373801.32,363289.05,normal,18.21,17.48,21,False
2025-04-04,2025-04-11,long,36.65,34.63,signal,1.8325,9416,-19020.32,198.95,-19219.27,363289.05,344069.78,autobuy,45.31,37.56,5,False
2025-04-21,2025-04-29,long,34.58,37.88,signal,1.729,9452,31191.6,200.56,30991.04,344069.78,375060.82,vix30,33.82,24.17,6,False
2025-08-01,2025-08-06,long,43.46,45.49,signal,2.173,8198,16641.94,175.69,16466.25,375060.82,391527.07,normal,20.38,16.77,3,False
2025-10-10,2025-10-20,long,47.67,49.58,signal,2.3835,7802,14901.82,168.09,14733.73,391527.07,406260.8,normal,21.66,18.23,6,False
2025-11-04,2025-11-10,long,48.86,50.34,signal,2.443,7899,11690.52,170.35,11520.17,406260.8,417780.97,normal,19.0,17.6,4,False
2025-11-20,2025-11-25,long,45.62,49.26,signal,2.281,8699,31664.36,187.34,31477.02,417780.97,449258.0,normal,26.42,18.56,3,False
2026-01-20,2026-01-23,long,52.3,55.04,signal,2.615,8160,22358.4,177.04,22181.36,449258.0,471439.36,normal,20.09,16.09,3,False
2026-02-04,2026-02-09,long,53.7,54.74,signal,2.685,8340,8673.6,180.88,8492.72,471439.36,479932.08,normal,18.64,17.36,3,False
2026-02-20,2026-02-25,long,52.95,53.8,signal,2.6475,8610,7318.5,186.51,7131.99,479932.08,487064.07,normal,19.09,17.93,3,False
2026-03-09,2026-03-16,long,48.96,48.53,signal,2.448,9450,-4063.5,203.32,-4266.82,487064.07,482797.26,normal,25.5,23.51,5,False
2026-03-24,2026-03-31,long,46.29,45.8,end_of_data,2.3145,9908,-4854.92,212.42,-5067.34,482797.26,477729.92,normal,26.95,25.25,5,False
