entry_time,exit_time,position,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity,regime,entry_vix,exit_vix,days_held,is_pre_2018
2018-10-10,2018-10-16,long,25.82,26.43,signal,1.291,3679,2244.19,76.89,2167.3,100000.0,102167.3,normal,22.96,17.62,4,False
2018-10-22,2018-11-01,long,25.42,24.68,signal,1.271,3818,-2825.32,79.61,-2904.93,102167.3,99262.36,normal,19.64,19.34,8,False
2018-11-06,2018-11-09,long,25.12,25.72,signal,1.256,3753,2251.8,78.37,2173.43,99262.36,101435.8,normal,19.91,17.36,3,False
2018-11-23,2018-11-28,long,23.72,24.97,signal,1.186,4062,5077.5,84.73,4992.77,101435.8,106428.56,normal,21.52,18.49,3,False
2018-12-17,2019-01-02,long,22.3,21.5,signal,1.115,4533,-3626.4,94.12,-3720.52,106428.56,102708.04,normal,24.52,23.22,10,False
2019-05-07,2019-05-14,long,24.91,24.98,signal,1.2455,3917,274.19,81.71,192.48,102708.04,102900.52,normal,19.32,18.06,5,False
2019-05-31,2019-06-05,long,24.91,25.8,signal,1.2455,3924,3492.36,81.95,3410.41,102900.52,106310.93,normal,18.71,16.09,3,False
2019-08-05,2019-08-08,long,24.98,26.31,signal,1.249,4043,5377.19,84.49,5292.7,106310.93,111603.64,normal,24.59,16.91,3,False
2019-08-16,2019-08-21,long,24.98,26.28,signal,1.249,4244,5517.2,88.69,5428.51,111603.64,117032.15,normal,18.47,15.8,3,False
2019-09-03,2019-09-06,long,24.69,26.38,signal,1.2345,4503,7610.07,94.11,7515.96,117032.15,124548.11,normal,19.66,15.0,3,False
2019-10-02,2019-10-07,long,25.22,26.26,signal,1.261,4691,4878.64,98.02,4780.62,124548.11,129328.73,normal,20.56,17.86,3,False
2020-01-27,2020-02-04,long,31.71,32.44,signal,1.5855,3874,2828.02,81.62,2746.4,129328.73,132075.13,normal,18.23,16.05,6,False
2020-02-24,2020-06-05,long,29.14,18.24,signal,1.457,4305,-46924.5,89.0,-47013.5,132075.13,85061.63,normal,25.03,24.52,72,False
2020-06-19,2020-06-30,long,15.26,15.75,signal,0.763,5295,2594.55,109.1,2485.45,85061.63,87547.09,vix30,35.12,30.43,7,False
2020-09-09,2020-09-14,long,17.15,17.75,signal,0.8575,4849,2909.4,100.18,2809.22,87547.09,90356.31,normal,28.81,25.85,3,False
2020-09-24,2020-09-29,long,17.31,17.75,signal,0.8655,4958,2181.52,102.43,2079.09,90356.31,92435.4,normal,28.51,26.27,3,False
2020-11-03,2020-11-11,long,17.52,19.79,signal,0.876,5012,11377.24,103.83,11273.41,92435.4,103708.81,vix30,35.55,23.45,6,False
2021-01-04,2021-01-07,long,19.83,20.79,signal,0.9915,4968,4769.28,103.06,4666.22,103708.81,108375.03,normal,26.97,22.37,3,False
2021-02-25,2021-03-02,long,19.7,20.87,signal,0.985,5226,6114.42,108.42,6006.0,108375.03,114381.03,normal,28.89,24.1,3,False
2021-05-11,2021-05-14,long,24.43,24.75,signal,1.2215,4447,1423.04,92.74,1330.3,114381.03,115711.34,normal,21.84,18.81,3,False
2021-05-20,2021-05-25,long,24.25,24.94,signal,1.2125,4533,3127.77,94.56,3033.21,115711.34,118744.55,normal,20.67,18.84,3,False
2021-06-18,2021-06-23,long,25.71,27.47,signal,1.2855,4387,7721.12,91.82,7629.3,118744.55,126373.85,normal,20.7,16.32,3,False
2021-07-19,2021-07-22,long,25.2,26.84,signal,1.26,4764,7812.96,99.63,7713.33,126373.85,134087.19,normal,22.5,17.69,3,False
2021-08-18,2021-08-23,long,27.25,28.28,signal,1.3625,4674,4814.22,97.93,4716.29,134087.19,138803.48,normal,21.57,17.15,3,False
2021-09-10,2021-09-16,long,28.0,29.03,signal,1.4,4709,4850.27,98.76,4751.51,138803.48,143554.98,normal,20.95,18.69,4,False
2021-09-28,2021-10-05,long,27.38,27.8,signal,1.369,4980,2091.6,104.28,1987.32,143554.98,145542.31,normal,23.25,21.3,5,False
2021-11-26,2021-12-07,long,27.28,27.99,signal,1.364,5068,3598.28,106.14,3492.14,145542.31,149034.44,normal,28.62,21.89,7,False
2021-12-14,2021-12-21,long,28.49,28.48,signal,1.4245,4969,-49.69,104.14,-153.83,149034.44,148880.61,normal,21.89,21.01,5,False
2022-01-19,2022-02-01,long,29.09,29.15,signal,1.4545,4862,291.72,101.99,189.73,148880.61,149070.35,normal,23.85,21.96,9,False
2022-02-11,2022-02-16,long,26.42,28.04,signal,1.321,5360,8683.2,112.27,8570.93,149070.35,157641.28,normal,27.36,24.29,3,False
2022-03-03,2022-03-16,long,24.97,25.46,signal,1.2485,5997,2938.53,125.18,2813.35,157641.28,160454.63,vix30,30.48,26.67,9,False
2022-04-22,2022-05-04,long,25.56,25.84,signal,1.278,5963,1669.64,124.53,1545.11,160454.63,161999.74,normal,28.21,25.42,8,False
2022-05-19,2022-05-25,long,23.87,24.22,signal,1.1935,6447,2256.45,134.35,2122.1,161999.74,164121.84,normal,29.35,28.37,4,False
2022-08-26,2022-09-08,long,26.39,27.14,signal,1.3195,5908,4431.0,123.6,4307.4,164121.84,168429.24,normal,25.56,23.61,8,False
2022-09-20,2022-10-28,long,26.17,26.23,signal,1.3085,6114,366.84,127.75,239.09,168429.24,168668.32,normal,27.16,25.75,28,False
2023-02-21,2023-02-27,long,30.9,31.87,signal,1.545,5185,5029.45,109.15,4920.3,168668.32,173588.62,normal,22.87,20.95,4,False
2023-03-09,2023-03-21,long,31.58,30.67,signal,1.579,5221,-4751.11,109.74,-4860.85,173588.62,168727.77,normal,22.61,21.38,8,False
2023-05-24,2023-05-30,long,34.41,35.96,signal,1.7205,4658,7219.9,98.59,7121.31,168727.77,175849.08,normal,20.03,17.46,3,False
2023-09-26,2023-09-29,long,41.72,43.17,signal,2.086,4004,5805.8,85.55,5720.25,175849.08,181569.33,normal,18.94,17.52,3,False
2023-10-13,2023-10-24,long,41.04,41.49,signal,2.052,4202,1890.9,89.58,1801.32,181569.33,183370.65,normal,19.32,18.97,7,False
2024-04-15,2024-04-18,long,51.27,52.12,signal,2.5635,3397,2887.45,73.43,2814.02,183370.65,186184.67,normal,19.23,18.0,3,False
2024-07-24,2024-07-29,long,57.39,59.28,signal,2.8695,3081,5823.09,67.21,5755.88,186184.67,191940.55,normal,18.04,16.6,3,False
2024-08-08,2024-08-13,long,45.73,50.79,signal,2.2865,3987,20174.22,86.03,20088.19,191940.55,212028.74,normal,23.79,18.12,3,False
2024-09-03,2024-09-10,long,48.33,49.18,signal,2.4165,4167,3541.95,89.73,3452.22,212028.74,215480.96,normal,20.72,19.08,5,False
2024-10-03,2024-10-11,long,47.41,47.69,signal,2.3705,4317,1208.76,92.78,1115.98,215480.96,216596.94,normal,20.49,20.46,6,False
2024-10-31,2024-11-06,long,45.91,51.09,signal,2.2955,4481,23211.58,96.73,23114.85,216596.94,239711.79,normal,23.16,16.27,4,False
2024-12-18,2024-12-23,long,47.69,50.66,signal,2.3845,4775,14181.75,103.02,14078.73,239711.79,253790.53,normal,27.62,16.78,3,False
2025-01-10,2025-01-15,long,48.02,51.04,signal,2.401,5020,15160.4,108.36,15052.04,253790.53,268842.57,normal,19.54,16.12,3,False
2025-02-03,2025-02-06,long,50.01,51.57,signal,2.5005,5106,7965.36,110.29,7855.07,268842.57,276697.64,normal,18.62,15.5,3,False
2025-02-21,2025-03-24,long,50.38,48.91,signal,2.519,5217,-7668.99,112.3,-7781.29,276697.64,268916.35,normal,18.21,17.48,21,False
2025-04-04,2025-04-11,long,36.65,34.63,signal,1.8325,6970,-14079.4,147.27,-14226.67,268916.35,254689.69,autobuy,45.31,37.56,5,False
2025-04-21,2025-04-29,long,34.58,37.88,signal,1.729,6996,23086.8,148.45,22938.35,254689.69,277628.04,vix30,33.82,24.17,6,False
2025-08-01,2025-08-06,long,43.46,45.49,signal,2.173,6068,12318.04,130.04,12188.0,277628.04,289816.04,normal,20.38,16.77,3,False
2025-10-10,2025-10-20,long,47.67,49.58,signal,2.3835,5775,11030.25,124.42,10905.83,289816.04,300721.87,normal,21.66,18.23,6,False
2025-11-04,2025-11-10,long,48.86,50.34,signal,2.443,5847,8653.56,126.09,8527.47,300721.87,309249.33,normal,19.0,17.6,4,False
2025-11-20,2025-11-25,long,45.62,49.26,signal,2.281,6439,23437.96,138.67,23299.29,309249.33,332548.63,normal,26.42,18.56,3,False
2026-01-20,2026-01-23,long,52.3,55.04,signal,2.615,6040,16549.6,131.04,16418.56,332548.63,348967.18,normal,20.09,16.09,3,False
2026-02-04,2026-02-09,long,53.7,54.74,signal,2.685,6173,6419.92,133.88,6286.04,348967.18,355253.22,normal,18.64,17.36,3,False
2026-02-20,2026-02-25,long,52.95,53.8,signal,2.6475,6373,5417.05,138.05,5279.0,355253.22,360532.22,normal,19.09,17.93,3,False
2026-03-09,2026-03-16,long,48.96,48.53,signal,2.448,6995,-3007.85,150.5,-3158.35,360532.22,357373.88,normal,25.5,23.51,5,False
2026-03-24,2026-03-31,long,46.29,45.8,end_of_data,2.3145,7334,-3593.66,157.24,-3750.9,357373.88,353622.98,normal,26.95,25.25,5,False
