basket,ticker,vwap_threshold,exit_time,sharpe
us_equity_broad,SPY,0.001,15:55:00,0.3926904353165727
us_equity_broad,QQQ,0.001,15:55:00,0.602855856088642
us_equity_broad,IWM,0.001,15:55:00,-0.7713671620141682
us_equity_broad,DIA,0.001,15:55:00,-0.007922222932082354
us_equity_broad,MDY,0.001,15:55:00,0.33596697832863814
us_equity_broad,IVV,0.001,15:55:00,0.27445989114506336
us_equity_broad,VOO,0.001,15:55:00,0.5100350439936895
us_factor,IWF,0.001,15:55:00,0.14543285723171007
us_factor,IWD,0.001,15:55:00,0.013984208559736425
us_factor,MTUM,0.001,15:55:00,0.7979302634659803
us_factor,USMV,0.001,15:55:00,-0.22438066566480985
us_factor,VTV,0.001,15:55:00,0.12113470794036692
us_factor,VUG,0.001,15:55:00,0.21134930929136325
us_factor,DVY,0.001,15:55:00,0.4724331525188207
us_factor,QUAL,0.001,15:55:00,0.17769004870647748
us_sectors,XLK,0.001,15:55:00,0.6124970141800359
us_sectors,XLC,0.001,15:55:00,0.7081901706750535
us_sectors,XLI,0.001,15:55:00,-0.050196216620427954
us_sectors,XLV,0.001,15:55:00,0.17219135390969983
us_sectors,XLY,0.001,15:55:00,0.18610875378827196
us_sectors,XLF,0.001,15:55:00,-0.4924414743037634
us_sectors,XLE,0.001,15:55:00,-0.4562530012921794
us_sectors,XLU,0.001,15:55:00,-0.02681070929937631
us_sectors,XLB,0.001,15:55:00,-0.3968035664726658
us_sectors,XLP,0.001,15:55:00,-0.7629784168869594
us_sectors,XLRE,0.001,15:55:00,-0.27764628349283527
bonds_us,TLT,0.002,15:55:00,-0.08221901116089403
bonds_us,IEF,0.002,15:55:00,0.27532166470455394
bonds_us,SHY,0.002,15:55:00,0.30942637387763794
bonds_us,HYG,0.002,15:55:00,0.02900147374887367
bonds_us,LQD,0.002,15:55:00,0.5537305915435624
commodities,GLD,0.002,15:55:00,-0.0910696250626472
commodities,SLV,0.002,15:55:00,-0.17294650373334108
commodities,USO,0.002,15:55:00,-0.31536846473191077
commodities,GDX,0.002,15:55:00,0.3407470113236153
em_regional,EEM,0.002,15:55:00,0.6244403532474908
em_regional,EWZ,0.002,15:55:00,-0.21762332851810404
em_regional,INDA,0.002,15:55:00,0.1259383463509323
em_regional,EWW,0.002,15:55:00,0.433384277480909
intl_liquid,EFA,0.002,15:55:00,0.9185224865943062
intl_liquid,EZU,0.002,15:55:00,0.3906261880670297
intl_liquid,EWJ,0.002,15:55:00,-0.2430976417015286
intl_liquid,EWG,0.002,15:55:00,0.24137741734771848
intl_liquid,EWU,0.002,15:55:00,0.6414874086637062
