date,daily_return,equity
2016-01-04,0.0023001438115512465,1.0023001438115513
2016-01-05,-0.004200460512878183,0.9980900216354188
2016-01-06,0.00019490743653812858,0.9982845568029701
2016-01-07,0.0181792997337644,1.0164326709806795
2016-01-08,-0.001674843265269817,1.0147303055670873
2016-01-11,-0.003304976888282455,1.0113766453593482
2016-01-12,0.004142838243736578,1.0155666152045648
2016-01-13,0.0321610898030448,1.0482283443171332
2016-01-14,0.020382185105492327,1.0695935284638287
2016-01-15,-0.018681119682033613,1.0496123237474673
2016-01-19,-0.0044245373140451,1.044968274855765
2016-01-20,0.01724506429850276,1.062988819945548
2016-01-21,-0.014987368232314611,1.0470574150741905
2016-01-22,0.00835400071893694,1.0558045334724884
2016-01-25,0.0011740374719687325,1.0570440875578595
2016-01-26,0.0033291031002241098,1.0605630963068218
2016-01-27,0.004465354806838188,1.0652988868268707
2016-01-28,-0.011769184152699128,1.05276118805014
2016-01-29,0.020097000635593127,1.0739185303155114
2016-02-01,-0.016544436311901743,1.0561511535865353
2016-02-02,0.009402125860634053,1.0660812196604097
2016-02-03,0.006004875054348299,1.0724829041822577
2016-02-04,-0.038783380668066754,1.0308883914493634
2016-02-05,0.02698585780445965,1.058707798993284
2016-02-08,-0.02380834804009308,1.033501715242091
2016-02-09,-0.02406189710849701,1.0086337033084805
2016-02-10,-0.01713000742505756,0.9913558004816428
2016-02-11,-0.01546309062988269,0.9760263758923353
2016-02-12,0.005409130513715059,0.9813058299443653
2016-02-16,-0.005383174701541263,0.9760232892261339
2016-02-17,0.006417754010116166,0.9822871666045317
2016-02-18,0.008889822144974946,0.9910195248109374
2016-02-19,-0.01006466628060442,0.9810452440161521
2016-02-22,0.004540738789801367,0.9854999142102063
2016-02-23,0.010049549223458033,0.9954037441077754
2016-02-24,0.005702502885615326,1.0010800368309023
2016-02-25,-0.007903856340605626,0.9931676440343427
2016-02-26,0.007751367963481689,1.000866051892677
2016-02-29,0.009418132971527202,1.0102923414560898
2016-03-01,0.02325679528143262,1.0337885036157333
2016-03-02,-0.006709902817383538,1.0268518832227433
2016-03-03,0.001354961354851721,1.0282432278416669
2016-03-04,-0.0006930256729543443,1.0275306288867312
2016-03-07,-0.011831477857710554,1.0153734230029385
2016-03-08,-0.0003139295257575626,1.0150546673057883
2016-03-09,-0.0012187711447245709,1.013817547966958
2016-03-10,0.005247858437254576,1.0191379189398933
2016-03-11,0.0008372642622468361,1.0199912066977221
2016-03-14,0.0024538001286962844,1.022494061251986
2016-03-15,-0.004669430502047872,1.0177195962942132
