,sp500
1986-02-28,0.07148928132968169
1986-03-31,0.05279393618896533
1986-04-30,-0.014148179154457874
1986-05-31,0.05022927989130421
1986-06-30,0.014109561350313271
1986-07-31,-0.058682825705629105
1986-08-31,0.07119261392512288
1986-09-30,-0.08543865891748714
1986-10-31,0.054729379214940366
1986-11-30,0.021477170259857514
1986-12-31,-0.02828825936923207
1987-01-31,0.13176694057893212
1987-02-28,0.036923525977816674
1987-03-31,0.02638986629134421
1987-04-30,-0.0114501199862872
1987-05-31,0.006034124011652153
1987-06-30,0.04791451223715959
1987-07-31,0.04822368421052636
1987-08-31,0.034958890353354644
1987-09-30,-0.024166161309884915
1987-10-31,-0.217630426001305
1987-11-30,-0.0853489018626633
1987-12-31,0.0728614850195397
1988-01-31,0.040432248664400205
1988-02-29,0.04181740381997123
1988-03-31,-0.03334329026958405
1988-04-30,0.009424852253852922
1988-05-31,0.0031760609191444633
1988-06-30,0.043256026853829566
1988-07-31,-0.005411334552102409
1988-08-31,-0.03860010293360783
1988-09-30,0.03972927500764767
1988-10-31,0.025964473539038746
1988-11-30,-0.018890920170627767
1988-12-31,0.014687614176105424
1989-01-31,0.07111479187671033
1989-02-28,-0.028944095202877662
1989-03-31,0.02080592674652082
1989-04-30,0.05008987011225274
1989-05-31,0.03513757912414417
1989-06-30,-0.007924622488456157
1989-07-31,0.08837033775709147
1989-08-31,0.01551664355062421
1989-09-30,-0.006544316403471417
1989-10-31,-0.0251754260346555
1989-11-30,0.01654130920202146
1989-12-31,0.021416803953871355
1990-01-31,-0.0688172043010753
1990-02-28,0.008538957092500299
1990-03-31,0.02425502425502435
1990-04-30,-0.026887097723127584
1990-05-31,0.09198911729141468
1990-06-30,-0.008886305124159222
1990-07-31,-0.005223171889838563
1990-08-31,-0.09431419345781267
1990-09-30,-0.05118427579365081
1990-10-31,-0.006698251919621034
1990-11-30,0.05993421052631587
1990-12-31,0.02482775743280996
1991-01-31,0.04151777602810247
1991-02-28,0.06728113278864889
1991-03-31,0.022202849592720897
1991-04-30,0.0003464634081338236
1991-05-31,0.03857732782736112
1991-06-30,-0.047892671164353584
1991-07-31,0.04485935984481082
1991-08-31,0.01964879709135925
1991-09-30,-0.01914371696634043
1991-10-31,0.011859949466302089
1991-11-30,-0.043928043622279866
1991-12-31,0.11158786845050894
1992-01-31,-0.01989978182166907
1992-02-29,0.009564813229286262
1992-03-31,-0.021831839108311102
1992-04-30,0.027892689935346437
1992-05-31,0.0009639715628388945
1992-06-30,-0.017358853978572397
1992-07-31,0.03937374430342522
1992-08-31,-0.0239975483840551
1992-09-30,0.009105620365674083
1992-10-31,0.002106270943034838
1992-11-30,0.03026177510270367
1992-12-31,0.010107801089602297
1993-01-31,0.007045970943976521
1993-02-28,0.010483613656046442
1993-03-31,0.018697279985565585
1993-04-30,-0.025416786591980878
1993-05-31,0.02271746291374188
1993-06-30,0.0007552366778471598
