date,instrument,score
2016-02-29,mid,-0.1214112377947085
2016-03-31,mid,-0.3004038384655159
2016-04-30,mid,-0.2733488059151034
2016-05-31,mid,-0.2345433570526396
2016-06-30,mid,-0.2031121010258287
2016-07-31,short,-0.561261676239575
2016-08-31,short,-0.5785253940475641
2016-09-30,mid,-0.407574087842814
2016-10-31,mid,-0.4222074128536961
2016-11-30,mid,-0.2019857624715479
2016-12-31,mid,0.338124200285546
2017-01-31,mid,0.3788924988789941
2017-02-28,mid,0.3731011456137549
2017-03-31,mid,0.2983374318054648
2017-04-30,mid,0.3168741411774527
2017-05-31,mid,0.1920094755063939
2017-06-30,mid,0.1050143627569961
2017-07-31,mid,0.1967377389511719
2017-08-31,mid,0.170265907744004
2017-09-30,mid,0.001842773162711
2017-10-31,mid,0.215738126852552
2017-11-30,mid,0.2665539610695977
2017-12-31,mid,0.3282430797962719
2018-01-31,mid,0.3282328164229886
2018-02-28,mid,0.6443968749259859
2018-03-31,mid,0.7962336611295151
2018-04-30,mid,0.6718462618942898
2018-05-31,mid,0.8732666307857335
2018-06-30,mid,0.7752618477006568
2018-07-31,mid,0.7800792276285242
2018-08-31,mid,0.8809193328354294
2018-09-30,mid,0.7791686533088598
2018-10-31,mid,0.9708196950231524
2018-11-30,long,1.046710387059509
2018-12-31,mid,0.902628188201038
2019-01-31,mid,0.56116271159829
2019-02-28,mid,0.5016299493703289
2019-03-31,mid,0.5968839146405021
2019-04-30,mid,0.2725065481085633
2019-05-31,mid,0.3685734853260105
2019-06-30,mid,-0.0067664912588465
2019-07-31,mid,-0.1445858330405411
2019-08-31,mid,-0.1244085524102835
2019-09-30,short,-0.6171769664922913
2019-10-31,mid,-0.4404516542953485
2019-11-30,mid,-0.4430799988635296
2019-12-31,mid,-0.3339382609387986
2020-01-31,mid,-0.1927628567959121
2020-02-29,short,-0.6299418183964536
2020-03-31,short,-1.0063716241323728
2020-04-30,short,-1.4106118214711612
2020-05-31,short,-1.4337828422671035
2020-06-30,short,-1.4681035331579435
2020-07-31,short,-1.4685678473937689
2020-08-31,short,-1.57682325197019
2020-09-30,short,-1.4422035840284142
2020-10-31,short,-1.4799346090755787
2020-11-30,short,-1.2887039600103387
2020-12-31,short,-1.327443955358996
2021-01-31,short,-1.287294573175905
2021-02-28,short,-1.1335206061949077
2021-03-31,short,-0.8356025749189118
2021-04-30,mid,-0.4995704521088708
2021-05-31,short,-0.6177422467887621
2021-06-30,short,-0.6599975798329529
2021-07-31,short,-0.7822872083445191
2021-08-31,short,-1.035824732222497
2021-09-30,short,-0.972171352564472
2021-10-31,short,-0.7473556672982682
2021-11-30,short,-0.674605207401292
2021-12-31,short,-0.7865758853855245
2022-01-31,short,-0.7031093538277937
2022-02-28,mid,-0.4048453461263814
2022-03-31,mid,-0.3492577329059962
2022-04-30,mid,0.1236424897302512
2022-05-31,mid,0.7119914191726555
2022-06-30,mid,0.6540686794749071
2022-07-31,mid,0.7579754476566127
2022-08-31,mid,0.3940000355795758
2022-09-30,mid,0.8651323870766165
2022-10-31,long,1.5574244080825368
2022-11-30,long,1.8084490139540024
2022-12-31,mid,1.5184598442064168
2023-01-31,mid,1.7516866657662886
2023-02-28,mid,1.3634971953024015
2023-03-31,mid,1.844207165954601
2023-04-30,mid,1.5532323236836545
2023-05-31,mid,1.487549178981519
2023-06-30,mid,1.7378517123686898
2023-07-31,mid,1.9548847005876
2023-08-31,mid,2.088304644378023
2023-09-30,mid,2.244523348367686
2023-10-31,mid,2.7223393578392825
2023-11-30,mid,3.052409683647934
2023-12-31,mid,2.558089277820696
2024-01-31,mid,2.161856049982545
2024-02-29,mid,2.2088578812057618
2024-03-31,mid,2.516941851797017
2024-04-30,mid,2.4741295672534878
2024-05-31,mid,2.9257465687975373
2024-06-30,mid,2.746046230839041
2024-07-31,mid,2.633935778387082
2024-08-31,mid,2.3109153211046207
2024-09-30,mid,2.2445797819942346
2024-10-31,mid,2.115979390558316
2024-11-30,mid,2.636052487776235
2024-12-31,mid,2.5486051459834
2025-01-31,mid,2.903715726280301
2025-02-28,mid,2.872118350413004
2025-03-31,mid,2.550603476802697
2025-04-30,mid,2.5546372817782554
2025-05-31,mid,2.4495405514035005
2025-06-30,mid,2.6656847997601707
2025-07-31,mid,2.5004977401401405
