ticker,ch,mh,sl,best_sharpe
IWF,30,60,-0.05,1.139
IWD,10,60,-0.08,0.7309
IWM,30,60,-0.08,0.6662
USMV,20,15,-0.12,0.9147
MTUM,20,45,-0.05,1.1085
PKW,20,45,-0.08,0.8665
DVY,10,45,-0.12,0.9664
