,predicted_vol,exposure_symmetric,exposure_asymmetric_cap,exposure_binary_defensive,exposure_three_state,exposure
2018-04-17,0.11969403623106753,1.2531952695657056,1.0,0.85,0.85,0.85
2018-04-18,0.12128554588466262,1.2367508337938604,1.0,0.85,0.85,0.85
2018-04-19,0.11644215274745227,1.2881932913532634,1.0,0.85,0.85,0.85
2018-04-20,0.11847025690546123,1.2661405817639053,1.0,0.85,0.85,0.85
2018-04-23,0.1198872673664256,1.2511754024848802,1.0,0.85,0.85,0.85
2018-04-24,0.11259292742506705,1.3322328802564276,1.0,0.85,0.85,0.85
2018-04-25,0.11566620983617394,1.296835093087734,1.0,0.85,0.85,0.85
2018-04-26,0.10543969734286965,1.4226140986750826,1.0,0.85,0.85,0.85
2018-04-27,0.10678448942678172,1.4046983864903864,1.0,0.85,0.85,0.85
2018-04-30,0.10311920151084944,1.4546272449968312,1.0,0.85,0.85,0.85
2018-05-01,0.10483449335509662,1.430826774656298,1.0,0.85,0.85,0.85
2018-05-02,0.09738753291365788,1.5,1.0,0.85,0.85,0.85
2018-05-03,0.09867047840408258,1.5,1.0,0.85,0.85,0.85
2018-05-04,0.09561364248242293,1.5,1.0,0.85,0.85,0.85
2018-05-07,0.10998903749125499,1.3637722760500217,1.0,0.85,0.85,0.85
2018-05-08,0.09581619668545402,1.5,1.0,0.85,0.85,0.85
2018-05-09,0.09151501297483557,1.5,1.0,0.85,0.85,0.85
2018-05-10,0.10094613834780132,1.4859409429134156,1.0,0.85,0.85,0.85
2018-05-11,0.09959217542133686,1.5,1.0,0.85,0.85,0.85
2018-05-14,0.09023536393367015,1.5,1.0,0.85,0.85,0.85
2018-05-15,0.08898199740397264,1.5,1.0,0.85,0.85,0.85
2018-05-16,0.09817335355552681,1.5,1.0,0.85,0.85,0.85
2018-05-17,0.09330229142850771,1.5,1.0,0.85,0.85,0.85
2018-05-18,0.08740417219794933,1.5,1.0,0.85,0.85,0.85
2018-05-21,0.08946758333390366,1.5,1.0,0.85,0.85,0.85
2018-05-22,0.09658234462413456,1.5,1.0,0.85,0.85,0.85
2018-05-23,0.09011743995044119,1.5,1.0,0.85,0.85,0.85
2018-05-24,0.08845859915953441,1.5,1.0,0.85,0.85,0.85
2018-05-25,0.08758654091215405,1.5,1.0,0.85,0.85,0.85
2018-05-29,0.08748753268911634,1.5,1.0,0.85,0.85,0.85
2018-05-30,0.10004335382290949,1.4993499744672758,1.0,0.85,0.85,0.85
2018-05-31,0.10590691661555382,1.416338090027734,1.0,0.85,0.85,0.85
2018-06-01,0.09901985195347614,1.5,1.0,0.85,0.85,0.85
2018-06-04,0.10510106047994142,1.4271977781673055,1.0,0.85,0.85,0.85
2018-06-05,0.09826394003668903,1.5,1.0,0.85,0.85,0.85
2018-06-06,0.09342287803897123,1.5,1.0,0.85,0.85,0.85
2018-06-07,0.09963713142161074,1.5,1.0,0.85,0.85,0.85
2018-06-08,0.09111567779211266,1.5,1.0,0.85,0.85,0.85
2018-06-11,0.09181934677702744,1.5,1.0,0.85,0.85,0.85
2018-06-12,0.08910422546963083,1.5,1.0,0.85,0.85,0.85
2018-06-13,0.08912948139855578,1.5,1.0,0.85,0.85,0.85
2018-06-14,0.09079106974534494,1.5,1.0,0.85,0.85,0.85
2018-06-15,0.08876987382934122,1.5,1.0,0.85,0.85,0.85
2018-06-18,0.0933560046775504,1.5,1.0,0.85,0.85,0.85
2018-06-19,0.08941277707134944,1.5,1.0,0.85,0.85,0.85
2018-06-20,0.09160695316347062,1.5,1.0,0.85,0.85,0.85
2018-06-21,0.0892572493011918,1.5,1.0,0.85,0.85,0.85
2018-06-22,0.09379799933487548,1.5,1.0,0.85,0.85,0.85
2018-06-25,0.08981289211518656,1.5,1.0,0.85,0.85,0.85
2018-06-26,0.10501139066228507,1.4284164703846038,1.0,0.85,0.85,0.85
2018-06-27,0.0949975555381032,1.5,1.0,0.85,0.85,0.85
2018-06-28,0.09747302308190955,1.5,1.0,0.85,0.85,0.85
2018-06-29,0.09319339429335399,1.5,1.0,0.85,0.85,0.85
2018-07-02,0.09017357823634882,1.5,1.0,0.85,0.85,0.85
2018-07-03,0.08613382403850077,1.5,1.0,0.85,1.0,0.85
2018-07-05,0.08742940009245473,1.5,1.0,0.85,1.0,0.85
2018-07-06,0.09460103935605502,1.5,1.0,0.85,0.85,0.85
2018-07-09,0.095980362928633,1.5,1.0,0.85,0.85,0.85
2018-07-10,0.09889535769083452,1.5,1.0,0.85,0.85,0.85
2018-07-11,0.09303868424054136,1.5,1.0,0.85,0.85,0.85
2018-07-12,0.09824140239708881,1.5,1.0,0.85,0.85,0.85
2018-07-13,0.10162099548990508,1.476072924466685,1.0,0.85,0.85,0.85
2018-07-16,0.09371399591773055,1.5,1.0,0.85,0.85,0.85
2018-07-17,0.09280824019660008,1.5,1.0,0.85,0.85,0.85
2018-07-18,0.09529011442366314,1.5,1.0,0.85,0.85,0.85
2018-07-19,0.09254958701616259,1.5,1.0,0.85,0.85,0.85
2018-07-20,0.09384431280191856,1.5,1.0,0.85,0.85,0.85
2018-07-23,0.09086781647498009,1.5,1.0,0.85,0.85,0.85
2018-07-24,0.09076275068946414,1.5,1.0,0.85,0.85,0.85
2018-07-25,0.09392101146200503,1.5,1.0,0.85,0.85,0.85
2018-07-26,0.09525595401834569,1.5,1.0,0.85,0.85,0.85
2018-07-27,0.08965975182226968,1.5,1.0,0.85,0.85,0.85
2018-07-30,0.09385941811084697,1.5,1.0,0.85,0.85,0.85
2018-07-31,0.09447548840994369,1.5,1.0,0.85,0.85,0.85
2018-08-01,0.09375863445293509,1.5,1.0,0.85,0.85,0.85
2018-08-02,0.08912217202388707,1.5,1.0,0.85,0.85,0.85
2018-08-03,0.0935961916277345,1.5,1.0,0.85,0.85,0.85
2018-08-06,0.09113796983874617,1.5,1.0,0.85,0.85,0.85
2018-08-07,0.08776210620584304,1.5,1.0,0.85,1.0,0.85
2018-08-08,0.08596763725690933,1.5,1.0,0.85,1.0,0.85
2018-08-09,0.08312873231110228,1.5,1.0,0.85,1.0,0.85
2018-08-10,0.08267654859550698,1.5,1.0,0.85,1.0,0.85
2018-08-13,0.08937054761652878,1.5,1.0,0.85,0.85,0.85
2018-08-14,0.0866666895461515,1.5,1.0,0.85,1.0,0.85
2018-08-15,0.09047681244467737,1.5,1.0,0.85,0.85,0.85
2018-08-16,0.09321785557382732,1.5,1.0,0.85,0.85,0.85
2018-08-17,0.09698830539511706,1.5,1.0,0.85,0.85,0.85
2018-08-20,0.09141581425804032,1.5,1.0,0.85,0.85,0.85
2018-08-21,0.08985425239980951,1.5,1.0,0.85,0.85,0.85
2018-08-22,0.0893830628904692,1.5,1.0,0.85,0.85,0.85
2018-08-23,0.0852768856189966,1.5,1.0,0.85,1.0,0.85
2018-08-24,0.08387294496097286,1.5,1.0,0.85,1.0,0.85
2018-08-27,0.0894486829858392,1.5,1.0,0.85,0.85,0.85
2018-08-28,0.09156422874868009,1.5,1.0,0.85,0.85,0.85
2018-08-29,0.08357650323338367,1.5,1.0,0.85,1.0,0.85
2018-08-30,0.08856217108342888,1.5,1.0,0.85,0.85,0.85
2018-08-31,0.08820457781216114,1.5,1.0,0.85,0.85,0.85
2018-09-04,0.08425961039704681,1.5,1.0,0.85,1.0,0.85
2018-09-05,0.08426784088788983,1.5,1.0,0.85,1.0,0.85
2018-09-06,0.08558795664900282,1.5,1.0,0.85,1.0,0.85
2018-09-07,0.08452430331622159,1.5,1.0,0.85,1.0,0.85
2018-09-10,0.08353650812494437,1.5,1.0,0.85,1.0,0.85
2018-09-11,0.08398755105451657,1.5,1.0,0.85,1.0,0.85
2018-09-12,0.0851102389750186,1.5,1.0,0.85,1.0,0.85
2018-09-13,0.08114362377950898,1.5,1.0,0.85,1.0,0.85
2018-09-14,0.08620425195221446,1.5,1.0,0.85,0.85,0.85
2018-09-17,0.07869998245231305,1.5,1.0,0.85,1.0,0.85
2018-09-18,0.08438785598830388,1.5,1.0,0.85,1.0,0.85
2018-09-19,0.08505809759178867,1.5,1.0,0.85,1.0,0.85
2018-09-20,0.08113253828572928,1.5,1.0,0.85,1.0,0.85
2018-09-21,0.08916509946796314,1.5,1.0,0.85,0.85,0.85
2018-09-24,0.08249422722422416,1.5,1.0,0.85,1.0,0.85
2018-09-25,0.08490789437384785,1.5,1.0,0.85,1.0,0.85
2018-09-26,0.08229541764161549,1.5,1.0,0.85,1.0,0.85
2018-09-27,0.08300961927795593,1.5,1.0,0.85,1.0,0.85
2018-09-28,0.08162249794425326,1.5,1.0,0.85,1.0,0.85
2018-10-01,0.07831977126174025,1.5,1.0,0.85,1.0,0.85
2018-10-02,0.08176452143682052,1.5,1.0,0.85,1.0,0.85
2018-10-03,0.07833921275188097,1.5,1.0,0.85,1.0,0.85
2018-10-04,0.07759571036124267,1.5,1.0,0.85,1.0,0.85
2018-10-05,0.08738813016481094,1.5,1.0,0.85,0.85,0.85
2018-10-08,0.08704147874352249,1.5,1.0,0.85,0.85,0.85
2018-10-09,0.08089543979910725,1.5,1.0,0.85,1.0,0.85
2018-10-10,0.08170541619497104,1.5,1.0,0.85,1.0,0.85
2018-10-11,0.13421473125957167,1.1176120429723886,1.0,0.4,0.4,0.4
2018-10-12,0.1290735028870117,1.1621285286671652,1.0,0.4,0.4,0.4
2018-10-15,0.12711104523689937,1.1800705416310757,1.0,0.4,0.4,0.4
2018-10-16,0.12035117901453883,1.2463525594699782,1.0,0.4,0.4,0.4
2018-10-17,0.14329144124799703,1.0468175816613663,1.0,0.4,0.4,0.4
2018-10-18,0.1201766218824949,1.2481628926686383,1.0,0.4,0.4,0.4
2018-10-19,0.13227349421801907,1.134014043303062,1.0,0.4,0.4,0.4
2018-10-22,0.11826543337555315,1.2683334066317873,1.0,0.4,0.4,0.4
2018-10-23,0.12120650680368689,1.2375573222562113,1.0,0.4,0.4,0.4
2018-10-24,0.11696703497966365,1.2824126047657751,1.0,0.4,0.4,0.4
2018-10-25,0.1506103438617478,0.9959475302552389,0.9959475302552389,0.4,0.4,0.4
2018-10-26,0.14798414717809508,1.013622086286573,1.0,0.4,0.4,0.4
2018-10-29,0.14944457846351897,1.0037165720040933,1.0,0.4,0.4,0.4
2018-10-30,0.13862778594386987,1.0820341606028008,1.0,0.4,0.4,0.4
2018-10-31,0.15271160343604268,0.9822436319504803,0.9822436319504803,0.4,0.4,0.4
