,dlyret
2006-11-30,100000.0
2006-12-01,99252.88430532684
2006-12-04,101663.10757467875
2006-12-05,102526.36137522732
2006-12-06,102479.82123616395
2006-12-07,101590.58403592077
2006-12-08,101806.28056361931
2006-12-11,101979.69254525092
2006-12-12,101593.48173298713
2006-12-13,101699.19821753386
2006-12-14,103433.00129354984
2006-12-15,103261.50471848731
2006-12-18,102154.05639053228
2006-12-19,102379.61481791078
2006-12-20,102400.78574388142
2006-12-21,101532.97676562807
2006-12-22,100707.84023708322
2006-12-26,101462.7300234918
2006-12-27,102891.23492923104
2006-12-28,102475.72777221103
2006-12-29,101513.66012946086
2007-01-03,101332.46884967633
2007-01-04,101520.27132848141
2007-01-05,100082.00193728252
2007-01-08,100599.38149951873
2007-01-09,100822.38558903738
2007-01-10,101436.51678337973
2007-01-11,102944.61252132387
2007-01-12,103740.10463158714
2007-01-16,103935.02740715415
2007-01-17,103851.50761307949
2007-01-18,103014.14999968938
2007-01-19,104047.47133042931
2007-01-22,102979.14236924612
2007-01-23,104156.33124339026
2007-01-24,105709.1762722576
2007-01-25,103544.30590084447
2007-01-26,103643.47656285884
2007-01-29,103589.9229721154
2007-01-30,104883.10272290854
2007-01-31,106391.90440748214
2007-02-01,108047.47802742843
2007-02-02,108661.8544182406
2007-02-05,108425.53580154372
2007-02-06,109039.8942853876
2007-02-07,109800.2144173559
2007-02-08,109805.64386360017
2007-02-09,108234.77656803453
2007-02-12,107473.31182528523
2007-02-13,109260.57040814421
2007-02-14,111095.43432709046
2007-02-15,111786.67956602432
2007-02-16,111711.14676940978
2007-02-20,112696.50910372131
2007-02-21,112658.05988250808
2007-02-22,112768.0654239968
2007-02-23,112320.25738610809
2007-02-26,112004.94203433611
2007-02-27,104608.37691999204
2007-02-28,105556.54553585619
2007-03-01,104739.16596594838
2007-03-02,101981.21761850716
2007-03-05,99603.40720437412
2007-03-06,102726.03555856059
2007-03-07,102398.95401076
2007-03-08,104137.42768689082
2007-03-09,104584.13036121326
2007-03-12,105212.15404479245
2007-03-13,100804.75237084103
2007-03-14,102104.00808896824
2007-03-15,103228.9774077458
2007-03-16,102480.00984657016
2007-03-19,104562.13056414985
2007-03-20,105868.75171380065
2007-03-21,109296.08728528945
2007-03-22,109015.77235923447
2007-03-23,109624.9928931946
2007-03-26,109543.73924985512
2007-03-27,108189.74069215283
2007-03-28,106506.5517599225
2007-03-29,106935.8791591353
2007-03-30,106982.03941064683
2007-04-02,107860.54981186705
2007-04-03,109871.60892674942
2007-04-04,109889.44328062335
2007-04-05,110647.3031399252
2007-04-09,110859.32253421251
2007-04-10,111283.21753046404
2007-04-11,109908.37452868752
2007-04-12,111382.71306881518
2007-04-13,111923.9880348975
2007-04-16,114367.11049251488
2007-04-17,114773.71184652235
2007-04-18,115159.40266245912
2007-04-19,114761.47959160763
2007-04-20,116698.87415399218
2007-04-23,116883.51899915015
2007-04-24,117041.53001534066
2007-04-25,119326.89619485654
2007-04-26,119305.46312907564
2007-04-27,118930.84575231341
2007-04-30,116377.69376534675
2007-05-01,117098.43916356908
2007-05-02,119051.14198866836
2007-05-03,119834.44717707671
2007-05-04,120184.37934786477
2007-05-07,120663.32156015205
2007-05-08,120274.18893702999
2007-05-09,121603.99546054943
2007-05-10,118153.97364467624
2007-05-11,120328.54545104696
2007-05-14,119715.40073143312
2007-05-15,119068.44995516336
2007-05-16,120637.40760516228
2007-05-17,120354.05278925794
2007-05-18,121938.31832469362
2007-05-21,122547.81970903769
2007-05-22,122627.92561565805
2007-05-23,122054.28918548848
2007-05-24,119257.78755502308
2007-05-25,120573.81793222339
2007-05-29,121323.4887725889
2007-05-30,123389.33074385776
2007-05-31,124018.8592752423
2007-06-01,125138.69443998662
2007-06-04,125811.4453957654
2007-06-05,124254.73006635715
2007-06-06,121869.2593455262
2007-06-07,117308.32419879932
2007-06-08,120143.4783101944
2007-06-11,120294.03412883115
2007-06-12,117714.05378503019
2007-06-13,121408.5916002898
2007-06-14,122342.52031690076
2007-06-15,123879.5757100714
2007-06-18,123413.83153166919
2007-06-19,123647.33142723815
2007-06-20,120564.58124283493
2007-06-21,122216.92547304148
2007-06-22,119601.83319924427
2007-06-25,118363.77207805042
2007-06-26,117393.42443639706
2007-06-27,119742.4881258545
2007-06-28,119667.75793615785
2007-06-29,119278.17797533218
2007-07-02,122066.13751089071
2007-07-03,122590.59907108897
2007-07-05,122967.6703059772
2007-07-06,124110.97340652901
2007-07-09,124081.14529441387
2007-07-10,120317.97617386466
2007-07-11,121490.11941213802
2007-07-12,125527.88820687759
2007-07-13,126296.26862983558
2007-07-16,125242.21867183394
2007-07-17,125181.08838207854
2007-07-18,124652.01375984565
2007-07-19,126040.72661608281
2007-07-20,122534.7140031222
2007-07-23,123017.28354894795
2007-07-24,117865.39835085871
2007-07-25,118109.18484779456
2007-07-26,112221.17732002439
2007-07-27,108555.22679853693
2007-07-30,111034.03087016057
2007-07-31,108363.49943890427
2007-08-01,109376.11591157672
2007-08-02,110492.01866219769
2007-08-03,103904.48314690217
2007-08-06,108354.98856912629
2007-08-07,109416.91022296499
2007-08-08,112196.30734462793
2007-08-09,105812.16724913332
2007-08-10,106569.81172323303
2007-08-13,106988.02468159169
2007-08-14,102363.68684994463
2007-08-15,98880.04082642491
2007-08-16,99442.76268097355
2007-08-17,104191.80745746908
2007-08-20,104534.60136331232
2007-08-21,105233.87283816615
2007-08-22,108096.15720564907
2007-08-23,107451.98001180208
2007-08-24,109908.0052641959
2007-08-27,107422.96586457387
2007-08-28,102095.35160610148
2007-08-29,106798.77479853523
2007-08-30,105788.52028736503
2007-08-31,108352.38932517075
2007-09-04,110520.21826703227
2007-09-05,107726.32383041135
2007-09-06,108699.64400265492
2007-09-07,104670.7227125232
2007-09-10,103576.61459245301
2007-09-11,106140.53011525977
2007-09-12,105868.51000791533
2007-09-13,107407.63971382783
2007-09-14,107904.61616833396
2007-09-17,106663.36253489641
2007-09-18,113381.03025941766
2007-09-19,115117.27209222442
2007-09-20,112808.11650570272
2007-09-21,113480.37855866224
2007-09-24,111977.33400604277
2007-09-25,111559.18043055313
2007-09-26,112952.4518049157
2007-09-27,113950.31757103874
2007-09-28,113350.01696067401
2007-10-01,116570.25399347796
2007-10-02,117079.78089180698
2007-10-03,116407.03230232839
2007-10-04,116625.66805337502
2007-10-05,119647.54062100104
2007-10-08,118622.97540406091
