top_pct,top_n,freq,return_window,median_sharpe,min_sharpe,n_positive,stability,em_country
0.1,1,6ME,9,0.5288,0.5288,1,0.7778,0.5288
0.1,1,6ME,12,0.5288,0.5288,1,0.8161,0.5288
0.33,4,QE,9,0.5178,0.5178,1,1.142,0.5178
0.5,6,QE,9,0.5109,0.5109,1,1.1466,0.5109
0.1,1,QE,6,0.5061,0.5061,1,0.8857,0.5061
0.33,4,QE,3,0.4984,0.4984,1,1.1311,0.4984
0.25,3,12ME,6,0.496,0.496,1,1.0666,0.496
0.25,3,12ME,3,0.496,0.496,1,1.0832,0.496
0.25,3,12ME,12,0.496,0.496,1,1.0832,0.496
0.25,3,12ME,9,0.496,0.496,1,1.0666,0.496
0.15,2,QE,9,0.4834,0.4834,1,1.1581,0.4834
0.1,1,2ME,3,0.4761,0.4761,1,1.2738,0.4761
0.5,6,QE,3,0.4661,0.4661,1,1.2681,0.4661
0.1,1,QE,9,0.4623,0.4623,1,1.0883,0.4623
0.25,3,QE,3,0.4621,0.4621,1,1.1539,0.4621
0.1,1,ME,12,0.4327,0.4327,1,1.7203,0.4327
0.15,2,12ME,3,0.4093,0.4093,1,1.1016,0.4093
0.15,2,12ME,12,0.4093,0.4093,1,1.0792,0.4093
0.15,2,12ME,9,0.4093,0.4093,1,1.0634,0.4093
0.15,2,12ME,6,0.4093,0.4093,1,1.0813,0.4093
0.1,1,QE,3,0.3932,0.3932,1,0.983,0.3932
0.15,2,QE,3,0.36,0.36,1,1.4677,0.36
0.1,1,QE,12,0.3358,0.3358,1,1.6395,0.3358
0.1,1,12ME,12,0.2564,0.2564,1,1.5529,0.2564
0.1,1,12ME,9,0.2564,0.2564,1,1.4147,0.2564
0.1,1,12ME,6,0.2564,0.2564,1,1.0979,0.2564
0.1,1,12ME,3,0.2564,0.2564,1,1.1305,0.2564
0.1,1,6ME,3,0.2039,0.2039,1,1.8334,0.2039
0.1,1,6ME,6,0.2039,0.2039,1,2.0961,0.2039
