entry_time,exit_time,direction,instrument,entry_price,exit_price,pct_return_gross,exit_reason
1996-01-31,1996-02-29,long,IND|KOR|NOR...,100.0,105.2766,0.052766,monthly_rebalance
1996-02-29,1996-03-31,long,IND|KOR|MYS...,100.0,101.7411,0.017411,monthly_rebalance
1996-03-31,1996-04-30,long,IND|KOR|NZL...,100.0,106.5007,0.065007,monthly_rebalance
1996-04-30,1996-05-31,long,NZL|KOR|IND...,100.0,97.6361,-0.023639,monthly_rebalance
1996-05-31,1996-06-30,long,NZL|KOR|IND...,100.0,99.2401,-0.007599,monthly_rebalance
1996-06-30,1996-07-31,long,KOR|NZL|MYS...,100.0,96.0425,-0.039575,monthly_rebalance
1996-07-31,1996-08-31,long,KOR|IND|NZL...,100.0,101.4135,0.014135,monthly_rebalance
1996-08-31,1996-09-30,long,KOR|IND|NZL...,100.0,97.9154,-0.020846,monthly_rebalance
1996-09-30,1996-10-31,long,KOR|IND|NZL...,100.0,100.032,0.00032,monthly_rebalance
1996-10-31,1996-11-30,long,KOR|IND|SGP...,100.0,100.0666,0.000666,monthly_rebalance
1996-11-30,1996-12-31,long,KOR|IND|SGP...,100.0,100.0916,0.000916,monthly_rebalance
1996-12-31,1997-01-31,long,KOR|IND|SGP...,100.0,104.8352,0.048352,monthly_rebalance
1997-01-31,1997-02-28,long,KOR|SGP|IND...,100.0,100.9158,0.009158,monthly_rebalance
1997-02-28,1997-03-31,long,KOR|SGP|IND...,100.0,96.9824,-0.030176,monthly_rebalance
1997-03-31,1997-04-30,long,KOR|SGP|IND...,100.0,99.9432,-0.000568,monthly_rebalance
1997-04-30,1997-05-31,long,KOR|SGP|PHL...,100.0,102.9623,0.029623,monthly_rebalance
1997-05-31,1997-06-30,long,KOR|PHL|SGP...,100.0,102.4095,0.024095,monthly_rebalance
1997-06-30,1997-07-31,long,PHL|KOR|SGP...,100.0,97.8443,-0.021557,monthly_rebalance
1997-07-31,1997-08-31,long,PHL|KOR|MYS...,100.0,89.1374,-0.108626,monthly_rebalance
1997-08-31,1997-09-30,long,PHL|MYS|SGP...,100.0,100.1773,0.001773,monthly_rebalance
1997-09-30,1997-10-31,long,PHL|MYS|KOR...,100.0,82.9746,-0.170254,monthly_rebalance
1997-10-31,1997-11-30,long,MYS|KOR|PHL...,100.0,94.1983,-0.058017,monthly_rebalance
1997-11-30,1997-12-31,long,MYS|KOR|PHL...,100.0,99.1276,-0.008724,monthly_rebalance
1997-12-31,1998-01-31,long,MYS|PHL|KOR...,100.0,105.6916,0.056916,monthly_rebalance
1998-01-31,1998-02-28,long,MYS|PHL|SGP...,100.0,118.0027,0.180027,monthly_rebalance
1998-02-28,1998-03-31,long,MYS|PHL|SGP...,100.0,97.4872,-0.025128,monthly_rebalance
1998-03-31,1998-04-30,long,MYS|PHL|KOR...,100.0,92.3835,-0.076165,monthly_rebalance
1998-04-30,1998-05-31,long,MYS|KOR|PHL...,100.0,88.8293,-0.111707,monthly_rebalance
1998-05-31,1998-06-30,long,MYS|KOR|SGP...,100.0,88.1085,-0.118915,monthly_rebalance
1998-06-30,1998-07-31,long,MYS|KOR|SGP...,100.0,99.756,-0.00244,monthly_rebalance
1998-07-31,1998-08-31,long,MYS|KOR|SGP...,100.0,86.1837,-0.138163,monthly_rebalance
1998-08-31,1998-09-30,long,MYS|KOR|PHL...,100.0,111.2224,0.112224,monthly_rebalance
1998-09-30,1998-10-31,long,MYS|KOR|PHL...,100.0,121.585,0.21585,monthly_rebalance
1998-10-31,1998-11-30,long,MYS|NOR|IND...,100.0,104.441,0.04441,monthly_rebalance
1998-11-30,1998-12-31,long,NOR|MEX|POL...,100.0,105.407,0.05407,monthly_rebalance
1998-12-31,1999-01-31,long,NOR|MEX|POL...,100.0,106.236,0.06236,monthly_rebalance
1999-01-31,1999-02-28,long,NOR|MEX|POL...,100.0,97.7282,-0.022718,monthly_rebalance
