date,0
2016-06-14,100000.0
2016-06-15,100133.64402941792
2016-06-16,100476.15056122867
2016-06-17,100492.0825370676
2016-06-20,101431.825591267
2016-06-21,101383.60147468964
2016-06-22,101220.76713253885
2016-06-23,101679.68426597076
2016-06-24,100875.92638416126
2016-06-27,100771.69532021393
2016-06-28,101188.2342541955
2016-06-29,101698.3118472621
2016-06-30,102189.0539231871
2016-07-01,102442.44750408165
2016-07-04,102442.44750408165
2016-07-05,102341.18324938577
2016-07-06,102376.77517566619
2016-07-07,102401.60376831757
2016-07-08,102856.60557469785
2016-07-11,102880.22480763566
2016-07-12,102869.84343348502
2016-07-13,102870.33688395204
2016-07-14,102969.82710674629
2016-07-15,102967.58499887248
2016-07-18,103090.53017817033
2016-07-19,102980.88824221356
2016-07-20,103186.17200736259
2016-07-21,103080.65768358577
2016-07-22,103276.54506370067
2016-07-25,103163.56788385416
2016-07-26,103134.87764481046
2016-07-27,103176.47184512866
2016-07-28,103168.71026083853
2016-07-29,103239.56277526624
2016-08-01,103228.90797187205
2016-08-02,103174.911614982
2016-08-03,103122.29303876295
2016-08-04,103206.16418457063
2016-08-05,103368.22752331344
2016-08-08,103412.53022862955
2016-08-09,103475.69142961461
2016-08-10,103372.69482404197
2016-08-11,103386.56564957307
2016-08-12,103331.35230057611
2016-08-15,103465.38152197305
2016-08-16,103287.09400282927
2016-08-17,103193.39151776317
2016-08-18,103260.55326495944
2016-08-19,103190.719578662
2016-08-22,103144.46858071376
2016-08-23,103205.44259488331
2016-08-24,103125.76055386371
2016-08-25,103065.20366139819
2016-08-26,102953.00019381526
2016-08-29,103017.73941189193
2016-08-30,103004.72408299967
2016-08-31,102853.59892827112
2016-09-01,102840.02613402545
2016-09-02,102923.06025543995
2016-09-05,102915.34143731897
2016-09-06,102960.74599013614
2016-09-07,102944.59863917413
2016-09-08,102825.70305773376
2016-09-09,102512.79884902576
2016-09-12,103261.77793114228
2016-09-13,102954.15892068471
2016-09-14,102918.301631801
2016-09-15,103562.4219036077
2016-09-16,103443.58448262858
2016-09-19,103774.6262157082
2016-09-20,103784.58286135396
2016-09-21,104330.100907238
2016-09-22,104315.51257553937
2016-09-23,104253.47082421421
2016-09-26,103948.96607180439
2016-09-27,104377.24776340461
2016-09-28,104447.76086903007
2016-09-29,104125.80621895906
2016-09-30,104350.2933712508
2016-10-03,104333.5341943814
2016-10-04,104304.77232285595
2016-10-05,104410.91840077529
2016-10-06,104447.50242226188
2016-10-07,104459.23858284531
2016-10-10,104660.93053100718
2016-10-11,104706.97410895862
2016-10-12,104662.04700640331
2016-10-13,104471.46839734162
2016-10-14,104530.51749395339
2016-10-17,104417.88372440706
2016-10-18,104823.19332815953
2016-10-19,104840.08689150281
2016-10-20,104843.96102286792
2016-10-21,104902.70599969132
