basket,ch,mh,sl,n_instruments,median_sharpe,mean_sharpe,pass_count,binomial_pvalue,binomial_significant
us_equity_broad,50,45,-0.12,4,0.5627,0.5939,2,0.014019,True
us_equity_broad,50,60,-0.05,4,0.6129,0.6084,2,0.014019,True
us_equity_broad,50,60,-0.08,4,0.6447,0.6485,2,0.014019,True
us_equity_broad,50,60,-0.12,4,0.6494,0.6395,2,0.014019,True
us_sectors,10,15,-0.05,11,0.5501,0.4619,5,0.000112,True
us_sectors,10,15,-0.08,11,0.4806,0.4409,3,0.015235,True
us_sectors,10,15,-0.12,11,0.4749,0.4512,3,0.015235,True
us_sectors,10,30,-0.05,11,0.4533,0.4264,1,0.4312,False
us_sectors,10,30,-0.08,11,0.4991,0.4536,3,0.015235,True
us_sectors,10,30,-0.12,11,0.4662,0.4951,5,0.000112,True
us_sectors,10,45,-0.05,11,0.4792,0.5025,3,0.015235,True
us_sectors,10,45,-0.08,11,0.4826,0.4839,3,0.015235,True
us_sectors,10,45,-0.12,11,0.4174,0.4587,3,0.015235,True
us_sectors,10,60,-0.05,11,0.5357,0.5357,5,0.000112,True
us_sectors,10,60,-0.08,11,0.5626,0.5464,6,6e-06,True
us_sectors,10,60,-0.12,11,0.6012,0.5726,7,0.0,True
us_sectors,20,15,-0.05,11,0.473,0.5224,3,0.015235,True
us_sectors,20,15,-0.08,11,0.4254,0.4847,4,0.001552,True
us_sectors,20,15,-0.12,11,0.4008,0.4651,3,0.015235,True
us_sectors,20,30,-0.05,11,0.5741,0.5473,6,6e-06,True
us_sectors,20,30,-0.08,11,0.5257,0.5445,4,0.001552,True
us_sectors,20,30,-0.12,11,0.5132,0.5138,4,0.001552,True
us_sectors,20,45,-0.05,11,0.4529,0.4783,3,0.015235,True
us_sectors,20,45,-0.08,11,0.4235,0.5133,4,0.001552,True
us_sectors,20,45,-0.12,11,0.471,0.5383,4,0.001552,True
us_sectors,20,60,-0.05,11,0.4648,0.4656,3,0.015235,True
us_sectors,20,60,-0.08,11,0.4822,0.4552,3,0.015235,True
us_sectors,20,60,-0.12,11,0.3702,0.4744,3,0.015235,True
us_sectors,30,15,-0.05,11,0.3601,0.3874,2,0.101895,False
us_sectors,30,15,-0.08,11,0.3181,0.3808,1,0.4312,False
us_sectors,30,15,-0.12,11,0.3135,0.3727,1,0.4312,False
us_sectors,30,30,-0.05,11,0.3845,0.3991,3,0.015235,True
us_sectors,30,30,-0.08,11,0.42,0.4216,3,0.015235,True
us_sectors,30,30,-0.12,11,0.4304,0.4362,2,0.101895,False
us_sectors,30,45,-0.05,11,0.3296,0.3868,3,0.015235,True
us_sectors,30,45,-0.08,11,0.3511,0.4007,3,0.015235,True
us_sectors,30,45,-0.12,11,0.4101,0.3924,2,0.101895,False
us_sectors,30,60,-0.05,11,0.3588,0.4145,3,0.015235,True
us_sectors,30,60,-0.08,11,0.324,0.4311,3,0.015235,True
us_sectors,30,60,-0.12,11,0.3709,0.4509,3,0.015235,True
us_sectors,50,15,-0.05,11,0.2305,0.2234,2,0.101895,False
us_sectors,50,15,-0.08,11,0.2193,0.242,1,0.4312,False
us_sectors,50,15,-0.12,11,0.1618,0.2589,3,0.015235,True
us_sectors,50,30,-0.05,11,0.2205,0.2798,3,0.015235,True
us_sectors,50,30,-0.08,11,0.3418,0.2932,2,0.101895,False
us_sectors,50,30,-0.12,11,0.2718,0.3238,3,0.015235,True
us_sectors,50,45,-0.05,11,0.2115,0.287,2,0.101895,False
us_sectors,50,45,-0.08,11,0.3118,0.3154,4,0.001552,True
us_sectors,50,45,-0.12,11,0.2159,0.3021,3,0.015235,True
us_sectors,50,60,-0.05,11,0.2009,0.2945,3,0.015235,True
us_sectors,50,60,-0.08,11,0.249,0.349,4,0.001552,True
us_sectors,50,60,-0.12,11,0.3865,0.3785,4,0.001552,True
us_factor,10,15,-0.05,7,0.5491,0.5935,4,0.000194,True
us_factor,10,15,-0.08,7,0.5735,0.5596,5,6e-06,True
us_factor,10,15,-0.12,7,0.5783,0.5424,4,0.000194,True
us_factor,10,30,-0.05,7,0.6635,0.6396,5,6e-06,True
us_factor,10,30,-0.08,7,0.6538,0.6094,5,6e-06,True
us_factor,10,30,-0.12,7,0.5804,0.5788,4,0.000194,True
us_factor,10,45,-0.05,7,0.6613,0.6498,5,6e-06,True
us_factor,10,45,-0.08,7,0.6725,0.6482,6,0.0,True
us_factor,10,45,-0.12,7,0.5602,0.6323,4,0.000194,True
us_factor,10,60,-0.05,7,0.6307,0.6561,6,0.0,True
us_factor,10,60,-0.08,7,0.7309,0.6914,6,0.0,True
us_factor,10,60,-0.12,7,0.6463,0.6387,6,0.0,True
us_factor,20,15,-0.05,7,0.6953,0.6627,5,6e-06,True
us_factor,20,15,-0.08,7,0.7502,0.6757,5,6e-06,True
