ticker,n_trades,sharpe,t_stat,t_p,boot_p5,perm_p,gates_pass,verdict,basket
SPY,31,0.9698,2.5525,0.008,0.3841,0.009,3,PASS,us_equity_broad
QQQ,30,1.0396,2.6959,0.0058,0.44,0.004,3,PASS,us_equity_broad
IWM,34,0.5846,1.4378,0.08,0.0141,0.072,1,FAIL,us_equity_broad
MDY,33,0.9018,2.2575,0.0155,0.3067,0.01,3,PASS,us_equity_broad
XLK,31,1.1593,3.0007,0.0027,0.6282,0.001,3,PASS,us_sectors
XLF,36,0.6453,1.625,0.0566,-0.0097,0.058,0,FAIL,us_sectors
XLE,30,0.7676,1.8498,0.0373,0.2101,0.035,3,PASS,us_sectors
XLV,31,0.9345,2.2855,0.0148,0.3036,0.015,3,PASS,us_sectors
XLI,34,1.2166,2.9724,0.0027,0.6072,0.003,3,PASS,us_sectors
XLP,30,1.2856,3.1481,0.0019,0.6392,0.001,3,PASS,us_sectors
XLY,33,0.8649,2.1537,0.0194,0.1741,0.017,3,PASS,us_sectors
XLU,34,0.895,2.2445,0.0158,0.2406,0.016,3,PASS,us_sectors
XLB,34,0.7858,1.948,0.03,0.2509,0.025,3,PASS,us_sectors
XLRE,33,0.7811,1.8841,0.0343,0.1813,0.036,3,PASS,us_sectors
XLC,22,0.9308,1.9614,0.0316,0.2507,0.024,3,PASS,us_sectors
IWF,30,1.0849,2.8398,0.0041,0.5153,0.002,3,PASS,us_factor
IWD,34,0.9172,2.3244,0.0132,0.2935,0.016,3,PASS,us_factor
USMV,34,0.9559,2.4661,0.0095,0.3348,0.018,3,PASS,us_factor
MTUM,31,1.1285,2.8313,0.0041,0.5912,0.001,3,PASS,us_factor
PKW,34,0.912,2.2614,0.0152,0.3473,0.015,3,PASS,us_factor
DVY,37,0.6747,1.7414,0.0451,0.0754,0.043,3,PASS,us_factor
