top_pct,top_n,freq,sma_window,median_sharpe,min_sharpe,n_positive,stability,us_sectors,bonds_us,commodities,real_assets
1.0,11,6ME,200,0.6874,0.5395,4,0.9391,1.574,0.7808,0.5395,0.594
0.5,6,2ME,250,0.6803,0.4518,4,0.829,0.8074,0.8741,0.4518,0.5532
0.25,3,2ME,250,0.6501,0.3072,4,0.7711,0.8245,0.7721,0.3072,0.5281
0.75,8,6ME,100,0.646,0.1447,4,0.9784,1.5329,0.5624,0.1447,0.7296
0.5,6,2ME,200,0.6272,0.4022,4,0.8403,0.7514,0.8852,0.5031,0.4022
0.75,8,12ME,250,0.6196,0.3022,4,1.096,1.1395,0.5197,0.3022,0.7195
0.5,6,6ME,100,0.6126,0.1987,4,0.9513,1.772,0.5116,0.1987,0.7135
0.5,6,2ME,300,0.6072,0.4937,4,0.8431,0.8472,0.7103,0.4937,0.504
0.75,8,2ME,250,0.6,0.382,4,0.9278,0.8035,0.7886,0.382,0.4115
0.25,3,2ME,200,0.5961,0.5592,4,0.8715,0.5592,0.7654,0.5612,0.6311
1.0,11,12ME,250,0.5888,0.4645,4,1.1439,1.1464,0.4645,0.4791,0.6986
1.0,11,12ME,200,0.5845,0.4577,4,1.1536,1.3898,0.4577,0.6737,0.4953
0.75,8,ME,250,0.5827,0.2935,4,0.8672,0.7817,0.5869,0.2935,0.5786
0.75,8,2ME,200,0.5807,0.3283,4,0.8656,0.6967,0.8216,0.4647,0.3283
0.25,3,2ME,150,0.5798,0.5381,4,0.7915,0.7878,0.5381,0.5951,0.5646
0.25,3,2ME,300,0.5732,0.2977,4,0.8316,0.8518,0.7382,0.2977,0.4081
0.25,3,12ME,100,0.5709,0.4909,4,1.3038,1.4732,0.619,0.4909,0.5228
0.5,6,12ME,200,0.5628,0.4863,4,1.2095,1.2566,0.5216,0.4863,0.604
0.5,6,ME,250,0.5626,0.3826,4,0.9478,0.743,0.6273,0.3826,0.4979
1.0,11,2ME,200,0.5621,0.3093,4,0.8243,0.7065,0.7429,0.4177,0.3093
1.0,11,2ME,250,0.5453,0.3224,4,0.9379,0.7566,0.7168,0.3224,0.3737
0.75,8,2ME,300,0.5451,0.3335,4,0.9002,0.8704,0.6852,0.3335,0.405
0.5,6,2ME,150,0.5451,0.3138,4,0.8267,0.6908,0.5651,0.5251,0.3138
0.75,8,12ME,200,0.5196,0.4926,4,1.2624,1.3186,0.5043,0.4926,0.535
1.0,11,2ME,300,0.5135,0.2929,4,0.8496,0.8309,0.6334,0.2929,0.3936
0.25,3,2ME,100,0.5092,0.3892,4,0.7752,0.6744,0.4232,0.5953,0.3892
0.25,3,ME,200,0.502,0.438,4,0.9846,0.5202,0.4837,0.438,0.6754
0.5,6,ME,200,0.4983,0.4041,4,0.9972,0.6467,0.4793,0.5174,0.4041
0.25,3,ME,250,0.498,0.1505,4,1.0162,0.7491,0.389,0.1505,0.6071
0.25,3,6ME,100,0.4917,0.191,4,1.1852,1.3969,0.4684,0.191,0.515
1.0,11,ME,250,0.4904,0.2253,4,0.9599,0.7228,0.4671,0.2253,0.5137
0.75,8,ME,200,0.4771,0.3971,4,0.9995,0.7339,0.5268,0.3971,0.4273
0.75,8,2ME,150,0.4697,0.1747,4,0.8905,0.6617,0.5279,0.4114,0.1747
1.0,11,2ME,150,0.4648,0.1568,4,0.8802,0.6542,0.565,0.3647,0.1568
1.0,11,ME,200,0.4195,0.361,4,1.1052,0.7018,0.4119,0.361,0.4272
0.5,6,ME,300,0.4068,0.3158,4,1.1528,0.7725,0.3963,0.4172,0.3158
0.75,8,QE,250,0.406,0.1502,4,1.1404,0.7783,0.5281,0.1502,0.2838
0.75,8,ME,300,0.3965,0.2746,4,1.1791,0.8013,0.4156,0.2746,0.3773
0.5,6,2ME,100,0.3952,0.286,4,0.9788,0.7275,0.286,0.4171,0.3732
1.0,11,ME,100,0.3919,0.1905,4,0.8665,0.6933,0.4767,0.3071,0.1905
1.0,11,QE,250,0.3912,0.1257,4,1.205,0.6916,0.5534,0.1257,0.229
0.25,3,ME,150,0.3846,0.2867,4,1.1449,0.5067,0.2867,0.3644,0.4049
0.25,3,ME,100,0.364,0.2893,4,1.1325,0.5044,0.2914,0.4367,0.2893
0.75,8,ME,100,0.3565,0.1835,4,0.9539,0.718,0.3729,0.3401,0.1835
0.5,6,QE,300,0.3543,0.2462,4,1.5084,0.8437,0.2462,0.4556,0.2531
1.0,11,QE,150,0.3514,0.1101,4,1.2468,0.6245,0.3069,0.3959,0.1101
0.5,6,ME,100,0.3429,0.3036,4,1.0435,0.6668,0.3192,0.3667,0.3036
0.25,3,QE,300,0.3398,0.1371,4,1.595,0.9343,0.508,0.1717,0.1371
1.0,11,2ME,100,0.3373,0.2479,4,1.0994,0.5675,0.3364,0.3383,0.2479
0.5,6,QE,250,0.3367,0.0959,4,1.3725,0.8236,0.4391,0.2343,0.0959
0.75,8,QE,300,0.3362,0.2582,4,1.5126,0.8318,0.2582,0.3525,0.3199
1.0,11,ME,300,0.3355,0.2304,4,1.3914,0.7747,0.3372,0.2304,0.3337
1.0,11,ME,150,0.325,0.2173,4,1.2149,0.6141,0.4146,0.2173,0.2354
0.75,8,2ME,100,0.3222,0.2493,4,1.1155,0.605,0.2493,0.3766,0.2678
1.0,11,QE,300,0.3192,0.2748,4,1.6213,0.7481,0.2748,0.3325,0.3059
0.5,6,QE,150,0.3164,0.1467,4,1.2515,0.6294,0.1467,0.4731,0.1597
0.5,6,ME,150,0.3155,0.2866,4,1.3148,0.6046,0.2866,0.3031,0.3278
0.25,3,ME,300,0.3095,0.1672,4,1.5918,0.8363,0.336,0.1672,0.2831
1.0,11,QE,200,0.3065,0.1557,4,1.4825,0.6098,0.4057,0.1557,0.2072
1.0,11,QE,100,0.3044,0.0004,4,1.3576,0.5333,0.3191,0.2897,0.0004
0.75,8,ME,150,0.3032,0.2273,4,1.2822,0.6623,0.3595,0.2469,0.2273
0.75,8,QE,150,0.2936,0.1097,4,1.3902,0.7245,0.2018,0.3854,0.1097
0.75,8,QE,200,0.2798,0.1794,4,1.5391,0.7006,0.367,0.1794,0.1927
0.5,6,QE,200,0.2616,0.122,4,1.6309,0.662,0.2718,0.2513,0.122
0.25,3,QE,150,0.2595,0.0317,4,1.7588,0.5961,0.0317,0.3645,0.1544
0.25,3,QE,100,0.24,0.1093,4,1.5367,0.5634,0.1365,0.3435,0.1093
0.75,8,QE,100,0.2384,0.0191,4,1.4941,0.556,0.1977,0.2791,0.0191
0.25,3,QE,200,0.2383,0.2242,4,1.7131,0.6264,0.2507,0.2242,0.2259
0.5,6,QE,100,0.2148,0.0475,4,1.6784,0.5552,0.1215,0.3081,0.0475
0.25,3,QE,250,0.159,0.0215,4,3.0326,0.7583,0.2332,0.0848,0.0215
