top_pct,top_n,freq,mom_window,median_sharpe,min_sharpe,n_positive,stability,bonds_us,bonds_intl
0.5,4,12ME,9,0.2226,0.1556,2,1.1553,0.2896,0.1556
0.33,2,QE,9,0.2215,0.1118,2,1.2696,0.3311,0.1118
0.25,2,QE,9,0.2215,0.1118,2,1.2647,0.3311,0.1118
1.0,7,2ME,3,0.2161,0.2008,2,1.2321,0.2313,0.2008
1.0,7,2ME,6,0.2054,0.1848,2,1.1007,0.226,0.1848
1.0,7,ME,9,0.205,0.1902,2,0.9057,0.2197,0.1902
0.5,4,QE,9,0.1962,0.1118,2,1.6233,0.2805,0.1118
0.25,2,QE,12,0.1924,0.1419,2,1.3222,0.2429,0.1419
0.33,2,QE,12,0.1924,0.1419,2,1.3505,0.2429,0.1419
0.1,1,ME,6,0.1917,-0.0925,1,0.7816,0.4759,-0.0925
0.15,1,ME,6,0.1917,-0.0925,1,0.7415,0.4759,-0.0925
0.33,2,ME,9,0.1904,0.0369,2,1.0585,0.344,0.0369
0.25,2,ME,9,0.1904,0.0369,2,1.095,0.344,0.0369
0.1,1,ME,12,0.1903,-0.0555,1,1.1888,0.436,-0.0555
0.15,1,ME,12,0.1903,-0.0555,1,1.0661,0.436,-0.0555
0.15,1,QE,9,0.1897,0.1118,2,1.5845,0.2675,0.1118
0.1,1,QE,9,0.1897,0.1118,2,1.6679,0.2675,0.1118
0.15,1,ME,9,0.1864,0.0369,2,1.2499,0.3359,0.0369
0.1,1,ME,9,0.1864,0.0369,2,1.307,0.3359,0.0369
0.5,4,2ME,6,0.1817,0.1409,2,1.6939,0.2226,0.1409
1.0,7,ME,3,0.1811,0.1807,2,0.6116,0.1815,0.1807
1.0,7,ME,12,0.1769,0.157,2,1.11,0.1968,0.157
0.1,1,6ME,12,0.1761,0.0433,2,1.2496,0.3088,0.0433
0.15,1,6ME,12,0.1761,0.0433,2,1.2526,0.3088,0.0433
0.1,1,6ME,9,0.1761,0.0433,2,1.2012,0.3088,0.0433
0.15,1,6ME,9,0.1761,0.0433,2,1.2118,0.3088,0.0433
0.5,4,ME,9,0.1517,0.0369,2,1.3898,0.2664,0.0369
0.25,2,ME,12,0.1328,-0.0555,1,1.6062,0.3211,-0.0555
0.33,2,ME,12,0.1328,-0.0555,1,1.4819,0.3211,-0.0555
1.0,7,ME,6,0.1259,0.1199,2,1.3765,0.1318,0.1199
0.5,4,ME,12,0.1243,-0.0555,1,1.6531,0.3041,-0.0555
0.33,2,ME,6,0.1114,-0.0925,1,1.1912,0.3153,-0.0925
0.25,2,ME,6,0.1114,-0.0925,1,1.3528,0.3153,-0.0925
0.5,4,ME,6,0.1017,-0.0925,1,1.1032,0.296,-0.0925
0.5,4,ME,3,-0.0097,-0.1392,1,-16.6314,0.1197,-0.1392
0.1,1,ME,3,-0.0342,-0.1392,1,-6.1374,0.0708,-0.1392
0.15,1,ME,3,-0.0342,-0.1392,1,-4.1287,0.0708,-0.1392
0.25,2,ME,3,-0.0649,-0.1392,1,-2.3586,0.0093,-0.1392
0.33,2,ME,3,-0.0649,-0.1392,1,-2.453,0.0093,-0.1392
