date,donchian_channel__us_factor,sentiment_timing__us_factor,turn_of_month__real_assets,vol_overlay__us_factor,donchian_channel__us_equity_broad,us_cross_sectional_momentum__us_factor,quality_timing__us_factor,industry_trend__us_sectors,us_cross_sectional_momentum__us_sectors,bond_duration_carry__bonds_us,donchian_channel__real_assets,us_cross_sectional_momentum__us_equity_broad,quality_timing__us_equity_broad,sentiment_timing__us_equity_broad,cross_asset_momentum__all_68,low_volatility__all_equity,vol_overlay__us_equity_broad,em_dm_carry__intl_country_all
2016-01-05,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,0.0,,-0.0018414180296429938
2016-01-06,0.0,-0.010623621663256921,-0.024595277199205918,-0.010623621663256921,0.0,0.0,-0.007436535164279852,0.0,0.0,0.0037904845350870964,0.0,0.0,-0.009018898843351414,-0.012884141204787675,0.0,0.0,-0.012884141204787675,-0.01781954644171846
2016-01-07,0.0,-0.02135609881894553,0.0,-0.02135609881894553,0.0,0.0,-0.014949269173261817,0.0,0.0,-0.0004241383872259641,0.0,0.0,-0.01885407256289834,-0.02693438937556894,0.0,0.0,-0.02693438937556894,-0.02351291985618964
2016-01-08,0.0,-0.009868380099787041,0.0,-0.009868380099787041,0.0,0.0,-0.006907866069850869,0.0,0.0,0.0008180214157078453,0.0,0.0,-0.008676134412197917,-0.012394477731711318,0.0,0.0,-0.012394477731711318,-0.010622775214715663
2016-01-11,0.0,0.0018794155806667878,0.0,0.0018794155806667878,0.0,0.0,0.0013155909064667681,0.0,0.0,-0.0031340437162188373,0.0,0.0,-0.0005743678060759205,-0.0008205254372513626,0.0,0.0,-0.0008205254372513626,0.00395492233114525
2016-01-12,0.0,0.0070144163375986945,0.0,0.0070144163375986945,0.0,0.0,0.004910091436319042,0.0,0.0,0.00336526727961875,0.0,0.0,0.0046831961285221935,0.006690280183603292,0.0,0.0,0.006690280183603292,0.00415447049016926
2016-01-13,0.0,-0.02347055623714811,0.0,-0.02347055623714811,0.0,0.0,-0.016429389366003706,0.0,0.0,0.0012522811893035668,0.0,0.0,-0.020736812956418077,-0.02962401850916871,0.0,0.0,-0.02962401850916871,-0.013689716033871147
2016-01-14,0.0,0.013097522118796001,0.0,0.013097522118796001,0.0,0.0,0.00916826548315719,0.0,0.0,-0.001973265076192429,0.0,0.0,0.011093550082914794,0.015847928689878277,0.0,0.0,0.015847928689878277,0.01330017143269746
2016-01-15,0.0,-0.017688067330361195,0.0,-0.017688067330361195,0.0,0.0,-0.012381647131252838,0.0,0.0,0.0009673414500300653,0.0,0.0,-0.014538628745017323,-0.020769469635738946,0.0,0.0,-0.020769469635738946,-0.03740237317264661
2016-01-19,0.0,0.0023100488767433904,0.0,0.0023100488767433904,0.0,0.0,0.001617034213720392,0.0,0.0,-0.0020144895783868744,0.0,0.0,-0.0027019036840194577,-0.0038598624057420983,0.0,0.0,-0.0038598624057420983,0.009172681232103352
2016-01-20,0.0,-0.01284387880001627,0.0,-0.01284387880001627,0.0,0.0,-0.008990715160011356,0.0,0.0,0.0017905817220999626,0.0,0.0,-0.0032057097619727914,-0.004579585374246853,0.0,0.0,-0.004579585374246853,-0.020373144343666993
2016-01-21,0.0,0.00418387333208096,0.0,0.00418387333208096,0.0,0.0,0.00292871133245672,0.0,0.0,-0.000966856638665109,0.0,0.0,0.001042648972220478,0.0014894985317434606,0.0,0.0,0.0014894985317434606,0.00492408001341782
2016-01-22,0.0,0.01974612400250116,0.0,0.01974612400250116,0.0,0.0,0.013822286801750794,0.0,0.0,0.0010711280727496303,0.0,0.0,0.01724903878481948,0.024641483978313672,0.0,0.0,0.024641483978313672,0.030290439960109827
2016-01-25,0.0,-0.013972732544856592,0.0,-0.013972732544856592,0.0,0.0,-0.00978091278139955,0.0,0.0,0.00026084052200994745,0.0,0.0,-0.012725186918364773,-0.01817883845480686,0.0,0.0,-0.01817883845480686,-0.01701902187953741
2016-01-26,0.0,0.013984159922909653,0.0,0.013984159922909653,0.0,0.0,0.009788911946036705,0.0,0.0,0.0018622709176550067,0.0,0.0,0.011354663396926201,0.016220947709894518,0.0,0.0,0.016220947709894518,0.019329368530251134
2016-01-27,0.0,-0.009823947331749627,-0.0004999999999998709,-0.009823947331749627,0.0,0.0,-0.006876763132224757,0.0,0.0,0.0003052586034800464,0.0,0.0,-0.010383101130538669,-0.014833001615055186,0.0,0.0,-0.014833001615055186,-0.005593577274261241
2016-01-28,0.0,0.005880320682841685,0.01603644013748695,0.005880320682841685,0.0,0.0,0.004116224477989243,0.0,0.0,0.0016695683609205536,0.0,0.0,0.0034478055530517415,0.004925436504359726,0.0,0.0,0.004925436504359726,0.008365488143471822
2016-01-29,0.0,0.023514864373675004,0.02158767760420366,0.023514864373675004,0.0,0.0,0.016460405061572425,0.0,0.0,0.0038364436004369173,0.0,0.0,0.019347837690294023,0.027639768128991382,0.0,0.0,0.027639768128991382,0.02525030928224581
2016-02-01,0.0,0.0024181641838452728,-0.004222956962388058,0.0024181641838452728,0.0,0.0,0.0015427149286917352,0.0,0.0,-0.002156205201711725,0.0,0.0,-0.000796666220187453,-0.0009238088859821192,0.0,0.0,-0.0009238088859821192,-0.003712704726951843
2016-02-02,0.0,-0.015938804501502517,-0.015201884495664694,-0.015938804501502517,0.0,0.0,-0.015938804501502608,0.0,0.0,0.003277166568096526,0.0,0.0,-0.020644340820394347,-0.020644340820394347,0.0,0.0,-0.020644340820394347,-0.029237043969312704
2016-02-03,0.0,0.0028240390349651237,0.008627172504066158,0.0028240390349651237,0.0,0.0,0.002824039034965161,0.0,0.0,-0.0004325561264886396,0.0,0.0,0.0023874356436234534,0.0023874356436234534,0.0,0.0,0.0023874356436234534,0.01974480494046804
2016-02-04,0.0,-0.00038696173894444313,0.0,-0.0006583560759226836,0.0,0.0,-0.00038696173894448016,0.0,0.0,0.0006132301497716042,0.0,0.0,0.003182293904829908,0.003182293904829908,0.0,0.0,0.0028741883692134096,0.008359811774468318
2016-02-05,0.0,-0.017141844238160748,0.0,-0.007628042407605913,0.0,0.0,-0.017141844238160713,0.0,0.0,-0.0009912486091697703,0.0,0.0,-0.025617463049507655,-0.025617463049507683,0.0,0.0,-0.009664917620317487,-0.014304361774300944
2016-02-08,0.0,-0.013367656199625266,0.0,-0.0058781009510153375,0.0,0.0,-0.013367656199625322,0.0,0.0,0.0032247346220271172,0.0,0.0,-0.015627808065124094,-0.01562780806512415,0.0,0.0,-0.005963808154857697,-0.01956758221252275
2016-02-09,0.0,0.0005854956625045982,0.0,0.00022141069572880387,0.0,0.0,0.0005854956625045982,0.0,0.0,-0.0009438708887566372,0.0,0.0,-0.0030543662502895974,-0.003054366250289542,0.0,0.0,-0.0010837515818034882,-0.013619698203890418
2016-02-10,0.0,0.0015729961897790374,0.0,0.0006306868357111953,0.0,0.0,0.001572996189778982,0.0,0.0,0.001747012894361577,0.0,0.0,0.0014584435522156658,0.0014584435522155825,0.0,0.0,0.0005053002150369468,0.003077383788914867
2016-02-11,0.0,-0.012076666006376099,0.0,-0.005558363812978269,0.0,0.0,-0.012076666006376099,0.0,0.0,0.0017671273219413558,0.0,0.0,-0.009814278695872453,-0.00981427869587237,0.0,0.0,-0.003944181145004638,-0.017842033973852978
2016-02-12,0.0,0.016763301583667234,0.0,0.007619816374556813,0.0,0.0,0.016763301583667196,0.0,0.0,-0.0030092298124375777,0.0,0.0,0.018341973918080234,0.018341973918080234,0.0,0.0,0.0071613969799445565,0.017405956610888174
2016-02-16,0.0,0.0166572094453273,0.0,0.0074622820667176555,0.0,0.0,0.016657209445327337,0.0,0.0,-0.0027097443576892116,0.0,0.0,0.02114323071987917,0.02114323071987928,0.0,0.0,0.008096732070850987,0.018722593623242467
2016-02-17,-8.333333333332416e-05,0.014999015891556463,0.0,0.006870858399862271,0.0,0.0,0.014999015891556463,0.0,0.0,-0.00017913574575698088,0.0,0.0,0.017571627445779336,0.017571627445779336,0.0,0.0,0.006945689294402757,0.021395361956086933
2016-02-18,0.0006763819713460443,-0.0019866674069861276,0.0,-0.0007170976719707752,0.0,0.0,-0.001986667406986183,0.0,0.0,0.003995375202254237,0.0,0.0,-0.005673766652666695,-0.005673766652666723,0.0,0.0,-0.0021710835083758595,-0.006109505373662505
2016-02-19,-0.00018372221201547653,0.0006658051376470242,0.0,0.00029541754529512537,0.0,0.0,0.0006658051376471352,0.0,0.0,0.0003341875932850874,-0.0001666666666666483,0.0,0.001986907704810331,0.001986907704810359,0.0,0.0,0.0007310377974187598,-0.0027812381527450025
2016-02-22,0.001589249586168869,0.013572584167184357,0.0,0.006257924468010397,-0.00024999999999997247,0.0,0.01357258416718432,0.0,0.0,0.001583957081548723,0.00355871886120999,0.0,0.013698295238948166,0.013698295238948222,0.0,0.0,0.0054581261095932865,0.019294323846938743
2016-02-23,-0.005562687482233135,-0.008109680668590654,0.0,-0.0038609104726375354,-0.005354913570850911,0.0,-0.008109680668590635,0.0,0.0,0.0011777090754366837,-0.00518388106416275,0.0,-0.011810187156747809,-0.011810187156747698,0.0,0.0,-0.0047487617358696055,-0.018402955161480272
2016-02-24,0.0029019951303001315,0.004689328564799866,0.0,0.002225870131777774,0.002699466654467242,0.0,0.00468932856479994,0.0,0.0,0.000588659810505543,0.003378042722305056,0.0,0.007527599964861187,0.007527599964861242,0.0,0.0,0.002899524823932853,-0.0028653376764002925
2016-02-25,0.007076225203455151,0.011613969238200387,-0.000500000000000019,0.005805225416868491,0.005883017077798869,0.0,0.011613969238200387,0.0,0.0,0.002922378844257889,0.0021638634798858045,0.0,0.010632269200177291,0.010632269200177291,0.0,0.0,0.004396415543903687,0.00901557139692799
2016-02-26,-0.0028245349004862494,-0.0033816823057712573,-0.0010140835980090301,-0.0022454138599738993,0.0004816623217144822,0.0,-0.00338168230577122,0.0,0.0,-0.0015253787547025721,-0.003420306850386005,0.0,0.001842021288831902,0.001842021288831902,0.0,0.0,0.0007241970046284185,-0.006932454344181327
2016-02-29,-0.005260480503909333,-0.00683104963557087,0.003887654824759353,-0.0034525108069900314,-0.004605485017075667,0.0,-0.006831049635570889,0.0,0.0,0.002945898389716234,-0.0007898894154818592,0.0,-0.006842272366222507,-0.006842272366222563,0.0,0.0,-0.0029848594932271877,0.0013835392055039364
2016-03-01,0.01598338455381776,0.019882691229083743,0.01749839923424068,0.010145917871414093,0.017135534491243942,0.0,0.019882691229083704,0.0,0.0,-0.0024031280384781695,0.00824584323040393,0.0,0.025291187441065344,0.0252911874410654,0.0,0.0,0.011257730104103414,0.031418313535432896
2016-03-02,0.003493280687549135,0.0034932806875491162,0.017746211656266553,0.002094504191859766,0.005925913621145806,0.0,0.0034932806875491162,0.0,0.0,-0.00046381848075127685,0.005037122088611253,0.0,0.005925913621145806,0.005925913621145806,0.0,0.0,0.0026301954382661474,0.009697618212093584
2016-03-03,0.004230943625722609,0.004230943625722627,0.012009226000496032,0.0025377221131412755,0.005809797402459044,0.0,0.004230943625722665,0.0,0.0,0.0020502144914799625,0.012509226000496051,0.0,0.0058097974024590715,0.0058097974024590715,0.0,0.0,0.002772866151322384,0.013193541401438358
2016-03-04,0.0033788404253113358,0.0033788404253113544,0.0,0.002155744586866848,0.004019868763941448,0.0,0.0033788404253113726,0.0,0.0,-0.0013240855032511795,-0.00011693938985990471,0.0,0.004019868763941559,0.004019868763941448,0.0,0.0,0.001870123679999225,0.011574211345167562
2016-03-07,0.000518242109545782,0.000518242109545819,0.0,0.0005648304689251186,0.0025349792507060875,0.0,0.0005182421095457449,0.0,0.0,-0.0005365764119803773,0.011946353554856773,0.0,0.002534979250706143,0.002534979250706171,0.0,0.0,0.0013933446384263304,-0.000549410080472601
2016-03-08,-0.008615281118147041,-0.008615281118147022,0.0,-0.004785726134395429,-0.015663757717287924,0.0,-0.008615281118147003,0.0,0.0,0.002758595619560336,-0.027873993357166154,0.0,-0.015663757717287896,-0.01566375771728787,0.0,0.0,-0.007726323370081528,-0.011237625813180663
2016-03-09,0.004720431222343706,0.004720431222343706,0.0,0.0028769652706510294,0.005249791578480489,0.0,0.004720431222343706,0.0,0.0,-0.0015231300204926884,0.0075490320394582255,0.0,0.005249791578480489,0.005249791578480378,0.0,0.0,0.0024954111461233386,0.008022451802935038
2016-03-10,0.00040886706448082605,0.00040886706448088156,0.0,0.00037856132011288013,-0.003016091024607148,0.0,0.000408867064480752,0.0,0.0,-0.0004417400707664304,-0.005444415451033469,0.0,-0.003016091024607148,-0.0030160910246070927,0.0,0.0,-0.0015252116682046568,0.0022431634723629745
2016-03-11,0.01492962812770989,0.014929628127709815,0.0,0.009628057853325064,0.018638188069962258,0.0,0.014929628127709926,0.0,0.0,0.00045201202033186283,0.02243146202903956,0.0,0.018638188069962258,0.018638188069962203,0.0,0.0,0.010244457659843997,0.026095231870297386
2016-03-14,-0.0007356086540710738,-0.0007356086540710552,0.0,-0.00048342789731522134,-0.0014466536496231808,0.0,-0.0007356086540710183,0.0,0.0,0.0002865597128569042,0.0006154004534684917,0.0,-0.001446653649623042,-0.0014466536496231253,0.0,0.0,-0.0008422803651781663,-0.004819058413034649
2016-03-15,-0.002205425151403447,-0.002205425151403521,0.0,-0.0013100973831402334,-0.006064488241613403,0.0,-0.002205425151403447,0.0,0.0,-0.001304809463896564,-0.00740707600670909,0.0,-0.006064488241613375,-0.006064488241613347,0.0,0.0,-0.0032013028245394815,-0.014479067701501314
2016-03-16,0.006718641440169759,0.0067186414401697965,0.0,0.0047576243515282295,0.008124309063375634,0.0,0.006718641440169722,0.0,0.0,0.004418256558069933,0.024274805028885682,0.0,0.008124309063375579,0.008124309063375523,0.0,0.0,0.004483132296842163,0.015615055274395884
2016-03-17,0.006028423678828054,0.006028423678827981,0.0,0.004616388782555676,0.007841221562975426,0.0,0.0060284236788280725,0.0,0.0,0.002295168477233392,0.017216939268265136,0.0,0.007841221562975481,0.007841221562975453,0.0,0.0,0.0043790523214072286,0.015001188667815635
2016-03-18,0.0032820252336354105,0.0032820252336353737,0.0,0.0021604998414797016,0.0035132861012822925,0.0,0.003282025233635466,0.0,0.0,0.0017478587669063073,-0.0028607782602536602,0.0,0.003513286101282237,0.003513286101282348,0.0,0.0,0.0019467061836148658,0.0012878031614951269
