date,IBS_v2
2016-03-31,0.03265983595972255
2016-04-30,0.022597538854173926
2016-05-31,0.0032029956381005587
2016-06-30,0.02210207410083531
2016-07-31,0.00431668574956845
2016-08-31,-0.0053852291098333005
2016-09-30,0.0231863229295719
2016-10-31,0.002754943793887854
2016-11-30,0.0025283319615978517
2016-12-31,0.005545638713750245
2017-01-31,0.009653289810135135
2017-02-28,0.004218153641907696
2017-03-31,0.004102803528493126
2017-04-30,0.005435297256962013
2017-05-31,0.01832397558459098
2017-06-30,0.008759910217263522
2017-07-31,0.01057052606444997
2017-08-31,0.012559777394941296
2017-09-30,0.0037502949749359527
2017-10-31,0.0029152139318038284
2017-11-30,0.0054640261774232535
2017-12-31,0.010501086355022338
2018-01-31,0.009265090624228867
2018-02-28,-0.003809539665439843
2018-03-31,-0.00807762276454349
2018-04-30,0.0016988067018313124
2018-05-31,0.004213540446087238
2018-06-30,0.0010969218863983166
2018-07-31,0.00842050354815016
2018-08-31,-0.0010963517755135932
2018-09-30,0.00952315932506509
2018-10-31,-0.0027692268275945064
2018-11-30,0.010193594138294237
2018-12-31,0.01342014875233577
2019-01-31,0.022204590265470392
2019-02-28,0.004219033621593704
2019-03-31,0.0070202465394004765
2019-04-30,0.0018969957058314613
2019-05-31,0.0032116271021220832
2019-06-30,0.009406685410430882
2019-07-31,0.00892123802453737
2019-08-31,0.006240289802046606
2019-09-30,0.006108017714401726
2019-10-31,0.027188547317829492
2019-11-30,0.004126808098372958
2019-12-31,0.01574979603393145
2020-01-31,0.00818100391569021
2020-02-29,-0.003403757969860033
2020-03-31,0.06418571355531033
2020-04-30,0.06574785060081068
2020-05-31,0.01696284439599749
2020-06-30,0.01522421224449455
2020-07-31,0.02209903358344434
2020-08-31,0.009461227940483763
2020-09-30,0.015354064156953395
2020-10-31,0.012691352059699623
2020-11-30,0.046764412652459786
2020-12-31,0.01775566149846397
2021-01-31,0.004184407005735524
2021-02-28,0.0036688858348015163
2021-03-31,0.023861961399373355
2021-04-30,0.017524709836796104
2021-05-31,0.03918777870406376
2021-06-30,0.005711619836639814
2021-07-31,0.0011518511038286494
2021-08-31,0.01698967072786961
2021-09-30,-0.012475706789069063
2021-10-31,0.024040014022052025
2021-11-30,-0.005147259958887096
2021-12-31,0.024305272071789785
2022-01-31,-0.0007615374888532145
2022-02-28,0.02935792840838225
2022-03-31,0.03815904678577864
2022-04-30,0.013928211743272634
2022-05-31,0.047866888511788774
2022-06-30,-0.024008422295816567
2022-07-31,0.011247880706936497
2022-08-31,0.009183408228653711
2022-09-30,-0.01076209703704989
2022-10-31,0.04716516571718987
2022-11-30,0.039012145028526124
2022-12-31,-0.0031723639827736516
2023-01-31,0.03812065686059318
2023-02-28,-0.008546948315989678
2023-03-31,0.007838794545866667
2023-04-30,0.011868059736436676
2023-05-31,0.008562713818699441
2023-06-30,0.017817948607658396
2023-07-31,0.016930105033143183
2023-08-31,-0.005956773487990286
2023-09-30,-0.018312193723654557
2023-10-31,-0.010921038524319138
2023-11-30,0.00927728263050498
2023-12-31,0.008561925451561425
2024-01-31,-0.002526818130616948
2024-02-29,0.014378942934802907
2024-03-31,0.02575611460658811
2024-04-30,-0.006673504218690618
2024-05-31,0.015740367536156263
2024-06-30,0.0039971190297443115
2024-07-31,0.012116558068277605
2024-08-31,-0.004817789383992133
2024-09-30,-0.006326332021742931
2024-10-31,-0.005877093078845541
2024-11-30,0.009845282567667146
2024-12-31,-0.01397792082686844
2025-01-31,0.022599240215636085
2025-02-28,0.012121422555938288
2025-03-31,0.027945848464659973
2025-04-30,0.08117958932770208
2025-05-31,0.020992460558042714
2025-06-30,0.006634794379208442
2025-07-31,0.001632341381423652
