entry_time,exit_time,position,entry_price,exit_price,exit_reason,risk,shares,gross_pnl,fees,net_pnl,equity_before,equity
2018-08-02,2018-08-07,vixshort,100,100.90205929221558,rebalance,0.9021,1,857.51,1.27,857.51,95061.25,95918.76
2018-08-07,2018-08-10,vixshort,100,99.45052676360054,rebalance,0.5495,1,-527.05,0.98,-527.05,95918.76,95391.71
2018-08-10,2018-08-13,vixshort,100,99.21164675738576,rebalance,0.7884,1,-752.02,1.3,-752.02,95391.71,94639.68
2018-08-13,2018-08-14,vixshort,100,100.75752787716768,rebalance,0.7575,1,716.92,1.09,716.92,94639.68,95356.61
2018-08-14,2018-08-15,vixshort,100,99.14167961637237,rebalance,0.8583,1,-818.47,1.01,-818.47,95356.61,94538.14
2018-08-15,2018-08-17,vixshort,100,101.26446819132191,rebalance,1.2645,1,1195.4,0.98,1195.4,94538.14,95733.55
2018-08-17,2018-09-06,vixshort,100,99.55972090018138,rebalance,0.4403,1,-421.49,1.47,-421.49,95733.55,95312.05
2018-09-06,2018-09-12,vixshort,100,100.75865282012883,rebalance,0.7587,1,723.09,1.14,723.09,95312.05,96035.14
2018-09-12,2018-09-19,vixshort,100,100.76076915364605,rebalance,0.7608,1,730.61,1.03,730.61,96035.14,96765.74
2018-09-19,2018-10-04,vixshort,100,99.62956939527615,rebalance,0.3704,1,-358.45,0.99,-358.45,96765.74,96407.29
2018-10-04,2018-10-09,vixshort,100,99.32244181336917,rebalance,0.6776,1,-653.22,1.35,-653.22,96407.29,95754.08
2018-10-09,2018-10-10,vixshort,100,97.34206304459325,rebalance,2.6579,1,-2545.08,1.11,-2545.08,95754.08,93209.0
2018-10-10,2018-10-16,cash,100,99.99559500000001,rebalance,0.0044,1,-4.11,6.37,-4.11,93209.0,93204.89
2018-10-16,2018-10-18,vixshort,100,99.29470056374889,rebalance,0.7053,1,-657.37,4.11,-657.37,93204.89,92547.52
2018-10-18,2018-10-22,vixlong,100,99.82893813932026,rebalance,0.1711,1,-158.31,13.07,-158.31,92547.52,92389.2
2018-10-22,2018-10-23,vixshort,100,99.62151121747033,rebalance,0.3785,1,-349.68,13.75,-349.68,92389.2,92039.52
2018-10-23,2018-10-24,vixlong,100,101.71492979156696,rebalance,1.7149,1,1578.41,13.9,1578.41,92039.52,93617.93
2018-10-24,2018-10-25,cash,100,99.98789000000001,rebalance,0.0121,1,-11.34,10.33,-11.34,93617.93,93606.6
2018-10-25,2018-10-29,vixlong,100,101.572623646598,rebalance,1.5726,1,1472.08,11.34,1472.08,93606.6,95078.68
2018-10-29,2018-10-31,cash,100,99.98938500000001,rebalance,0.0106,1,-10.09,12.08,-10.09,95078.68,95068.58
2018-10-31,2018-11-01,vixlong,100,99.30094076716944,rebalance,0.6991,1,-664.59,10.09,-664.59,95068.58,94404.0
2018-11-01,2018-11-06,vixshort,100,100.3287987463648,rebalance,0.3288,1,310.4,14.33,310.4,94404.0,94714.4
2018-11-06,2018-11-07,vixlong,100,98.56742799889466,rebalance,1.4326,1,-1356.85,14.16,-1356.85,94714.4,93357.54
