date,spy_ret
2016-01-19,100131.36494432627
2016-01-20,98848.99286876015
2016-01-21,99399.47454022268
2016-01-22,101438.75891404979
2016-01-25,99906.1678969098
2016-01-26,101269.86112848739
2016-01-27,100168.89778556235
2016-01-28,100688.10208932817
2016-01-29,103146.50319029148
2016-02-01,103108.97034905542
2016-02-02,101251.09470786937
2016-02-03,101857.87564118602
2016-02-04,102014.26247966969
2016-02-05,100075.06568247214
2016-02-08,98723.8833979732
2016-02-09,98730.13887151258
2016-02-10,98648.81771550105
2016-02-11,97360.19016639558
2016-02-12,99368.19717252595
2016-02-16,101044.66408107094
2016-02-17,102696.1090954585
2016-02-18,102276.99236832226
2016-02-19,102226.94858000749
2016-02-22,103709.49580883271
2016-02-23,102402.10183910918
2016-02-24,102865.00688102085
2016-02-25,104116.10158889025
2016-02-26,103872.13812085571
2016-02-29,102946.32803703236
2016-03-01,105479.79482046787
2016-03-02,105955.21080945822
2016-03-03,106368.0720630551
2016-03-04,106718.37858125853
2016-03-07,106799.69973727004
2016-03-08,105636.18165895152
2016-03-09,106161.64143625666
2016-03-10,106242.96259226816
2016-03-11,107956.96234204923
2016-03-14,107819.34192418361
2016-03-15,107644.18866508189
2016-03-16,108269.73601901658
2016-03-17,108951.58263480538
2016-03-18,108820.2176904791
2016-03-21,108976.60452896277
2016-03-22,108914.04979356928
2016-03-23,108194.6703365444
2016-03-24,108150.88202176896
2016-03-28,108213.43675716245
2016-03-29,109214.31252345795
2016-03-30,109695.98398598765
2016-03-31,109426.99862379572
2016-04-01,110171.399974978
2016-04-04,109814.83798323524
2016-04-05,108720.13011384953
2016-04-06,109908.67008632544
2016-04-07,108588.76516952325
2016-04-08,108882.77242587254
2016-04-11,108626.29801075932
2016-04-12,109639.6847241335
2016-04-13,110746.90354059788
2016-04-14,110753.15901413724
2016-04-15,110628.04954335031
2016-04-18,111409.98373576866
2016-04-19,111760.2902539721
2016-04-20,111866.63330414101
2016-04-21,111266.10784436371
2016-04-22,111266.10784436371
2016-04-25,111072.18816464394
2016-04-26,111234.83047666696
2016-04-27,111466.2829976228
2016-04-28,110452.89628424859
2016-04-29,109858.62629801064
2016-05-02,110734.39259351921
2016-05-03,109771.04966845976
2016-05-04,109158.01326160377
2016-05-05,109132.99136744639
2016-05-06,109533.34167396458
2016-05-09,109627.17377705478
2016-05-10,110990.86700863241
2016-05-11,109952.45840110081
2016-05-12,109983.73576879755
2016-05-13,109020.39284373813
2016-05-16,110096.33429250578
2016-05-17,109070.4366320529
2016-05-18,109101.71399974961
2016-05-19,108726.38558738881
2016-05-20,109414.48767671695
2016-05-23,109264.35631177263
2016-05-24,110678.09333166503
2016-05-25,111428.75015638665
2016-05-26,111460.02752408339
2016-05-27,111941.69898661308
2016-05-31,111729.0128862753
2016-06-01,111954.20993369179
2016-06-02,112298.26097835587
2016-06-03,111960.46540723112
2016-06-06,112529.7134993117
2016-06-07,112704.86675841342
2016-06-08,113073.93969723489
2016-06-09,112917.55285875122
2016-06-10,111847.8668835229
2016-06-13,110984.61153509302
2016-06-14,110771.92543475525
2016-06-15,110615.53859627158
2016-06-16,110947.07869385697
2016-06-17,110534.21744026004
2016-06-20,111241.08595020625
2016-06-21,111560.11510071294
2016-06-22,111378.70636807187
2016-06-23,112829.97622920034
2016-06-24,108776.42937570353
2016-06-27,106830.97710496665
2016-06-28,108757.66295508551
2016-06-29,110609.28312273217
2016-06-30,112116.85224571479
2016-07-01,112354.56024021
2016-07-05,111541.34868009489
2016-07-06,112210.684348805
2016-07-07,112141.8741398722
2016-07-08,113812.08557487783
2016-07-11,114212.43588139603
2016-07-12,115044.41386212913
2016-07-13,115025.64744151109
2016-07-14,115669.9612160638
2016-07-15,115513.57437758014
2016-07-18,115826.34805454747
2016-07-19,115707.4940572999
2016-07-20,116189.16551982964
2016-07-21,115745.02689853599
2016-07-22,116270.48667584112
2016-07-25,115951.45752533442
2016-07-26,116007.75678718853
2016-07-27,115882.64731640159
2016-07-28,116020.26773426724
2016-07-29,116207.93194044766
2016-08-01,116107.84436381812
2016-08-02,115363.44301263582
2016-08-03,115701.23858376055
2016-08-04,115826.34805454747
2016-08-05,116770.92455898886
2016-08-08,116702.11435005606
2016-08-09,116770.92455898887
2016-08-10,116483.17277617892
2016-08-11,117027.3989741021
2016-08-12,116921.0559239332
2016-08-15,117258.85149505793
2016-08-16,116652.07056174128
2016-08-17,116877.26760915777
2016-08-18,117133.742024271
2016-08-19,116964.84423870863
2016-08-22,116958.58876516929
2016-08-23,117196.29675966447
2016-08-24,116595.77129988716
2016-08-25,116514.45014387567
