,congress_s2,gtaa,vol_overlay,quality_profit,turn_of_month__real_assets,bond_duration_carry__bonds_us,donchian,xs_momentum,bollinger_band
2016-05-03,0.0,-0.007764742691548032,-0.004738000000000131,0.0,-0.0125726679153926,0.0021781900980646,-0.00853412523949404,0.0,-0.003095501846390847
2016-05-04,0.0,0.004632250519845282,-0.0001460000000000905,0.0,0.0044050494956541,0.0003652698519991,-0.004685907162132574,0.0,-0.0021263278814768194
2016-05-05,0.0,0.0008613909730077474,0.0031120000000002257,0.0,0.0,0.0019288911113123,-0.001422204690203821,0.0,-0.00010146946599642881
2016-05-06,0.0,0.0015546323827464459,0.0006779999999997344,0.0,0.0,-0.0014918619283052,0.003222731609787699,0.0,0.001758982560292388
2016-05-09,0.0,-0.011000606715612093,0.01055399999999973,0.0,0.0,0.0003984438801833,0.001245271494911604,0.0,0.0009454813703007048
2016-05-10,0.0,-0.020406100154937934,-0.00793799999999989,0.0,0.0,0.0016269757058797,0.007608533959233332,0.0,0.004554264919883755
2016-05-11,0.0,-0.009519469652333523,0.00024099999999971367,0.0,0.0,0.0009902276727716,-0.007364021492305861,0.0,-0.0030224117494519476
2016-05-12,0.0,-0.005629217526446295,-0.007382999999999806,0.0,0.0,-0.0011818608594039,-0.0017186832749490621,0.0,-0.0014821030476191988
2016-05-13,0.0,0.021524988242903387,0.008371999999999602,0.0,0.0,0.0016604616535127,-0.005156570594263332,0.0,-0.0012144296761580353
2016-05-16,0.0,-0.007303650252438509,-0.007952999999999877,0.0,0.0,-0.0014334220545938,0.007585054346606945,0.0,0.004120571380035631
2016-05-17,0.0,0.0070700562335455075,0.00024299999999999322,0.0,0.0,-0.0002032826786362,-0.008545063760925231,0.0,-0.00417093509474864
2016-05-18,0.0,0.00343765060096346,-0.002918999999999894,0.0,0.0,-0.0055648928913957,9.602355472138058e-05,0.0,0.001182210992383581
2016-05-19,0.0,0.0018590709971575414,0.005368999999999735,0.0,0.0,0.0007166518172885,-0.0011521720210025954,0.0,-0.0017206161718354984
2016-05-20,0.0,0.0021002764484165937,-0.0011639999999998318,0.0,0.0,0.0008585313125796,0.002114751929842784,0.0,0.0036499379178596136
2016-05-23,0.0,-0.0048012080646283595,0.011025999999999758,0.0,0.0,0.0005162338195881,-0.00046042673273472,0.0,-0.00043774663097484456
2016-05-24,0.0,0.002781569404607387,0.005754000000000037,0.0,0.0,-0.0005341343034942,0.004356875535752591,0.0,0.006670137748251426
2016-05-25,0.0,-0.0009759391383089566,0.00023799999999996047,0.0,0.0,0.0002627424621963,0.002293202916132886,0.0,0.0024094333831667925
2016-05-26,0.0,0.00865659306070965,0.003666000000000169,0.0,-0.0005,0.0016168592652007,0.000730874887119759,0.0,0.001001517486653336
2016-05-27,0.0,0.0007642557638949388,-0.0016120000000000578,0.0,0.0007083779115201,-0.0004142698882431,0.003149992914601496,0.0,0.0017675773001790684
2016-05-31,0.0,0.0,0.0017570000000000086,0.003449999999999953,-0.0004774605983696,0.0002975572346136,0.00048482972422903003,0.025249999999999995,0.0006325417204700035
2016-06-01,0.0,-0.000150655590481108,0.0025599999999996736,0.0,0.0098096382770722,0.0006781897247079,0.0029818020541303447,0.0,3.3270624440584484e-05
2016-06-02,0.0,-0.0012166650388765188,-0.0025519999999996656,0.0,0.0037683320124817,0.0021739728892476,0.004288122186858256,0.0,0.0006986598683984546
2016-06-03,0.0,-0.0024288258238825966,0.004360999999999837,0.0,0.0052858469265274,0.0056841018719425,-0.0045600050781322565,0.0,-0.0015958219053310296
2016-06-06,0.0,0.004939752902551664,0.0013199999999997658,0.0,0.0,-0.0011221230664845,0.006535643591867979,0.0,0.0012320788971860175
2016-06-07,0.0,0.0028866451662377113,0.002777999999999947,0.0,0.0,0.00171336779607,0.0006941733236063286,0.0,-0.0008647197680173857
2016-06-08,0.0,0.0016278977863224409,-0.0011729999999999796,0.0,0.0,0.0019589291623417,0.004160373909034343,0.0,0.0005991702614585037
2016-06-09,0.0,0.0021887900920138925,-0.008083999999999758,0.0,0.0,0.0008958763057956,-0.0031495625954145456,0.0,-0.000565544167464016
2016-06-10,0.0,-0.0002804136308253158,-0.006547999999999776,0.0,0.0,0.0007674189782593,-0.011470473354378674,0.0,-0.0038611909343554407
2016-06-13,0.0,0.001099565286306392,-0.0016740000000000643,0.0,0.0,-0.0001765928257622,-0.00911769967613918,0.0,-0.002806872685901962
2016-06-14,0.0,0.001010516569169173,-0.0011499999999997623,0.0,0.0,-0.0012694657308901,-0.0014721143768494649,0.0,0.0
2016-06-15,0.0,0.0024020106411757336,0.002542999999999962,0.0,0.0,0.0025677976065393,-0.0011546891900307,0.0,-0.00097176700592283
2016-06-16,0.0,0.0009684646224994431,-0.0031570000000000764,0.0,0.0,0.0005692977696814,0.0019462782079093799,0.0,0.0010062540575161982
2016-06-17,0.0,0.0018299297111852297,0.005473000000000061,0.0,0.0,-0.0020873019975402,-0.006475246398367496,0.0,-0.0039539539440305305
2016-06-20,0.0,0.0008511426231663233,0.0023850000000000815,0.0,0.0,-0.0017318005425662,0.007893350004640087,0.0,0.00211938927669042
2016-06-21,0.0,0.004358396326844982,-0.0013800000000001589,0.0,0.0,-0.001127379519495,0.0013138492867614815,0.0,0.001040668506856246
2016-06-22,0.0,-0.004449585820555546,0.011053999999999675,0.0,0.0,0.0011722617734183,-0.0026527110213580007,0.0,-0.0008048412710537356
2016-06-23,0.0,0.005400935474684898,-0.03047999999999984,0.0,0.0,-0.0015767524054583,0.015469288137120119,0.0,0.004799375308686349
2016-06-24,0.0,0.006108119543218216,-0.015221000000000262,0.0,0.0,0.0051216626951094,-0.038263643655109925,0.0,-0.013961934645607132
2016-06-27,0.0,-0.0061439886571741376,0.015300000000000313,0.0,0.0,0.0043867392764776,-0.017367432604452282,0.0,-0.006503945101315578
2016-06-28,0.0,-0.0026945470740850075,0.014492999999999867,0.0,-0.0004999999999998,0.0033915154802,0.005151550049695475,0.0,0.007092066940460828
2016-06-29,0.0,0.000511638745957832,0.01156299999999999,0.0,0.0126837217718955,6.926541514812312e-05,0.007618462641730606,0.0,0.011569060171373158
2016-06-30,0.0,0.0026504479851969798,0.001799000000000106,0.007199999999999873,0.0063173641566654,0.0022954324118075,0.006357996336615823,0.02089999999999992,0.008397391782232644
2016-07-01,0.0,-0.0082401897149319,-0.006093000000000126,0.0,0.0017111068321268,0.0043290042880373,0.0012294151028375833,0.0,0.0023759644622647347
2016-07-05,0.0,0.00958327768556555,0.005090999999999957,0.0,-0.0028520899591792,0.0027249275091377,-0.005082164419274782,0.0,-0.004446186023501553
2016-07-06,0.0,-0.0020001930707767013,-0.0005679999999997909,0.0,-0.0037255534297948,0.0008158681033879,0.0024683555834692505,0.0,0.004748848310803355
2016-07-07,0.0,0.0,0.012683,0.0,0.0,0.0,0.0009917507830923267,0.0,0.0007674284409215915
2016-07-08,0.0,0.002402679294785104,0.003031000000000006,0.0,0.0,0.0,0.00775532340235463,0.0,0.010195565715717336
2016-07-11,0.0,0.0008743978233400895,0.006132999999999722,0.0,0.0,0.0,0.005105953820728537,0.0,0.0031408315463408165
2016-07-12,-0.0012364189916592716,0.002836397706271976,-9.199999999998099e-05,0.0,0.0,-0.0004999999999999,0.00871294838263248,0.0,0.004144791111991841
2016-07-13,0.0,-0.005294796947381886,0.0047520000000000895,0.0,0.0,0.0025911691325904,-0.002145664837961525,0.0,-0.0008495794322147532
2016-07-14,0.0,-0.014809563815799343,-0.001146999999999898,0.0,0.0,-0.0029215143477566,0.004328992723864777,0.0,0.0042133928409859855
2016-07-15,0.0,-0.0007826585823984544,0.002251000000000003,0.0,0.0,-0.0028214182553443,9.24698290960535e-06,0.0,-0.0010108284978872506
2016-07-18,0.0,0.0016712077364133826,-0.0008250000000000757,0.0,0.0,0.0001420484068437,0.0035299315872583392,0.0,0.003140327446058855
2016-07-19,0.0,0.0031523883270503372,0.0034860000000001,0.0,0.0,0.0012934599434802,-0.0032351942626956953,0.0,-0.0015913597144390224
2016-07-20,0.0,-0.010157444448150144,-0.0031970000000001164,0.0,0.0,-0.0009573065204156,0.007284872539032428,0.0,0.0053482411195706625
2016-07-21,0.0,0.0012032878093755084,0.003851000000000271,0.0,0.0,0.0005705103714841,-0.0036289608026629505,0.0,-0.0020536667174874124
2016-07-22,0.06149952726370711,0.0005616958417384854,-0.0023280000000001078,0.0,0.0,0.0005381097533602,0.005414839017645168,0.0,0.002960035321815102
2016-07-25,0.0,0.014733527914758904,0.000412000000000301,0.0,0.0,-0.0013719229525804,-0.0013253577016053564,0.0,-0.0009000511050806237
2016-07-26,0.008432267845156716,-0.0016308312885552345,-0.0009149999999999991,0.0,0.0,9.970421121612004e-05,0.0021359834432439495,0.0,0.0005511514052167765
2016-07-27,0.0,-0.0036526485506154227,0.0009619999999999074,0.0,-0.0004999999999999,0.0041992476808314,0.0027863554459444106,0.0,0.002016346770502553
2016-07-28,0.0,0.00015133583284709928,0.0013719999999999288,0.0,0.0053841025078954,-0.0007701280458345,0.0005331180659360335,0.0,0.0015718515209550699
2016-07-29,0.036681742880780854,0.011681782251555362,-0.0006849999999999357,0.0,0.0081911481953587,0.0020062378715814,0.0019015542857208079,0.0,0.0012843180720842895
2016-08-01,0.0,0.0,-0.00543899999999975,0.0,-0.0055464571671099,0.0,0.001678832404591546,0.0,0.0015529660362365583
2016-08-02,0.0,0.004953724172466645,0.0024839999999999307,0.0,-0.0061537740800005,-0.0004999999999999,-0.00940362396038441,0.0,-0.004784719782948366
2016-08-03,0.01505084114809807,-0.0013791247893425451,0.0009170000000000567,0.0,0.0015472832248455,0.0013904978509931,0.004951278634853562,0.0,0.0021106289822694357
2016-08-04,0.0,0.0013152558160689498,0.006917999999999758,0.0,0.0,0.0034478480775997,0.0014610344677605802,0.0,0.0013585159442028871
2016-08-05,0.0,0.0028705445633321336,-0.0004999999999998339,0.0,0.0,-0.0028223679807634,0.010784450589403471,0.0,0.006045807371022338
2016-08-08,0.0,0.0018586285663102498,0.0004999999999997229,0.0,0.0,0.0009813769759309,-0.0007040443207521063,0.0,-0.0005809241025674927
2016-08-09,0.0,2.5678970947184965e-05,-0.002090999999999954,0.0,0.0,0.0035653491124257,0.0013026085490059902,0.0,0.0010271973589153216
2016-08-10,0.0,0.004741260611973441,0.003964000000000301,0.0,0.0,0.0013344850538626,-0.0041626272587764745,0.0,-0.001722414490724966
2016-08-11,0.0,0.002394184191934823,-0.0007710000000000772,0.0,0.0,-0.002404683268312,0.004584551932338421,0.0,0.0030414932022833074
2016-08-12,-3.3306690738754696e-16,0.008594172955999735,0.002450999999999981,0.0,0.0,0.0025887303881894,0.0002516044896352376,0.0,-5.26501153507164e-05
2016-08-15,0.0,0.007115658304594152,-0.004389999999999783,0.0,0.0,-0.0021278683057491,0.005762039794783513,0.0,0.0024367004165408712
2016-08-16,0.0,0.004564814058507283,0.0016380000000000283,0.0,0.0,-0.0012515119977187,-0.006276884838686825,0.0,-0.003648979844507738
2016-08-17,0.0,-0.00302352992903121,0.001907000000000103,0.0,0.0,0.0019301074903645,8.20654850968161e-05,0.0,0.0012552357186577101
2016-08-18,0.0,0.003630608929616752,-0.0012689999999997426,0.0,0.0,0.0016942194064249,0.003502691257527779,0.0,0.0008535131496310022
2016-08-19,0.0,-4.032984481616708e-05,-4.500000000007276e-05,0.0,0.0,-0.0024214942301032,-0.0005837043957209742,0.0,-0.000600275168391784
2016-08-22,0.0,-0.00987347097286373,0.0017240000000002809,0.0,0.0,0.0020112410284836,0.0010182569986523227,0.0,0.0002678891687051266
2016-08-23,0.0,0.005437117704018446,-0.004347000000000101,0.0,0.0,0.0010615454280438,0.003681120729873699,0.0,0.0012890945309051993
2016-08-24,0.0,-0.0009228239154701612,-0.0005919999999999259,0.0,0.0,-0.00110890470866,-0.00659621882945105,0.0,-0.00398205737315982
2016-08-25,0.0,0.0024392732328408773,-0.0015939999999999843,0.0,0.0,-0.0006916231001095,-3.704320574693387e-05,0.0,-0.0007766045477253236
2016-08-26,0.0,0.0058409763987292695,0.004197999999999702,0.0,0.0,-0.0024869975623249,-0.0009084741746832048,0.0,-0.00015559250379837408
2016-08-29,0.0,0.0009438612233310106,-0.0014079999999998538,0.0,-0.0004999999999999,0.0042631769651572,0.003926114080985865,0.0,0.0021441154151655706
2016-08-30,0.010230835245764514,0.0,-0.002411000000000274,0.0,-0.0030850807609332,-0.0005537045477866,-0.0008392828431315058,0.0,-0.0016734884866025368
2016-08-31,0.0,0.0004043630429655387,4.599999999999049e-05,-0.006700000000000039,-0.0025908110844914,-0.0006798143278959,-0.003332807125008941,-0.011950000000000127,-0.0013097753509968557
2016-09-01,0.0,0.007244335831977589,0.003830999999999918,0.0,0.0025247429840043,0.0006153317014979,0.001114867512115536,0.0,0.0009114565634689153
2016-09-02,0.0,0.0012224117781389765,0.002542999999999962,0.0,0.0058918381091077,-0.0013155129655959,0.00588130812147547,0.0,0.00263662982162427
2016-09-06,0.0,-0.0013735588189109915,-9.099999999961916e-05,0.0,0.0089996124776064,0.0029495405480969,0.0032873755511340086,0.0,0.0031731681058606576
2016-09-07,0.0,-0.0029898313299373536,-0.0019019999999999593,0.0,0.0,-9.2093407882618e-05,0.0023855525439824277,0.0,0.00018583488148848915
2016-09-08,0.0,0.0029585146227983916,-0.020374000000000225,0.0,0.0,-0.0042644401955529,-0.0032903755253849143,0.0,-0.002815503436462863
2016-09-09,0.0,0.0025853416638506044,0.012226999999999988,0.0,0.0,-0.0061693660879475,-0.026887099120934788,0.0,-0.016810609429245837
2016-09-12,0.0,0.0014342172503714057,-0.012237000000000164,0.0,0.0,0.0005189669222281,0.0,0.0,0.011000993449353569
2016-09-13,0.0,-0.007193958847291015,-0.00041899999999983617,0.0,0.0,-0.0041609126245002,0.0,0.0,-0.007949069963543054
2016-09-14,0.0,0.00795510402927313,0.008559999999999901,0.0,0.0,0.0009812912245407,0.0,0.0,0.0014786195051554873
2016-09-15,0.0,-0.0034695014872163643,-0.003269999999999773,0.0,0.0,0.000214330714657,0.0,0.0,0.0087683759694408
2016-09-16,0.0,0.004729196931746671,0.00013899999999966717,0.0,0.0,0.0016464801543785,0.0,0.0,-0.0014777577639846218
2016-09-19,0.0,0.002042825401143089,0.00023100000000009224,0.0,0.0,-0.0007913205134821,0.0,0.0,-0.001446868092882192
2016-09-20,0.0,-0.0012065828923717437,0.009244000000000252,0.0,0.0,0.0008029397190339,0.0,0.0,0.0007306339877681811
2016-09-21,0.0,-0.0016000645986439244,0.005532000000000092,0.0,0.0,0.0037479434446829,0.0,0.0,0.007083866801665728
2016-09-22,0.0,0.004793981881606069,-0.004542999999999853,0.0,0.0,0.0033485381074915,0.0006162414833859042,0.0,0.004943096821329096
2016-09-23,0.0,0.001247052176866159,-0.007170000000000121,0.0,0.0,7.13232376495232e-05,-0.004033366251180781,0.0,-0.0017941530793834648
2016-09-26,0.0,0.0005283147343257966,0.005389000000000088,0.0,0.0,0.0011705621912852,-0.0061484263352051816,0.0,-0.0028218832251100112
2016-09-27,0.0,-0.007877827237698365,0.004210999999999965,0.0,0.0,0.002018837660334,0.00447527325536945,0.0,0.0021088831068174496
2016-09-28,0.0,0.00245458732422299,-0.007331999999999894,0.0,-0.0004999999999999,0.000737479814528,0.0032033892501264205,0.0,0.0016547773264028454
2016-09-29,0.0,0.0027308282932696493,0.0062939999999998,0.0,-0.0117970334991678,-8.143631271909091e-05,-0.00730867538744473,0.0,-0.0028910762338045792
2016-09-30,0.0,0.0010536215333247778,-0.002233999999999736,-0.009449999999999958,0.0028388461667219,-0.0013091125269484,0.0061599830522620636,0.0041999999999999815,0.0024672413307944563
2016-10-03,0.0,-0.0007855443090213354,-0.004434999999999856,0.0,-0.0098409644373993,-0.0023318066397352,-0.0017330009090280596,0.0,-0.0008802721358313059
2016-10-04,0.0,-0.0020779040934605364,0.003999000000000086,0.0,-0.0123841513519339,0.0,-0.002117710871511691,0.0,-0.0017441148298833475
2016-10-05,0.0,0.0018265271527704297,0.0006859999999999644,0.0,-0.0056934286807986,-0.0004999999999999,0.0033547421611346273,0.0,0.001567042278995734
2016-10-06,0.0,-0.006379918832340459,-0.00315399999999999,0.0,0.0,-0.0008047200703364,-0.0005899892164559217,0.0,0.00026975698267817094
2016-10-07,0.0,-0.0014145780255748752,0.004129000000000271,0.0,0.0,0.0007863959598926,-0.003594102478866379,0.0,-0.0012405474739763944
2016-10-10,0.0,0.002003583396828157,-0.010364000000000151,0.0,0.0,-0.0012286587000783,0.0060984414458251646,0.0,0.0016201152306958289
2016-10-11,0.0,0.00686768355446854,0.0009239999999999249,0.0,0.0,-0.0014610222418661,-0.010901783652462305,0.0,-0.004079681083961173
