date,ema_crossover,ibs_mean_reversion,congress_s3_quiver,overnight,intraday_momentum
2016-06-15,-0.00336170906085842,-0.0009728865373316298,0.0021748819252485063,0.0,0.0
2016-06-16,-0.000805298245858177,0.0016288061158251654,-0.0025143925734457673,-0.0029939657810017506,-0.0010749962500489207
2016-06-17,0.003409564705817436,0.0,0.0,0.0,0.0014136984323518398
2016-06-20,-0.004336336502552163,-0.0014662800144048527,0.0,0.007118929243528971,-0.0006619652878860904
2016-06-21,-0.0052765645679774265,0.0003844011560181215,0.0,0.0017369039326984304,0.0
2016-06-22,-0.002395431238491841,-0.0022647308547542044,0.0,0.0,-0.0032173897700776832
2016-06-23,0.004065278835764685,0.013141575011764717,0.0,7.043451074495444e-05,-0.0004877991584641972
2016-06-24,-0.005910251704707492,0.0,0.0003472222222222765,0.0,0.0
2016-06-27,0.025259407201461137,-0.006414777751295397,0.0,-0.0007101325176260831,0.0022871281398919585
2016-06-28,0.004831905018070737,0.01295140374893089,0.0033397013352161053,0.005889200390879257,-0.0017193922761111757
2016-06-29,0.009695624776153267,0.006600131122605157,0.00018939393939398919,0.0,0.006760932059370894
2016-06-30,0.0072046194566162125,0.0,-0.0009316438345982059,0.0,0.006342493351586764
2016-07-01,0.005204353813848428,0.0,8.673971211958786e-05,0.0,-0.0018122382841513351
2016-07-05,-0.003542466040947434,0.0,0.0024086108528069694,0.0,-0.0017225897786281585
2016-07-06,0.002445995964605485,0.0,-0.0007194244604313837,-0.0012610601340258265,0.0009583599382849695
2016-07-07,-0.00031890065917861143,0.0,-0.002037845705967989,0.0,0.0
2016-07-08,0.008164346022400126,0.0,0.0006931740072015913,0.0011564958470298148,0.002698123393800156
2016-07-11,0.0022412808022702624,0.0,0.0074094895377496695,0.0,0.0
2016-07-12,-0.0013972976040422802,0.0,-0.0013945450845900265,0.0,0.0
2016-07-13,-0.0006101281020364224,0.0,-0.0001875781575657598,0.0,0.0
2016-07-14,-0.003812918078683447,5.2800712420308926e-05,0.00299775937824287,0.004587116190003737,0.0
2016-07-15,-0.005182188616035921,-0.0009210202431070291,0.0,0.0006641990189129032,0.0
2016-07-18,0.005961751447377983,0.002323685144155929,0.0,0.0043980179816929255,0.0
2016-07-19,-0.0012823841601329322,-0.0024983316042530568,0.0,0.0,0.0
2016-07-20,0.004487718926495576,0.005143067727594097,0.0,0.0,0.0
2016-07-21,-0.0029467019071008904,-0.0020143798135529023,0.0,0.0,-0.0006964750759804739
2016-07-22,0.0022786993443173476,0.0033216045247494996,-0.0001555789430095489,0.000479109508206621,0.0007628623748900942
2016-07-25,-0.003882331428347041,0.0,0.0,0.0,0.00016704378096510375
2016-07-26,-0.002919914121755518,0.0,0.0,-0.0007105786062597819,-0.005635561098851882
2016-07-27,-0.003594042752486093,0.0,0.0005750798722043982,0.0,-0.00037244113100332044
2016-07-28,0.001028246974260627,0.0,0.0,0.0012116606426821885,0.0
2016-07-29,-0.0025053542588924227,0.0,0.0,0.0,-0.0037079635495940177
2016-08-01,0.0029827601607026466,0.0,0.0,0.0,0.0004356784207115716
2016-08-02,0.001321807552816301,-0.0017225518656825978,0.0,-0.0014388317747637824,0.0016329697153958378
2016-08-03,0.0014909222162111657,0.003659738973533111,0.0,-0.0010359894108032952,-0.000534438542363902
2016-08-04,-0.0001554746440644017,0.0,0.0,0.0,0.0
2016-08-05,0.004163162848627167,0.0,0.0,0.0,0.0012893525168307107
2016-08-08,-0.002371219478495168,0.0,-0.0013144815206586058,0.0,0.0
2016-08-09,-0.0005567809312813088,0.0,-0.0019353419837253583,6.653952839497101e-05,0.00032530601012625837
2016-08-10,-0.00270848644078292,0.0,0.0,0.0,-0.0014369754687025837
2016-08-11,-0.0009815308469250938,0.0,-0.0001546790409899801,0.00033999615824109597,0.0
