top_pct,top_n,freq,mom_window,median_sharpe,min_sharpe,n_positive,stability,us_sectors,us_factor
0.25,3,12ME,6,0.5259,0.4048,2,1.2775,0.4048,0.647
0.25,3,12ME,9,0.5259,0.4048,2,1.223,0.4048,0.647
0.25,3,12ME,12,0.5259,0.4048,2,1.2788,0.4048,0.647
0.1,1,12ME,12,0.2968,0.2454,2,1.6447,0.2454,0.3481
0.1,1,12ME,9,0.2968,0.2454,2,1.4835,0.2454,0.3481
0.1,1,12ME,6,0.2968,0.2454,2,1.6051,0.2454,0.3481
0.1,1,12ME,3,0.2968,0.2454,2,1.8068,0.2454,0.3481
0.15,2,12ME,3,0.2918,0.2356,2,2.0353,0.2356,0.3481
0.15,2,12ME,6,0.2918,0.2356,2,1.8282,0.2356,0.3481
0.15,2,12ME,9,0.2918,0.2356,2,1.5796,0.2356,0.3481
0.15,2,12ME,12,0.2918,0.2356,2,1.7245,0.2356,0.3481
