date,ret
2016-01-04,100000.0
2016-01-05,100000.0
2016-01-06,100000.0
2016-01-07,97589.06040268457
2016-01-08,98668.89942356323
2016-01-11,99893.79290913453
2016-01-12,100002.8203402761
2016-01-13,100674.88081662518
2016-01-14,100610.80219977368
2016-01-15,100610.80219977368
2016-01-19,101174.06114040288
2016-01-20,99618.83387892281
2016-01-21,99618.83387892281
2016-01-22,102044.09967099331
2016-01-25,102044.09967099331
2016-01-26,102665.766084944
2016-01-27,102665.766084944
2016-01-28,103335.80983364368
2016-01-29,103335.80983364368
2016-02-01,103335.80983364368
2016-02-02,103335.80983364368
2016-02-03,103176.68468619192
2016-02-04,103176.68468619192
2016-02-05,103176.68468619192
2016-02-08,102290.5495660151
2016-02-09,99670.64369628788
2016-02-10,99670.64369628788
2016-02-11,96533.13653565002
2016-02-12,96533.13653565002
2016-02-16,96533.13653565002
2016-02-17,98143.08115788976
2016-02-18,98143.08115788976
2016-02-19,98032.74729105015
2016-02-22,98032.74729105015
2016-02-23,98032.74729105015
2016-02-24,97236.19122926195
2016-02-25,97236.19122926195
2016-02-26,97236.19122926195
2016-02-29,98365.56477586087
2016-03-01,101985.64792393288
2016-03-02,101985.64792393288
2016-03-03,101985.64792393288
2016-03-04,101985.64792393288
2016-03-07,101985.64792393288
2016-03-08,101985.64792393288
2016-03-09,103031.7673739448
2016-03-10,103031.7673739448
2016-03-11,103817.49659122262
2016-03-14,103817.49659122262
2016-03-15,103817.49659122262
2016-03-16,103817.49659122262
2016-03-17,103817.49659122262
2016-03-18,103817.49659122262
2016-03-21,103817.49659122262
2016-03-22,103817.49659122262
2016-03-23,103817.49659122262
2016-03-24,103009.90574931828
2016-03-28,103009.90574931828
2016-03-29,102727.5251004446
2016-03-30,102727.5251004446
2016-03-31,102727.5251004446
2016-04-01,102727.5251004446
2016-04-04,102727.5251004446
2016-04-05,100696.07010782731
2016-04-06,100504.67907389448
2016-04-07,100504.67907389448
2016-04-08,101961.31067416978
2016-04-11,103692.83096657394
2016-04-12,103692.83096657394
2016-04-13,103692.83096657394
2016-04-14,103692.83096657394
2016-04-15,103692.83096657394
2016-04-18,103692.83096657394
2016-04-19,103692.83096657394
2016-04-20,103692.83096657394
