entry_time,pct_return_gross
2016-01-05,99977.80085572427
2016-01-06,99935.63990344045
2016-01-07,99916.43753732367
2016-01-08,99918.15358552375
2016-01-11,99932.2972870663
2016-01-12,99888.50116422358
2016-01-13,99917.37886668391
2016-01-14,99879.629580723
2016-01-15,99882.04065884878
2016-01-19,99859.50231429577
2016-01-20,99869.36345282577
2016-01-21,99905.28853966264
2016-01-22,99878.82181113063
2016-01-25,99902.7259711418
2016-01-26,99883.57328923704
2016-01-27,99892.76175882194
2016-01-28,99935.52686054676
2016-01-29,99934.88864129127
2016-02-01,99903.31454598068
2016-02-02,99913.8118302056
2016-02-03,99916.50250655277
2016-02-04,99883.09220344534
2016-02-05,99859.44506524198
2016-02-08,99859.55651379269
2016-02-09,99858.11387260942
2016-02-10,99835.24245826245
2016-02-11,99871.45858525834
2016-02-12,99901.00219658099
2016-02-16,99929.73898261611
2016-02-17,99922.48146619157
2016-02-18,99921.73181134525
2016-02-19,99947.13934407236
2016-02-22,99924.94160603746
2016-02-23,99932.96909950711
2016-02-24,99954.17230722665
2016-02-25,99950.17081419319
2016-02-26,99934.55177567615
2016-02-29,99977.77883221104
2016-03-01,99985.57501128991
2016-03-02,99992.51008079233
2016-03-03,99998.18086465319
2016-03-04,99999.61930831286
2016-03-07,99980.41498252007
2016-03-08,99989.13503107449
2016-03-09,99990.58161078232
2016-03-10,100018.86471978932
2016-03-11,100016.63012319861
2016-03-14,100013.78164465504
2016-03-15,100023.97221016632
2016-03-16,100035.1188892595
2016-03-17,100032.90253695754
2016-03-18,100035.42275486534
2016-03-21,100034.51719025991
2016-03-22,100022.83179113372
2016-03-23,100022.12272820016
2016-03-24,100023.1377352915
2016-03-28,100039.35940834798
2016-03-29,100047.09629443163
2016-03-30,100042.79539447442
2016-03-31,100054.82912605575
2016-04-01,100049.15067215146
2016-04-04,100031.56417923987
2016-04-05,100050.73949372412
2016-04-06,100029.77184292692
2016-04-07,100034.41931835526
2016-04-08,100030.38773555233
2016-04-11,100046.74909987557
2016-04-12,100064.4633701
2016-04-13,100064.56263886645
2016-04-14,100062.5813977706
2016-04-15,100074.98148795919
2016-04-18,100080.49975687746
2016-04-19,100082.1689804812
2016-04-20,100072.74918980224
2016-04-21,100072.74918980224
2016-04-22,100069.69021765937
2016-04-25,100072.25893116047
2016-04-26,100075.90941079667
2016-04-27,100059.95633627755
2016-04-28,100050.51795620378
2016-04-29,100064.40330761814
2016-05-02,100049.13867583973
2016-05-03,100039.34152199798
2016-05-04,100039.03965530469
2016-05-05,100045.47394513234
2016-05-06,100046.87585036572
2016-05-09,100068.69873408302
2016-05-10,100052.28146697785
2016-05-11,100052.77981823243
2016-05-12,100037.51282387925
2016-05-13,100054.82228798159
2016-05-16,100038.37627894506
2016-05-17,100038.87869605947
2016-05-18,100032.84345769577
2016-05-19,100043.94357414823
2016-05-20,100041.53680021001
2016-05-23,100064.33443855672
2016-05-24,100076.23426660201
2016-05-25,100076.7265321356
2016-05-26,100084.30911332445
2016-05-27,100080.97467606478
2016-05-31,100084.60892611333
2016-06-01,100089.9043262099
2016-06-02,100084.62519493862
2016-06-03,100093.64599321008
2016-06-06,100096.37668042806
2016-06-07,100102.12369258223
2016-06-08,100099.69689909628
2016-06-09,100082.97249761889
2016-06-10,100069.42807852034
2016-06-13,100065.96590852305
2016-06-14,100063.58755861482
2016-06-15,100068.84668910652
2016-06-16,100062.31741361112
2016-06-17,100073.63587834752
2016-06-20,100078.56874731534
2016-06-21,100075.71436797502
2016-06-22,100098.57770805625
2016-06-23,100035.52055101417
2016-06-24,100004.05111646073
2016-06-27,100035.67393248442
2016-06-28,100065.6382721656
2016-06-29,100089.5519851617
