entry_time,entry_price
2016-01-06,96208.94479385049
2016-01-07,89280.53891987276
2016-01-08,86350.92007569275
2016-01-11,86604.16405220854
2016-01-12,88697.50769895666
2016-01-13,82059.29277216824
2016-01-14,86110.53401627639
2016-01-15,80555.01569264564
2016-01-19,80886.97317489555
2016-01-20,77770.11637092465
2016-01-21,79081.67656995429
2016-01-22,83939.5297001229
2016-01-25,80142.1791535857
2016-01-26,83417.58130122001
2016-01-27,80686.70980486073
2016-01-28,81954.1193212121
2016-01-29,87945.55645643306
2016-02-01,87849.73200024567
2016-02-02,83109.8681748721
2016-02-03,84601.20267810253
2016-02-04,84990.13796073449
2016-02-05,80136.97689106285
2016-02-08,76897.09911308627
2016-02-09,76911.68874737281
2016-02-10,76721.99951312583
2016-02-11,73721.10105115674
2016-02-12,78287.89492158238
2016-02-16,82242.62396889029
2016-02-17,86282.59468411941
2016-02-18,85212.52055708674
2016-02-19,85103.28040497768
2016-02-22,88798.67752040089
2016-02-23,85430.8389292352
2016-02-24,86602.83690247327
2016-02-25,89740.84938309825
2016-02-26,89127.32873364257
2016-02-29,86748.74281324
2016-03-01,93156.6492203312
2016-03-02,94397.26751417994
2016-03-03,95515.34946882639
2016-03-04,96440.39687519817
2016-03-07,96677.3788941988
2016-03-08,93506.79491432941
2016-03-09,94899.53161971457
2016-03-10,95133.94791848701
2016-03-11,99729.35869529822
2016-03-14,99348.69027392933
2016-03-15,98865.43762565729
2016-03-16,100585.73408686586
2016-03-17,102499.88507289122
2016-03-18,102112.22863974638
2016-03-21,102551.63521200989
2016-03-22,102392.99569380637
2016-03-23,100350.41830765308
2016-03-24,100228.80951404349
2016-03-28,100402.39595241213
2016-03-29,103182.9838855507
2016-03-30,104545.6221932092
2016-03-31,103777.99823834983
2016-04-01,105909.69282729237
2016-04-04,104883.36632420568
2016-04-05,101734.89754149033
2016-04-06,105065.10437538741
2016-04-07,101304.89215267004
2016-04-08,102108.66810374621
2016-04-11,101406.04523704233
2016-04-12,104238.58377288937
2016-04-13,107390.49357206958
2016-04-14,107408.65635709134
2016-04-15,107045.35970105517
2016-04-18,109310.83799485817
2016-04-19,110339.99181592609
2016-04-20,110654.36832892118
2016-04-21,108875.6967835325
2016-04-22,108875.6967835325
2016-04-25,108307.5221692646
2016-04-26,108782.39494774705
2016-04-27,109460.14785744622
2016-04-28,106480.3891693423
2016-04-29,104765.00219781658
2016-05-02,107247.78271137021
2016-05-03,104453.95831821245
2016-05-04,102707.21673664404
2016-05-05,102654.34452074119
2016-05-06,103781.89796170125
2016-05-09,104030.34983780659
2016-05-10,107905.27003338267
2016-05-11,104882.27135670486
2016-05-12,104971.60889619101
2016-05-13,102236.32825563742
2016-05-16,105257.39946053425
2016-05-17,102302.74295985575
2016-05-18,102390.58663404423
2016-05-19,101335.85929089847
2016-05-20,103256.20117478484
2016-05-23,102831.95748130247
2016-05-24,106833.58965528918
2016-05-25,109003.16670024344
2016-05-26,109094.78139741963
2016-05-27,110506.43804669162
2016-05-31,109877.75509277546
2016-06-01,110559.31032134758
2016-06-02,111558.11738537047
2016-06-03,110553.31281423569
2016-06-06,112254.89179799266
2016-06-07,112778.05041489408
2016-06-08,113883.840073848
2016-06-09,113412.23232134739
2016-06-10,110176.54107520032
2016-06-13,107630.31532968661
2016-06-14,106994.56020425813
2016-06-15,106560.33392982565
2016-06-16,107516.65232994095
2016-06-17,106318.66149362535
2016-06-20,108372.49013296222
2016-06-21,109284.81887468093
2016-06-22,108752.70676128841
2016-06-23,112995.7632053636
2016-06-24,100840.16784975366
2016-06-27,95422.8231268375
2016-06-28,100575.68903585491
2016-06-29,105720.24032645409
2016-06-30,110034.74324788252
2016-07-01,110733.29872654034
2016-07-05,108351.87129630022
2016-07-06,110298.63893797225
2016-07-07,110077.71026709
2016-07-08,115005.19086698642
2016-07-11,116235.4290708957
2016-07-12,118751.51248141687
2016-07-13,118712.8438026538
2016-07-14,120703.848401819
2016-07-15,120215.2216068637
2016-07-18,121170.34200337263
2016-07-19,120817.62794654649
2016-07-20,122303.9722605708
2016-07-21,120923.78879156547
2016-07-22,122567.50176289484
2016-07-25,121560.53039578308
2016-07-26,121737.25526767016
2016-07-27,121344.15288803184
2016-07-28,121756.02087100397
2016-07-29,122345.73359721166
2016-08-01,122049.92669779866
2016-08-02,119706.97762907177
2016-08-03,120756.47055990355
2016-08-04,121147.43690102134
2016-08-05,124105.59714876617
2016-08-08,123886.62240108348
2016-08-09,124105.33942115816
2016-08-10,123189.62874158162
2016-08-11,124912.97617694382
2016-08-12,124573.10412268518
2016-08-15,125650.73763941899
2016-08-16,123703.85703385642
2016-08-17,124418.90823058393
2016-08-18,125256.34318982823
2016-08-19,124695.55367762562
2016-08-22,124675.58534939714
2016-08-23,125434.30081033941
2016-08-24,123509.78540714417
2016-08-25,123251.85332516943
2016-08-26,122558.38828395506
2016-08-29,124374.36053747802
2016-08-30,123756.44208403575
2016-08-31,122703.50574567093
2016-09-01,122723.25946272149
2016-09-02,124382.7497709746
2016-09-06,125499.00521763717
2016-09-07,125458.9011469456
2016-09-08,124616.89509897951
2016-09-09,115655.814717903
2016-09-12,120646.92327844695
2016-09-13,115436.19398123803
2016-09-14,115265.68261642085
2016-09-15,118748.25824883817
2016-09-16,117377.64055039872
2016-09-19,117435.10662040653
2016-09-20,117530.91465909386
2016-09-21,121365.32000928996
2016-09-22,123735.04789715899
2016-09-23,121751.26666751235
2016-09-26,118670.19818479165
2016-09-27,120927.21468779146
2016-09-28,122724.32384425444
2016-09-29,119548.37825827212
2016-09-30,122203.86025925301
2016-10-03,121240.12809948315
2016-10-04,119342.38847940089
2016-10-05,121026.63003845378
2016-10-06,121319.73581057209
2016-10-07,119969.27413533074
2016-10-10,121717.62540734123
2016-10-11,117265.25913445091
2016-10-12,117647.85378089282
2016-10-13,116650.94638329267
2016-10-14,116631.88369459288
2016-10-17,115602.61065659518
2016-10-18,117630.06178596016
2016-10-19,118530.97643624913
2016-10-20,117991.5278790272
2016-10-21,117972.3204025696
2016-10-24,119585.57331886262
2016-10-25,118461.55161631927
2016-10-26,117729.7527172047
2016-10-27,116790.0115329394
2016-10-28,115683.59992479811
2016-10-31,115778.37593653392
2016-11-01,113255.95745893882
2016-11-02,111144.20510326089
2016-11-03,109760.13126286719
2016-11-04,109320.91993340982
2016-11-07,116548.54823108307
2016-11-08,118052.60518347987
2016-11-09,121873.76140200823
2016-11-10,122815.12393174534
2016-11-11,121987.20110175235
2016-11-14,122183.4376845746
2016-11-15,125031.91806362974
2016-11-16,124493.33130745268
2016-11-17,126223.78662359717
2016-11-18,125420.83632700947
2016-11-21,128239.20722407308
2016-11-22,129030.3481281182
2016-11-23,129274.77522413025
2016-11-25,130702.39947723642
2016-11-28,128956.13981744935
2016-11-29,129566.95254223073
2016-11-30,128709.11869112875
2016-12-01,127245.0516187561
2016-12-02,127325.76952431332
2016-12-05,129647.39050026008
2016-12-06,130914.1700039923
2016-12-07,136034.75252535485
2016-12-08,137089.44900950242
2016-12-09,139654.97305912094
2016-12-12,139075.40277436894
2016-12-13,141772.5708133978
2016-12-14,138412.00368140877
2016-12-15,140033.5192933377
2016-12-16,139323.9626135322
2016-12-19,140159.69209960158
2016-12-20,141794.79288750113
2016-12-21,140689.05367691055
2016-12-22,140020.44097355564
2016-12-23,140514.93429053668
2016-12-27,141549.34718036014
2016-12-28,138127.73513673263
2016-12-29,137935.99955251117
2016-12-30,136446.10345612053
2017-01-03,139404.36091284006
2017-01-04,141997.83072687045
2017-01-05,141628.9676205153
2017-01-06,143340.12511062858
2017-01-09,141964.58392525627
2017-01-10,141877.80850720903
2017-01-11,142918.6891076287
2017-01-12,142025.2657105847
2017-01-13,142936.6577900109
2017-01-17,141498.356308971
2017-01-18,142385.832614412
2017-01-19,140994.7233195836
2017-01-20,142355.1482076478
2017-01-23,141290.25549040575
2017-01-24,143971.61326218565
2017-01-25,147671.98880329524
2017-01-26,147226.63472799002
2017-01-27,146582.17096842604
2017-01-30,143923.21795277382
2017-01-31,143748.11112772737
2017-02-01,144010.55823192655
2017-02-02,144229.5301907181
2017-02-03,147232.48545456745
2017-02-06,146499.1747909863
2017-02-07,146477.0271632715
2017-02-08,147030.66204898662
2017-02-09,149583.79162453022
2017-02-10,151380.32417669386
2017-02-13,153711.80601742552
2017-02-14,155746.96679331822
2017-02-15,158099.89554368868
2017-02-16,157797.00730248404
2017-02-17,158402.00959159108
2017-02-21,161248.11344581406
2017-02-22,160941.22898239485
2017-02-23,161247.72382737332
2017-02-24,161908.70415147534
2017-02-27,162571.48832051642
2017-02-28,161360.98424649276
2017-03-01,167997.43395717206
2017-03-02,164965.42713582548
2017-03-03,165229.01398013285
2017-03-06,163909.67661530894
2017-03-07,162263.3423409934
2017-03-08,161433.85592688416
2017-03-09,161906.23004810404
2017-03-10,163610.09098308044
2017-03-13,163919.88335810305
2017-03-14,162130.3649808312
2017-03-15,166109.60549460474
2017-03-16,165291.21300267364
2017-03-17,164547.4865132814
2017-03-20,163805.994302518
2017-03-21,157629.5854330534
2017-03-22,158605.66798487992
2017-03-23,157975.60132932445
2017-03-24,157859.23173643838
2017-03-27,157254.40709377002
2017-03-28,160642.04383915034
2017-03-29,161253.92387721332
2017-03-30,162716.72283552206
2017-03-31,161506.19776531716
2017-04-03,160868.51792037484
2017-04-04,161174.73971844662
2017-04-05,159618.10353171173
2017-04-06,160860.05501013313
2017-04-07,160436.07790301935
2017-04-10,160694.7193573818
2017-04-11,160153.34268457972
2017-04-12,158344.9830130508
2017-04-13,155128.51556948066
2017-04-17,159151.7567231623
2017-04-18,157701.94642095306
2017-04-19,156958.21548872616
2017-04-20,160618.8233484809
2017-04-21,159160.22061716474
2017-04-24,164398.01044354748
2017-04-25,167217.08115159898
2017-04-26,167047.94721921373
2017-04-27,167385.98691004515
2017-04-28,166370.5006396101
2017-05-01,167454.11223734962
2017-05-02,167720.14274494804
2017-05-03,167211.72870496672
2017-05-04,167670.79182683275
2017-05-05,169655.63446142207
2017-05-08,169631.23878949648
2017-05-09,169143.37212631124
2017-05-10,170044.19327140384
2017-05-11,169189.04502227806
2017-05-12,168312.41784599685
2017-05-15,170811.86695760838
2017-05-16,170517.80033188633
2017-05-17,161632.50033851707
2017-05-18,163356.1815604753
2017-05-19,166471.27590533753
2017-05-22,169095.9676710581
2017-05-23,170166.55464082066
2017-05-24,171314.9528701011
2017-05-25,173818.40920144066
2017-05-26,173793.62756340232
2017-05-30,173372.3797612193
2017-05-31,173124.98766681112
2017-06-01,177178.3565605045
2017-06-02,179010.54373997144
2017-06-05,178631.48042679575
2017-06-06,177066.8988031668
2017-06-07,177970.04535416054
2017-06-08,178121.0807533296
2017-06-09,177642.53146963142
2017-06-12,177265.40669177918
2017-06-13,179750.90502939885
2017-06-14,179269.45201559894
2017-06-15,178181.79519544973
2017-06-16,178307.75433244638
2017-06-19,182718.4012898783
2017-06-20,179157.7875538215
2017-06-21,178904.97788182643
2017-06-22,178652.40614834623
2017-06-23,179384.17447861482
2017-06-26,179611.89429200158
2017-06-27,175433.49934536463
2017-06-28,179995.28550273713
2017-06-29,175380.45521139153
2017-06-30,176252.62286305387
2017-07-03,177427.6959078168
2017-07-05,178331.74342423698
2017-07-06,173569.3989196429
2017-07-07,176860.4786216311
2017-07-10,177411.70602949976
2017-07-11,177035.08904811819
2017-07-12,180896.21406063906
2017-07-13,181964.4487221023
2017-07-14,184415.72152400916
2017-07-17,184441.48390652705
2017-07-18,184776.42606858493
2017-07-19,187665.5730348953
2017-07-20,187848.0172288555
2017-07-21,187378.57105473673
2017-07-24,187300.46048783112
2017-07-25,188601.94142882217
2017-07-26,188732.69103003453
2017-07-27,188287.93697576362
2017-07-28,187504.3108796795
2017-07-31,187295.92451889644
