entry_time,pct_return_gross
2016-01-05,95703.6
2016-01-06,87892.6549824
2016-01-07,84624.10292891451
2016-01-08,84905.39344705023
2016-01-11,87231.46160592561
2016-01-12,79832.489032511
2016-01-13,84299.27645885805
2016-01-14,78135.31336418635
2016-01-15,78500.36154822382
2016-01-19,75072.09375868979
2016-01-20,76506.87161460587
2016-01-21,81833.28001641473
2016-01-22,77637.52408341313
2016-01-25,81233.6941989568
2016-01-26,78219.59920939872
2016-01-27,79612.22095372285
2016-01-28,86208.5711330645
2016-01-29,86102.01733914403
2016-02-01,80837.05118289005
2016-02-02,82480.9534557453
2016-02-03,82910.84418515665
2016-02-04,77545.18599287004
2016-02-05,73992.06557067674
2016-02-08,74008.04785684001
2016-02-09,73801.12135503229
2016-02-10,70529.6652476064
2016-02-11,75481.41198531036
2016-02-12,79802.87378429336
2016-02-16,84245.65937361254
2016-02-17,83061.50238545705
2016-02-18,82940.89708399336
2016-02-19,87022.58451129084
2016-02-22,83282.00573865752
2016-02-23,84576.87436388216
2016-02-24,88049.93913276061
2016-02-25,87367.72820435998
2016-02-26,84725.37863254732
2016-02-29,91818.24843014964
2016-03-01,93203.96943545747
2016-03-02,94455.13952115906
2016-03-03,95491.87913254331
2016-03-04,95757.7285240483
2016-03-07,92198.60527026647
2016-03-08,93754.91772722857
2016-03-09,94017.4314968648
2016-03-10,99164.32176672916
2016-03-11,98735.53523940982
2016-03-14,98191.3049691702
2016-03-15,100127.63750316223
2016-03-16,102287.19038883042
2016-03-17,101848.58291644312
2016-03-18,102345.1966067437
2016-03-21,102165.88782228869
2016-03-22,99856.12143040237
2016-03-23,99719.11883179986
2016-03-24,99914.96718118552
2016-03-28,103051.09817106857
2016-03-29,104593.56700849313
2016-03-30,103723.34853098249
2016-03-31,106138.02808478374
2016-04-01,104972.20798430048
2016-04-04,101401.05346867457
2016-04-05,105163.03255236239
2016-04-06,100897.61995203857
2016-04-07,101804.8913506473
2016-04-08,101010.81319811224
2016-04-11,104208.41150071168
2016-04-12,107779.42534601805
2016-04-13,107800.11899568449
2016-04-14,107387.02893969303
2016-04-15,109962.59944178264
2016-04-18,111136.12030302535
2016-04-19,111494.86769936352
2016-04-20,109463.87718935192
2016-04-21,109463.87718935192
2016-04-22,108816.28889189969
2016-04-25,109356.88821511467
2016-04-26,110128.94784591338
2016-04-27,106731.24954697126
2016-04-28,104782.76385524175
2016-04-29,107597.22889239356
2016-05-02,104420.52830657453
2016-05-03,102441.55045410835
2016-05-04,102381.72458864315
2016-05-05,103656.17229632258
2016-05-06,103937.28783559022
2016-05-09,108325.10437885749
2016-05-10,104885.56566462002
2016-05-11,104986.6753499207
2016-05-12,101886.20885348685
2016-05-13,105298.17421557242
2016-05-16,101948.42869742664
2016-05-17,102047.52257012053
2016-05-18,100856.0156965918
2016-05-19,103021.99948969179
2016-05-20,102542.3290600678
2016-05-23,107064.85594093302
2016-05-24,109529.06066526953
2016-05-25,109633.33233102289
2016-05-26,111240.995516325
2016-05-27,110523.71357723574
2016-05-31,111300.47423625656
2016-06-01,112440.19109243581
2016-06-02,111292.40162176423
2016-06-03,113233.7862756543
2016-06-06,113831.66066718975
2016-06-07,115096.55808052357
2016-06-08,114556.52503000975
2016-06-09,110852.22523663935
2016-06-10,107948.78375324131
2016-06-13,107225.9586972296
2016-06-14,106732.71928722234
2016-06-15,107818.40450781197
2016-06-16,106456.87369568733
2016-06-17,108787.42757463332
2016-06-20,109825.25963369531
2016-06-21,109219.02420051732
2016-06-22,114048.2525745674
2016-06-23,100143.48962067613
2016-06-24,94046.3533986109
2016-06-27,99801.99022660588
2016-06-28,105587.71120402266
2016-06-29,110471.3540226311
2016-06-30,111266.30588617796
2016-07-01,108554.52347912005
2016-07-05,110765.12779524885
2016-07-06,110513.46942489804
2016-07-07,116120.03875576195
2016-07-08,117527.8781056368
2016-07-11,120411.07201132429
2016-07-12,120366.7607368241
2016-07-13,122654.69212490965
2016-07-14,122091.95239744055
2016-07-15,123191.2683368271
2016-07-18,122784.73715131557
2016-07-19,124496.8475261535
2016-07-20,122904.78183998905
2016-07-21,124798.00709945224
2016-07-22,123635.88805734213
2016-07-25,123839.64000086066
2016-07-26,123386.38691845749
2016-07-27,123861.17773531972
2016-07-28,124540.92787873115
2016-07-29,124199.68573634344
2016-08-01,121497.59737346355
2016-08-02,122704.79750096628
2016-08-03,123154.87869819983
2016-08-04,126562.8205015364
2016-08-05,126309.69486053332
2016-08-08,126562.31425025439
2016-08-09,125503.74705386527
2016-08-10,127493.73446715137
2016-08-11,127100.54379005468
2016-08-12,128346.63752137237
2016-08-15,126092.87056649708
2016-08-16,126919.03105444874
2016-08-17,127887.16942333207
2016-08-18,127238.01415133924
2016-08-19,127215.111308792
2016-08-22,128092.38671637741
2016-08-23,125865.11629615305
2016-08-24,125567.06770076376
2016-08-25,124766.45207710369
2016-08-26,126861.5303403824
2016-08-29,126147.04620150536
2016-08-30,124930.48408793805
2016-08-31,124953.47129701023
2016-09-01,126868.25829116559
2016-09-02,128158.76221450332
2016-09-06,128112.11242505725
2016-09-07,127137.43547372743
2016-09-08,116776.24303236054
2016-09-09,122487.53552658722
2016-09-12,116492.01563763183
2016-09-13,116296.77501942315
2016-09-14,120278.77659608821
2016-09-15,118705.53019821137
2016-09-16,118771.53047300158
2016-09-19,118881.27536715863
2016-09-20,123277.02940513467
2016-09-21,126004.90351181148
2016-09-22,123715.14240519486
2016-09-23,120166.99212101387
2016-09-26,122757.31180317444
2016-09-27,124825.03596318713
2016-09-28,121164.16730845878
2016-09-29,124214.59638461655
2016-09-30,123104.61475132362
2016-10-03,120920.73888563515
2016-10-04,122854.98702484976
2016-10-05,123192.10110924597
2016-10-06,121637.90956165173
2016-10-07,123646.88127597196
2016-10-10,118520.97616579526
2016-10-11,118959.02969370404
2016-10-12,117816.54717252572
2016-10-13,117794.86892784598
2016-10-14,116616.92023856753
2016-10-17,118934.79814522929
2016-10-18,119967.15219312988
2016-10-19,119348.60155642209
2016-10-20,119326.6414137357
2016-10-21,121176.20435564862
2016-10-24,119885.43542685226
2016-10-25,119046.23737886429
2016-10-26,117969.10702306032
2016-10-27,116702.59069006075
2016-10-28,116810.89069422113
2016-10-31,113926.5961811994
2016-11-01,111519.09935069828
2016-11-02,109945.34182066123
2016-11-03,109446.6297501627
2016-11-04,117647.24682408287
2016-11-07,119367.72016163825
2016-11-08,123746.60560804777
2016-11-09,124829.63590032943
2016-11-10,123875.93748205093
2016-11-11,124101.8871920182
2016-11-14,127380.65905163132
2016-11-15,126759.04143545935
2016-11-16,128755.74985615071
2016-11-17,127827.67841118756
2016-11-18,131083.1937249637
2016-11-21,131999.72741548865
2016-11-22,132283.26282997712
2016-11-23,133938.9201475571
2016-11-25,131911.08489652307
2016-11-28,132619.18360024763
2016-11-29,131624.00924651136
2016-11-30,129927.11251930533
2016-12-01,130020.66004031924
2016-12-02,132707.4069593924
2016-12-05,134176.74336924677
2016-12-06,140124.53004931874
2016-12-07,141355.94441939215
2016-12-08,144353.82128863863
2016-12-09,143674.78091329685
2016-12-12,146832.75259777112
2016-12-13,142888.2375319846
2016-12-14,144785.22177345926
2016-12-15,143953.5754595925
2016-12-16,144932.45977271773
