entry_time,pct_return_gross
2016-01-05,99822.40684579416
2016-01-06,99485.64346865563
2016-01-07,99332.71626461965
2016-01-08,99346.36444769398
2016-01-11,99458.86655288032
2016-01-12,99110.15744836842
2016-01-13,99339.37891864641
2016-01-14,99039.13160115165
2016-01-15,99058.25791027406
2016-01-19,98879.43824396562
2016-01-20,98957.55310059474
2016-01-21,99242.32981813
2016-01-22,99032.00102848746
2016-01-25,99221.61294067347
2016-01-26,99069.43611288369
2016-01-27,99142.34471801588
2016-01-28,99481.89544280908
2016-01-29,99476.81286501203
2016-02-01,99225.37792265735
2016-02-02,99308.78632600112
2016-02-03,99330.18139021021
2016-02-04,99064.46740825848
2016-02-05,98876.84076593746
2016-02-08,98877.72358122615
2016-02-09,98866.29592573669
2016-02-10,98685.14193182475
2016-02-11,98971.5332737844
2016-02-12,99205.75246332797
2016-02-16,99434.04682829394
2016-02-17,99376.27469876684
2016-02-18,99370.310242733
2016-02-19,99572.44880569234
2016-02-22,99395.53263591808
2016-02-23,99459.4123421313
2016-02-24,99628.23419130118
2016-02-25,99596.3266339998
2016-02-26,99471.8166827566
2016-02-29,99816.03187295636
2016-03-01,99878.3004025048
2016-03-02,99933.72143338819
2016-03-03,99979.06103206021
2016-03-04,99990.56638107337
2016-03-07,99836.94568321308
2016-03-08,99906.60596730253
2016-03-09,99918.16905313794
2016-03-10,100144.27006558
2016-03-11,100126.37087865411
2016-03-14,100103.55804692855
2016-03-15,100185.15575071819
2016-03-16,100274.47288191183
2016-03-17,100256.6996389735
2016-03-18,100276.90648879182
2016-03-21,100269.64448381333
2016-03-22,100175.94156214636
2016-03-23,100170.26037550352
2016-03-24,100178.3924584347
2016-03-28,100308.36727558824
2016-03-29,100370.42880140679
2016-03-30,100335.91040445784
2016-03-31,100432.46231778758
2016-04-01,100386.86323074724
2016-04-04,100245.69638651
2016-04-05,100399.42728292673
2016-04-06,100231.10148006631
2016-04-07,100268.35611517771
2016-04-08,100236.02802786964
2016-04-11,100367.18802514677
2016-04-12,100509.35608208731
2016-04-13,100510.15376305886
2016-04-14,100494.2332539847
2016-04-15,100593.86190944226
2016-04-18,100638.2369548964
2016-04-19,100651.66516286696
2016-04-20,100575.87802699792
2016-04-21,100575.87802699792
2016-04-22,100551.28321479421
2016-04-25,100571.93181983619
2016-04-26,100601.28147521535
2016-04-27,100472.98688367638
2016-04-28,100397.16816281521
2016-04-29,100508.63584849426
2016-05-02,100385.97665972664
2016-05-03,100307.33555437322
2016-05-04,100304.91415149432
2016-05-05,100356.5252737932
2016-05-06,100367.7753849624
2016-05-09,100542.91842846654
2016-05-10,100410.95788789757
2016-05-11,100414.95899020974
2016-05-12,100292.38091774328
2016-05-13,100431.20942862717
2016-05-16,100299.14642236357
2016-05-17,100303.17623648877
2016-05-18,100254.76677127967
2016-05-19,100343.76470816592
2016-05-20,100324.45281388157
2016-05-23,100507.3496917771
2016-05-24,100602.96978941388
2016-05-25,100606.92864138028
2016-05-26,100667.9106683525
2016-05-27,100641.07962279432
2016-05-31,100670.31633634052
2016-06-01,100712.92745176128
2016-06-02,100670.43151626707
2016-06-03,100743.02030023595
2016-06-06,100765.00752430811
2016-06-07,100811.29073592159
2016-06-08,100791.73884833767
2016-06-09,100657.01863971965
2016-06-10,100548.04179287812
2016-06-13,100520.21196150871
2016-06-14,100501.09879073387
2016-06-15,100543.35579198638
2016-06-16,100490.8739024939
2016-06-17,100581.8094268349
2016-06-20,100621.47277129866
2016-06-21,100598.51386158096
2016-06-22,100782.37609418023
2016-06-23,100274.47276432639
2016-06-24,100022.1159262228
2016-06-27,100275.14415337346
2016-06-28,100515.43271147451
2016-06-29,100707.60235140663
2016-06-30,100737.55773766176
2016-07-01,100636.07221330468
2016-07-05,100720.78291501582
2016-07-06,100711.32383426902
2016-07-07,100922.51794396475
2016-07-08,100973.09522957432
2016-07-11,101075.48584141978
2016-07-12,101073.94834126189
2016-07-13,101153.36235879184
2016-07-14,101134.1789736808
2016-07-15,101171.81943628413
2016-07-18,101158.01893019753
2016-07-19,101216.32438703529
2016-07-20,101162.82180981051
2016-07-21,101227.23517037921
2016-07-22,101188.27132105595
2016-07-25,101195.16433086905
2016-07-26,101179.85478324047
2016-07-27,101195.94828782108
2016-07-28,101218.90442123027
2016-07-29,101207.4404864165
2016-08-01,101116.4254798489
2016-08-02,101157.95479834657
2016-08-03,101173.29216783136
2016-08-04,101289.01736888151
2016-08-05,101280.643736966
2016-08-08,101289.01667662768
2016-08-09,101253.99814819625
2016-08-10,101320.3613499649
2016-08-11,101307.44521387722
2016-08-12,101348.50022544217
2016-08-15,101274.93656167752
2016-08-16,101302.3647663398
2016-08-17,101334.30600697976
2016-08-18,101313.04422679827
2016-08-19,101312.29042115739
2016-08-22,101341.16933795088
2016-08-23,101268.33149842889
2016-08-24,101258.419143017
2016-08-25,101231.732068759
2016-08-26,101301.9973204216
2016-08-29,101278.41415120651
2016-08-30,101238.04072495548
2016-08-31,101238.81071137852
2016-09-01,101302.93767707636
2016-09-02,101345.5318219744
2016-09-06,101344.0069706457
2016-09-07,101312.13638174943
2016-09-08,100970.84974824906
2016-09-09,101174.97532628573
2016-09-12,100970.26979802159
2016-09-13,100963.27477668003
2016-09-14,101106.17032440481
2016-09-15,101051.50563090223
2016-09-16,101053.82804197336
2016-09-19,101057.68767713153
2016-09-20,101212.14581609321
2016-09-21,101304.72136762642
2016-09-22,101228.62675204924
2016-09-23,101108.62046330865
2016-09-26,101198.71073001612
2016-09-27,101269.17058178886
2016-09-28,101146.40370329903
2016-09-29,101251.66256972613
2016-09-30,101214.26298016669
2016-10-03,101140.04368164157
2016-10-04,101206.91748828563
2016-10-05,101218.39679916271
2016-10-06,101165.61275672368
2016-10-07,101234.67796143549
2016-10-10,101061.20243498204
2016-10-11,101076.64210224061
2016-10-12,101036.51623149337
2016-10-13,101035.74777780568
2016-10-14,100993.98430807427
2016-10-17,101076.95906843022
2016-10-18,101113.22454638696
2016-10-19,101091.6747891562
2016-10-20,101090.90591594894
2016-10-21,101155.6746337286
2016-10-24,101111.1353814915
2016-10-25,101081.87913947397
2016-10-26,101044.0742988323
2016-10-27,100999.23334261672
2016-10-28,101003.10759194342
2016-10-31,100900.01854676049
2016-11-01,100811.8825417905
2016-11-02,100753.07651934125
2016-11-03,100734.18560951274
2016-11-04,101046.17694490508
2016-11-07,101107.25814734677
2016-11-08,101260.57169414428
2016-11-09,101297.20441670324
2016-11-10,101265.21455729987
2016-11-11,101272.84951497815
2016-11-14,101383.44753599763
2016-11-15,101362.99682600485
2016-11-16,101428.99572005209
2016-11-17,101398.7754447605
2016-11-18,101505.52081902044
2016-11-21,101534.85760930905
