top_pct,top_n,freq,mom_window,median_sharpe,min_sharpe,n_positive,neighbor_avg_sharpe,stability,us_sectors,us_factor,em_country,top_n_us_sectors,top_n_us_factor,top_n_em_country
0.33,4,QE,3,0.7298,0.6641,3,0.8118,1.1123,0.8421,0.6641,0.7298,4,2,4
0.5,6,QE,9,0.7284,0.5899,3,0.7955,1.0921,0.7545,0.7284,0.5899,6,4,6
0.5,6,ME,9,0.7274,0.4983,3,0.7219,0.9925,0.867,0.7274,0.4983,6,4,6
0.5,6,ME,12,0.7274,0.3954,3,0.6924,0.9519,0.7489,0.7274,0.3954,6,4,6
0.5,6,2ME,6,0.726,0.5635,3,0.7519,1.0356,0.8455,0.726,0.5635,6,4,6
0.1,1,ME,12,0.7235,0.5103,3,0.7734,1.069,1.051,0.7235,0.5103,1,1,1
0.15,2,ME,12,0.7235,0.4413,3,0.7463,1.0315,0.8935,0.7235,0.4413,2,1,2
0.1,1,2ME,6,0.719,0.2091,3,0.7227,1.0052,1.1141,0.719,0.2091,1,1,1
0.15,2,2ME,6,0.719,0.2798,3,0.7231,1.0057,0.7687,0.719,0.2798,2,1,2
1.0,11,QE,9,0.716,0.557,3,0.7944,1.1094,0.7539,0.716,0.557,11,7,11
1.0,11,ME,9,0.7157,0.6026,3,0.7171,1.002,0.7363,0.7157,0.6026,11,7,11
1.0,11,ME,6,0.715,0.5733,3,0.7198,1.0066,0.7154,0.715,0.5733,11,7,11
0.25,3,QE,3,0.7143,0.6641,3,0.8209,1.1493,0.869,0.6641,0.7143,3,2,3
0.1,1,QE,12,0.7117,0.453,3,0.7599,1.0677,1.2853,0.7117,0.453,1,1,1
0.15,2,QE,12,0.7117,0.5129,3,0.7447,1.0464,1.0296,0.7117,0.5129,2,1,2
1.0,11,2ME,12,0.7109,0.5631,3,0.7065,0.9937,0.7438,0.7109,0.5631,11,7,11
0.1,1,2ME,3,0.7106,0.6876,3,0.6748,0.9497,0.7106,0.6876,0.7126,1,1,1
1.0,11,QE,12,0.7025,0.541,3,0.7832,1.1148,0.7489,0.7025,0.541,11,7,11
0.25,3,ME,3,0.7012,0.2827,3,0.6795,0.969,0.7012,0.7194,0.2827,3,2,3
0.5,6,2ME,12,0.6972,0.4747,3,0.7294,1.0462,0.7075,0.6972,0.4747,6,4,6
0.25,3,ME,6,0.6893,0.3572,3,0.7232,1.0492,0.8236,0.6893,0.3572,3,2,3
0.33,4,ME,6,0.6893,0.4238,3,0.6965,1.0104,0.8534,0.6893,0.4238,4,2,4
0.15,2,2ME,3,0.6876,0.6499,3,0.7123,1.036,0.8915,0.6876,0.6499,2,1,2
0.5,6,ME,3,0.6849,0.4679,3,0.7084,1.0343,0.7729,0.6849,0.4679,6,4,6
0.25,3,QE,12,0.684,0.4402,3,0.8176,1.1954,0.9049,0.684,0.4402,3,2,3
0.33,4,QE,12,0.684,0.5038,3,0.7857,1.1487,0.841,0.684,0.5038,4,2,4
0.33,4,ME,3,0.6819,0.3908,3,0.7014,1.0286,0.6819,0.7194,0.3908,4,2,4
0.5,6,ME,6,0.6816,0.4774,3,0.7085,1.0395,0.8255,0.6816,0.4774,6,4,6
0.33,4,ME,9,0.6815,0.4464,3,0.7149,1.049,0.7584,0.6815,0.4464,4,2,4
0.25,3,ME,9,0.6815,0.3838,3,0.7214,1.0586,0.8296,0.6815,0.3838,3,2,3
1.0,11,ME,12,0.68,0.5559,3,0.718,1.0559,0.6962,0.68,0.5559,11,7,11
0.33,4,ME,12,0.665,0.3701,3,0.708,1.0647,0.8362,0.665,0.3701,4,2,4
0.25,3,ME,12,0.665,0.3585,3,0.707,1.0632,0.8644,0.665,0.3585,3,2,3
0.15,2,QE,6,0.6544,0.4888,3,0.7176,1.0966,0.7995,0.6544,0.4888,2,1,2
0.1,1,QE,6,0.6544,0.529,3,0.7418,1.1335,0.8625,0.6544,0.529,1,1,1
0.1,1,QE,9,0.6473,0.4926,3,0.7182,1.1096,1.1081,0.6473,0.4926,1,1,1
0.15,2,QE,9,0.6473,0.5588,3,0.7267,1.1227,0.9842,0.6473,0.5588,2,1,2
0.5,6,QE,12,0.6473,0.4896,3,0.7727,1.1938,0.7129,0.6473,0.4896,6,4,6
0.15,2,ME,3,0.6166,0.2357,3,0.6395,1.0371,0.6166,0.7162,0.2357,2,1,2
0.33,4,12ME,3,0.5814,0.4779,3,0.7365,1.2668,0.5814,0.647,0.4779,4,2,4
0.33,4,12ME,9,0.5814,0.4779,3,0.6938,1.1934,0.5814,0.647,0.4779,4,2,4
0.33,4,12ME,6,0.5814,0.4779,3,0.7055,1.2134,0.5814,0.647,0.4779,4,2,4
0.33,4,12ME,12,0.5814,0.4779,3,0.7219,1.2417,0.5814,0.647,0.4779,4,2,4
0.25,3,12ME,3,0.4153,0.4048,3,0.6183,1.4889,0.4048,0.647,0.4153,3,2,3
0.25,3,12ME,9,0.4153,0.4048,3,0.5851,1.4088,0.4048,0.647,0.4153,3,2,3
0.25,3,12ME,6,0.4153,0.4048,3,0.5777,1.3911,0.4048,0.647,0.4153,3,2,3
0.25,3,12ME,12,0.4153,0.4048,3,0.6275,1.511,0.4048,0.647,0.4153,3,2,3
0.1,1,ME,3,0.3733,0.0572,3,0.7077,1.8958,0.3733,0.7162,0.0572,1,1,1
0.15,2,12ME,3,0.3481,0.2356,3,0.4444,1.2766,0.2356,0.3481,0.3707,2,1,2
0.15,2,12ME,6,0.3481,0.2356,3,0.4251,1.2213,0.2356,0.3481,0.3707,2,1,2
0.15,2,12ME,9,0.3481,0.2356,3,0.4402,1.2645,0.2356,0.3481,0.3707,2,1,2
0.15,2,12ME,12,0.3481,0.2356,3,0.4632,1.3307,0.2356,0.3481,0.3707,2,1,2
0.1,1,12ME,12,0.2454,0.0826,3,0.4792,1.9526,0.2454,0.3481,0.0826,1,1,1
0.1,1,12ME,9,0.2454,0.0826,3,0.4207,1.7144,0.2454,0.3481,0.0826,1,1,1
0.1,1,12ME,6,0.2454,0.0826,3,0.4019,1.6378,0.2454,0.3481,0.0826,1,1,1
0.1,1,12ME,3,0.2454,0.0826,3,0.4541,1.8504,0.2454,0.3481,0.0826,1,1,1
